# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271163
# UID: 2cb7e1f1-f1d3-45af-9a27-47922c24a657
# Comment: 
# Start time: 10/18/2023  20:35:24
# Stop time: 10/18/2023  20:35:56
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.208361e-01 -1.424508e-03 8.848657e-04 2.780699e-02 1.962006e-05 -1.810436e-05 1.383707e-05 4.681186e-05
11385.596982 8.267569e-01 -2.820475e-03 1.766963e-03 5.492906e-02 3.803305e-05 -2.969168e-05 3.013166e-05 8.910350e-05
11390.596982 8.334164e-01 -2.853820e-03 1.764934e-03 5.510924e-02 4.372756e-05 -2.894295e-05 3.065820e-05 9.516325e-05
11395.596982 8.408350e-01 -2.855462e-03 1.774251e-03 5.547752e-02 3.878610e-05 -2.681849e-05 3.798280e-05 9.568560e-05
11400.596982 8.391256e-01 -2.862696e-03 1.769203e-03 5.560267e-02 4.271853e-05 -3.402088e-05 4.382243e-05 1.027051e-04
11405.596982 8.374005e-01 -2.859140e-03 1.748278e-03 5.579249e-02 4.920706e-05 -3.796092e-05 3.912481e-05 9.874302e-05
11410.596982 8.343678e-01 -2.863183e-03 1.756237e-03 5.546867e-02 5.468300e-05 -3.462472e-05 3.588058e-05 9.424314e-05
11415.596982 8.261656e-01 -2.858732e-03 1.760059e-03 5.527470e-02 5.783079e-05 -3.369978e-05 3.074896e-05 9.442990e-05
11420.596982 8.261729e-01 -2.873140e-03 1.774267e-03 5.541916e-02 5.160892e-05 -2.763282e-05 2.997377e-05 9.236386e-05
11425.596982 8.335203e-01 -2.858894e-03 1.733934e-03 5.586192e-02 4.609664e-05 -2.415173e-05 2.916858e-05 8.846811e-05
