# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271164
# UID: c00afabf-ac22-47ab-9281-8c0ce019737a
# Comment: 
# Start time: 10/18/2023  20:35:59
# Stop time: 10/18/2023  20:36:31
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.219057e-01 -1.432113e-03 8.789418e-04 2.793970e-02 2.254608e-05 -1.799356e-05 1.981604e-05 4.218462e-05
11385.596982 8.291487e-01 -2.837729e-03 1.742472e-03 5.512858e-02 5.389665e-05 -4.512232e-05 4.087545e-05 7.889681e-05
11390.596982 8.358083e-01 -2.868283e-03 1.771867e-03 5.540729e-02 4.547695e-05 -5.417221e-05 5.219046e-05 8.101442e-05
11395.596982 8.429245e-01 -2.864511e-03 1.732313e-03 5.564009e-02 4.918156e-05 -4.887327e-05 4.663106e-05 9.216471e-05
11400.596982 8.413342e-01 -2.860404e-03 1.752406e-03 5.572412e-02 5.288413e-05 -4.800308e-05 4.488898e-05 8.672394e-05
11405.596982 8.396195e-01 -2.860387e-03 1.774873e-03 5.587494e-02 4.754463e-05 -4.224812e-05 5.373722e-05 7.825712e-05
11410.596982 8.361349e-01 -2.846166e-03 1.768896e-03 5.585339e-02 5.041699e-05 -4.290619e-05 4.128122e-05 8.737417e-05
11415.596982 8.280258e-01 -2.861792e-03 1.746931e-03 5.536865e-02 5.716214e-05 -4.692235e-05 3.753262e-05 7.479424e-05
11420.596982 8.281139e-01 -2.853670e-03 1.733355e-03 5.537932e-02 5.184098e-05 -5.038547e-05 3.665418e-05 7.140956e-05
11425.596982 8.358813e-01 -2.850882e-03 1.730915e-03 5.630747e-02 4.787968e-05 -5.132036e-05 3.486787e-05 7.701583e-05
11430.596982 8.371090e-01 -2.858627e-03 1.744853e-03 5.648477e-02 4.554285e-05 -5.258414e-05 4.020718e-05 8.275116e-05
11435.596982 8.351955e-01 -2.863244e-03 1.744460e-03 5.625496e-02 4.696537e-05 -5.706614e-05 3.443087e-05 8.730355e-05
11440.596982 8.333258e-01 -2.866548e-03 1.744500e-03 5.649344e-02 4.311485e-05 -4.946050e-05 3.645345e-05 8.131231e-05
11445.596982 8.319530e-01 -2.849658e-03 1.784767e-03 5.637752e-02 3.656051e-05 -3.843891e-05 4.004878e-05 7.713325e-05
11450.596982 8.309433e-01 -2.855747e-03 1.756182e-03 5.641786e-02 4.161539e-05 -3.645219e-05 3.559201e-05 8.282737e-05
11455.596982 8.301922e-01 -2.850570e-03 1.721918e-03 5.646060e-02 4.590528e-05 -3.335087e-05 4.180620e-05 8.190836e-05
11460.596982 8.297403e-01 -2.860389e-03 1.747002e-03 5.683302e-02 4.697464e-05 -4.107293e-05 3.142521e-05 8.217634e-05
11465.596982 8.283558e-01 -2.860036e-03 1.716329e-03 5.674079e-02 4.048027e-05 -3.797919e-05 2.501636e-05 7.729838e-05
11470.596982 8.273737e-01 -2.851653e-03 1.737377e-03 5.677521e-02 4.442984e-05 -4.176715e-05 2.553047e-05 7.379778e-05
11475.596982 8.264133e-01 -2.851902e-03 1.770338e-03 5.678423e-02 4.827470e-05 -4.670282e-05 2.645522e-05 8.353138e-05
11480.596982 8.251135e-01 -2.867612e-03 1.784259e-03 5.678389e-02 4.804779e-05 -3.657118e-05 3.690879e-05 8.482063e-05
11485.596982 8.245595e-01 -2.870164e-03 1.759061e-03 5.705159e-02 4.969595e-05 -2.787284e-05 3.395676e-05 8.158655e-05
11490.596982 8.235658e-01 -2.882192e-03 1.747590e-03 5.701857e-02 5.393016e-05 -2.639751e-05 3.339855e-05 6.969074e-05
11495.596982 8.230740e-01 -2.884125e-03 1.754217e-03 5.689339e-02 5.659514e-05 -4.616898e-05 2.689596e-05 7.137304e-05
11500.596982 8.223783e-01 -2.873950e-03 1.751455e-03 5.715537e-02 4.918031e-05 -3.805555e-05 3.374281e-05 6.451586e-05
11505.596982 8.209932e-01 -2.881107e-03 1.769120e-03 5.741015e-02 4.625549e-05 -4.238596e-05 3.110281e-05 6.099100e-05
11510.596982 8.198599e-01 -2.866071e-03 1.760037e-03 5.796418e-02 5.693696e-05 -5.112732e-05 2.924746e-05 6.372832e-05
11515.596982 8.190803e-01 -2.861733e-03 1.707356e-03 5.835004e-02 5.357383e-05 -5.568538e-05 3.439054e-05 6.791345e-05
11520.596982 8.180540e-01 -2.869835e-03 1.720433e-03 5.815946e-02 5.918977e-05 -4.426004e-05 3.328558e-05 7.888914e-05
11525.596982 8.175534e-01 -2.856230e-03 1.723519e-03 5.814258e-02 5.872898e-05 -4.909920e-05 2.244639e-05 7.170532e-05
11530.596982 8.166485e-01 -2.871651e-03 1.783228e-03 5.845108e-02 5.747097e-05 -5.572233e-05 2.250373e-05 6.612567e-05
11534.000000 8.162314e-01 -2.879733e-03 1.788060e-03 5.836223e-02 6.311849e-05 -4.363141e-05 1.586795e-05 5.841990e-05
11535.000000 8.163293e-01 -2.863443e-03 1.740217e-03 5.859599e-02 6.473517e-05 -3.632642e-05 2.115558e-05 5.957577e-05
11536.000000 8.159762e-01 -2.867986e-03 1.754581e-03 5.891270e-02 6.119898e-05 -3.789986e-05 2.212984e-05 6.183800e-05
11537.000000 8.169711e-01 -2.852832e-03 1.772847e-03 5.824442e-02 6.615498e-05 -4.626086e-05 3.321709e-05 6.481634e-05
