# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271165
# UID: 16421fb1-f1d6-4384-9454-3e3ff7d5a4a0
# Comment: 
# Start time: 10/18/2023  20:36:35
# Stop time: 10/18/2023  20:37:06
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.217644e-01 -1.429273e-03 8.469015e-04 2.784231e-02 2.089557e-05 -2.083908e-05 6.621954e-06 4.366745e-05
11385.468179 8.288286e-01 -2.822175e-03 1.718804e-03 5.505870e-02 4.408422e-05 -3.985425e-05 2.076856e-05 8.422511e-05
11390.468179 8.352605e-01 -2.855325e-03 1.726257e-03 5.537811e-02 4.691176e-05 -4.725557e-05 2.246024e-05 8.859586e-05
11395.468179 8.426095e-01 -2.850649e-03 1.736237e-03 5.556381e-02 4.456832e-05 -5.479276e-05 2.535306e-05 9.348296e-05
11400.468179 8.408993e-01 -2.848044e-03 1.733918e-03 5.570153e-02 4.240211e-05 -5.347747e-05 2.842365e-05 8.879317e-05
11405.468179 8.388274e-01 -2.846222e-03 1.774510e-03 5.566083e-02 4.479554e-05 -5.564124e-05 1.856055e-05 7.610519e-05
11410.468179 8.362106e-01 -2.847554e-03 1.754468e-03 5.576029e-02 2.889494e-05 -5.270945e-05 2.506615e-05 7.862406e-05
11415.468179 8.280976e-01 -2.853436e-03 1.766003e-03 5.532818e-02 4.165049e-05 -4.592573e-05 2.921409e-05 8.036204e-05
11420.468179 8.272702e-01 -2.859978e-03 1.754620e-03 5.528152e-02 5.459719e-05 -4.062229e-05 2.069023e-05 7.869117e-05
11425.468179 8.346749e-01 -2.871776e-03 1.759827e-03 5.611158e-02 4.864417e-05 -4.379196e-05 1.353284e-05 8.634285e-05
11430.468179 8.359054e-01 -2.858611e-03 1.750272e-03 5.621508e-02 4.342592e-05 -3.611436e-05 2.523906e-05 8.809094e-05
11435.468179 8.349822e-01 -2.839757e-03 1.761355e-03 5.634896e-02 4.317504e-05 -3.955970e-05 3.295517e-05 8.191536e-05
11440.468179 8.330232e-01 -2.852869e-03 1.764682e-03 5.635872e-02 4.851528e-05 -4.605248e-05 3.620949e-05 7.636488e-05
11445.468179 8.317241e-01 -2.855720e-03 1.788395e-03 5.662014e-02 4.321369e-05 -5.045565e-05 3.019049e-05 7.214004e-05
11450.468179 8.311195e-01 -2.855799e-03 1.746409e-03 5.640190e-02 5.633950e-05 -4.609355e-05 2.755870e-05 7.664670e-05
11455.468179 8.297468e-01 -2.869577e-03 1.773759e-03 5.652551e-02 4.498862e-05 -4.427141e-05 2.133743e-05 7.251204e-05
11460.468179 8.288787e-01 -2.858388e-03 1.734157e-03 5.647942e-02 3.985356e-05 -4.070359e-05 1.899197e-05 7.643560e-05
11465.468179 8.279673e-01 -2.848741e-03 1.752772e-03 5.673551e-02 4.275758e-05 -4.471438e-05 1.597869e-05 7.140850e-05
11470.468179 8.268503e-01 -2.853287e-03 1.785940e-03 5.680876e-02 3.512358e-05 -4.587862e-05 1.636719e-05 7.755629e-05
11475.468179 8.260708e-01 -2.856964e-03 1.687082e-03 5.680285e-02 2.618975e-05 -4.552806e-05 1.399457e-05 7.105793e-05
11480.468179 8.249211e-01 -2.856825e-03 1.760145e-03 5.666776e-02 3.838318e-05 -4.072254e-05 1.453201e-05 7.524415e-05
11485.468179 8.243954e-01 -2.856521e-03 1.754865e-03 5.686376e-02 4.937405e-05 -3.556969e-05 6.767115e-06 6.552836e-05
11490.468179 8.232830e-01 -2.847049e-03 1.735692e-03 5.696238e-02 4.974329e-05 -3.154759e-05 1.058279e-05 7.956013e-05
11495.468179 8.228198e-01 -2.837273e-03 1.749759e-03 5.696074e-02 4.092179e-05 -3.481419e-05 1.883744e-05 8.514162e-05
11500.468179 8.210495e-01 -2.851915e-03 1.768660e-03 5.710198e-02 3.894368e-05 -3.016153e-05 8.714511e-06 8.006828e-05
11505.468179 8.205123e-01 -2.853264e-03 1.721848e-03 5.744148e-02 3.639198e-05 -4.429166e-05 1.104584e-05 7.211580e-05
11510.468179 8.197841e-01 -2.855947e-03 1.720784e-03 5.804642e-02 2.888341e-05 -4.932953e-05 1.095906e-05 6.640928e-05
