# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271168
# UID: 1106732c-f069-4946-8f07-b616bbd1cf97
# Comment: 
# Start time: 10/18/2023  20:38:20
# Stop time: 10/18/2023  20:38:51
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.208670e-01 -1.440281e-03 8.597266e-04 2.785509e-02 2.066741e-05 -2.205548e-05 5.618998e-06 5.575625e-05
11385.425245 8.272092e-01 -2.845704e-03 1.735158e-03 5.507102e-02 3.160019e-05 -4.360208e-05 7.266469e-06 9.861076e-05
11390.425245 8.328797e-01 -2.867402e-03 1.745634e-03 5.531965e-02 2.860297e-05 -3.779826e-05 6.601676e-06 8.246212e-05
11395.425245 8.406454e-01 -2.878350e-03 1.753893e-03 5.552830e-02 3.219471e-05 -3.774172e-05 7.685623e-06 8.816291e-05
11400.425245 8.389994e-01 -2.877194e-03 1.741989e-03 5.576915e-02 3.725420e-05 -3.607586e-05 1.272408e-05 9.533669e-05
11405.425245 8.371711e-01 -2.881138e-03 1.758412e-03 5.561442e-02 4.055779e-05 -4.161068e-05 1.361286e-05 9.222793e-05
11410.425245 8.341921e-01 -2.880513e-03 1.782252e-03 5.575115e-02 3.820755e-05 -3.946628e-05 1.117320e-05 8.983821e-05
11415.425245 8.260073e-01 -2.879865e-03 1.759566e-03 5.538892e-02 3.606783e-05 -4.203316e-05 7.336117e-06 9.120351e-05
11420.425245 8.258899e-01 -2.895177e-03 1.745789e-03 5.532034e-02 3.053206e-05 -4.303393e-05 1.121205e-05 1.085281e-04
11425.425245 8.332060e-01 -2.911145e-03 1.747196e-03 5.593721e-02 2.955578e-05 -3.898561e-05 8.767129e-06 1.030109e-04
11430.425245 8.348379e-01 -2.891118e-03 1.744646e-03 5.630300e-02 3.744031e-05 -3.845583e-05 -4.030819e-06 9.832365e-05
11435.425245 8.331706e-01 -2.889707e-03 1.770702e-03 5.634363e-02 2.934220e-05 -4.451729e-05 5.096672e-06 9.308179e-05
11440.425245 8.316314e-01 -2.890808e-03 1.743719e-03 5.665052e-02 3.858013e-05 -4.609019e-05 9.166219e-06 9.560211e-05
11445.425245 8.304757e-01 -2.895921e-03 1.759358e-03 5.650075e-02 3.848619e-05 -4.743348e-05 1.549542e-05 9.387509e-05
11450.425245 8.293396e-01 -2.894423e-03 1.750281e-03 5.620547e-02 3.793911e-05 -4.510880e-05 7.635090e-06 9.088734e-05
11455.425245 8.280496e-01 -2.893929e-03 1.777911e-03 5.635294e-02 3.103688e-05 -4.383366e-05 6.961112e-06 9.258507e-05
11460.425245 8.268790e-01 -2.899902e-03 1.789704e-03 5.650020e-02 3.353616e-05 -3.914630e-05 1.273635e-05 9.589247e-05
11465.425245 8.259600e-01 -2.890567e-03 1.812226e-03 5.639856e-02 2.591659e-05 -3.983295e-05 1.085589e-05 9.518286e-05
11470.425245 8.256753e-01 -2.890979e-03 1.763804e-03 5.648875e-02 3.058281e-05 -3.612337e-05 1.097599e-05 9.650735e-05
11475.425245 8.249260e-01 -2.895188e-03 1.778048e-03 5.666003e-02 2.356589e-05 -4.249479e-05 5.929408e-06 9.705083e-05
11480.425245 8.236958e-01 -2.887376e-03 1.721242e-03 5.639037e-02 1.837760e-05 -4.086614e-05 6.709647e-06 9.705258e-05
11485.425245 8.223511e-01 -2.888949e-03 1.780001e-03 5.678778e-02 2.106991e-05 -3.852917e-05 2.005555e-05 8.645164e-05
11490.425245 8.213294e-01 -2.891779e-03 1.788691e-03 5.697702e-02 1.985794e-05 -3.769811e-05 1.658253e-05 8.811815e-05
11495.425245 8.207702e-01 -2.906215e-03 1.760339e-03 5.690575e-02 1.807425e-05 -4.500462e-05 6.264444e-06 9.098922e-05
11500.425245 8.190993e-01 -2.897341e-03 1.758397e-03 5.705719e-02 2.162800e-05 -3.383181e-05 -9.212593e-07 8.612592e-05
11505.425245 8.188438e-01 -2.896570e-03 1.739316e-03 5.749489e-02 2.394092e-05 -3.278650e-05 3.569200e-06 8.753975e-05
11510.425245 8.185093e-01 -2.898370e-03 1.774563e-03 5.764335e-02 2.375855e-05 -4.620584e-05 9.432046e-06 8.902383e-05
11515.425245 8.171355e-01 -2.899404e-03 1.785354e-03 5.836180e-02 2.151999e-05 -5.571674e-05 1.359886e-05 8.912966e-05
11520.425245 8.164295e-01 -2.880600e-03 1.763859e-03 5.804911e-02 2.263835e-05 -5.133474e-05 7.995105e-06 9.527127e-05
11525.425245 8.150288e-01 -2.884201e-03 1.732433e-03 5.822885e-02 1.190676e-05 -5.286233e-05 4.003817e-06 9.564848e-05
11530.425245 8.144885e-01 -2.887629e-03 1.758411e-03 5.838120e-02 -2.913433e-06 -5.221068e-05 2.004455e-06 9.841674e-05
11534.000000 8.132958e-01 -2.899229e-03 1.745106e-03 5.828364e-02 -1.362010e-06 -5.830642e-05 1.123955e-05 1.000707e-04
11535.000000 8.133232e-01 -2.916717e-03 1.772544e-03 5.850623e-02 6.404132e-06 -5.802372e-05 9.125745e-06 9.566775e-05
11536.000000 8.129138e-01 -2.899017e-03 1.793887e-03 5.877095e-02 -6.639785e-07 -5.139230e-05 1.126295e-05 9.953617e-05
11537.000000 8.128264e-01 -2.900368e-03 1.748344e-03 5.856229e-02 3.934689e-06 -5.040684e-05 5.083089e-06 9.815944e-05
11538.000000 8.129804e-01 -2.876524e-03 1.757545e-03 5.850025e-02 1.085660e-05 -5.182391e-05 8.026876e-06 1.080017e-04
11539.000000 8.135178e-01 -2.894445e-03 1.713097e-03 5.895189e-02 1.877006e-07 -4.774252e-05 2.279342e-06 9.473889e-05
11540.000000 8.121807e-01 -2.888254e-03 1.778967e-03 5.837824e-02 -5.699669e-06 -5.476430e-05 3.375099e-08 8.813572e-05
11541.000000 8.116237e-01 -2.886830e-03 1.715165e-03 5.993927e-02 -1.016132e-05 -4.967544e-05 -3.020662e-06 8.326991e-05
11541.200000 8.067252e-01 -2.829901e-03 1.503991e-03 5.966719e-02 -1.423146e-05 -5.173040e-05 -1.615881e-05 7.784322e-05
11541.400000 8.105112e-01 -2.976088e-03 1.846118e-03 5.621024e-02 -6.297161e-06 -5.428648e-05 -4.500973e-06 8.411593e-05
11541.600000 8.175518e-01 -2.815051e-03 1.819901e-03 5.905488e-02 -2.253954e-05 -4.949529e-05 -6.604530e-06 8.882683e-05
11541.800000 8.057005e-01 -2.923836e-03 1.650805e-03 6.089942e-02 -6.471138e-06 -5.133208e-05 -7.758569e-07 1.008934e-04
11542.000000 8.133920e-01 -2.836342e-03 1.544946e-03 5.768924e-02 -1.580735e-05 -5.013216e-05 -7.708225e-06 9.035899e-05
11542.200000 8.208437e-01 -2.908614e-03 1.858829e-03 5.993565e-02 -8.682906e-06 -5.801236e-05 6.143497e-06 9.313860e-05
11542.400000 8.001367e-01 -2.836705e-03 1.342637e-03 5.803382e-02 -9.966079e-06 -6.179366e-05 -2.374888e-06 9.516767e-05
11542.600000 8.114905e-01 -2.824231e-03 1.822930e-03 5.886503e-02 -1.392653e-05 -4.515665e-05 2.213409e-05 9.323859e-05
11542.800000 8.122146e-01 -2.976230e-03 1.551837e-03 5.804579e-02 1.557354e-06 -5.082149e-05 1.961346e-05 1.030731e-04
11543.000000 8.097697e-01 -2.776435e-03 1.814148e-03 6.090294e-02 -1.093083e-05 -5.693805e-05 2.815145e-06 9.083552e-05
11543.200000 8.182553e-01 -2.923283e-03 1.753362e-03 5.893320e-02 -1.365472e-05 -5.632736e-05 -5.145495e-06 7.919446e-05
11543.400000 8.096917e-01 -2.844248e-03 1.699515e-03 5.782709e-02 -8.557159e-06 -5.432988e-05 -3.034891e-06 7.598772e-05
11543.600000 8.083731e-01 -2.869362e-03 1.914273e-03 5.944971e-02 -7.136144e-06 -4.952757e-05 -7.267929e-06 7.856481e-05
11543.800000 8.171628e-01 -2.892446e-03 1.575536e-03 5.933944e-02 -6.296432e-06 -4.411545e-05 -1.873436e-05 7.970681e-05
11544.000000 8.080591e-01 -2.785418e-03 1.789141e-03 5.777548e-02 -1.416494e-05 -4.554923e-05 -1.328417e-05 8.383300e-05
11544.200000 8.145569e-01 -2.979988e-03 1.715606e-03 6.071508e-02 9.767622e-06 -6.087314e-05 -4.422646e-06 9.741450e-05
11544.400000 8.126744e-01 -2.809071e-03 1.548498e-03 5.992988e-02 -4.858332e-06 -5.293980e-05 -1.005390e-05 9.785020e-05
11544.600000 8.155033e-01 -2.968428e-03 1.766916e-03 5.870504e-02 3.239704e-06 -5.332097e-05 -4.098342e-07 1.039027e-04
11544.800000 8.130469e-01 -2.866666e-03 1.767637e-03 5.782553e-02 -4.009365e-07 -5.392908e-05 -6.469420e-06 9.189284e-05
11545.000000 8.124374e-01 -2.856718e-03 2.123226e-03 5.984596e-02 6.167859e-06 -5.723546e-05 9.771165e-06 8.699462e-05
11545.200000 8.089976e-01 -2.924830e-03 1.668962e-03 6.018630e-02 7.314563e-06 -6.154880e-05 -1.261976e-05 1.033379e-04
11545.400000 8.179134e-01 -2.821341e-03 1.910176e-03 6.172696e-02 -5.322782e-07 -6.645169e-05 -2.717765e-05 1.018813e-04
11545.600000 8.113005e-01 -2.954425e-03 1.622045e-03 6.034272e-02 7.436256e-06 -6.137641e-05 -1.195539e-05 8.248270e-05
11545.800000 8.134495e-01 -2.801612e-03 1.897629e-03 5.936994e-02 2.728231e-06 -5.577564e-05 -1.003667e-06 9.672996e-05
11546.000000 8.116732e-01 -2.957835e-03 1.565999e-03 5.832883e-02 7.516715e-06 -6.033071e-05 2.271214e-06 9.787784e-05
11546.200000 8.093133e-01 -2.817174e-03 1.459660e-03 5.753307e-02 -6.886108e-06 -5.389251e-05 -1.902251e-06 7.562206e-05
11546.400000 8.118561e-01 -2.909216e-03 1.943544e-03 6.093710e-02 -5.157478e-06 -4.947095e-05 -4.459912e-06 8.856190e-05
11546.600000 8.106236e-01 -2.903978e-03 1.637711e-03 6.266560e-02 -8.567632e-07 -6.037710e-05 -1.451282e-05 9.174663e-05
11546.800000 8.152552e-01 -2.802133e-03 1.811102e-03 6.006015e-02 -1.722939e-05 -5.072121e-05 -2.523524e-06 8.012787e-05
11547.000000 8.162070e-01 -2.941104e-03 1.480668e-03 5.943828e-02 1.238438e-06 -5.258249e-05 -1.034779e-05 8.697350e-05
11547.200000 8.117668e-01 -2.823812e-03 1.794560e-03 5.979838e-02 -6.545545e-06 -5.412431e-05 -7.960934e-06 7.496623e-05
11547.400000 8.170527e-01 -2.973442e-03 1.763616e-03 6.014931e-02 2.880582e-06 -6.157417e-05 -1.078206e-05 5.229517e-05
11547.600000 8.124713e-01 -2.811383e-03 1.952720e-03 5.932080e-02 -2.350021e-06 -6.479113e-05 -1.433786e-05 6.558930e-05
