# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271169
# UID: 39c6c9c4-b748-4e98-b5fc-c2e2807a964b
# Comment: 
# Start time: 10/18/2023  20:38:55
# Stop time: 10/18/2023  20:39:26
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.554224 4.214830e-01 -1.440862e-03 8.644233e-04 2.782159e-02 2.579573e-05 -1.542177e-05 1.310719e-05 4.791543e-05
11385.554224 8.276392e-01 -2.856269e-03 1.709036e-03 5.492929e-02 4.656996e-05 -3.555897e-05 1.878456e-05 8.399392e-05
11390.554224 8.340655e-01 -2.880363e-03 1.748939e-03 5.538001e-02 3.808245e-05 -2.956172e-05 1.548047e-05 8.537075e-05
11395.554224 8.415803e-01 -2.879989e-03 1.744851e-03 5.572312e-02 4.144451e-05 -2.540397e-05 1.449677e-05 8.592652e-05
11400.554224 8.400466e-01 -2.884466e-03 1.722276e-03 5.571346e-02 3.986765e-05 -1.761551e-05 1.377552e-05 8.663675e-05
11405.554224 8.380628e-01 -2.887776e-03 1.731263e-03 5.578851e-02 3.741188e-05 -1.329577e-05 2.478944e-05 8.508756e-05
11410.554224 8.347275e-01 -2.886724e-03 1.775526e-03 5.560403e-02 3.658089e-05 -1.023672e-05 2.324411e-05 8.946292e-05
11415.554224 8.265104e-01 -2.892109e-03 1.772432e-03 5.538917e-02 3.312133e-05 -2.350160e-05 2.020004e-05 8.487682e-05
11420.554224 8.266222e-01 -2.883591e-03 1.729437e-03 5.543841e-02 3.156142e-05 -1.796119e-05 9.012408e-06 7.581692e-05
11425.554224 8.340263e-01 -2.890295e-03 1.717134e-03 5.589497e-02 3.865491e-05 -1.934440e-05 1.160349e-05 7.365085e-05
11430.554224 8.354350e-01 -2.888619e-03 1.760164e-03 5.630308e-02 4.200498e-05 -1.524637e-05 1.872584e-05 8.226616e-05
11435.554224 8.338385e-01 -2.894131e-03 1.765329e-03 5.647654e-02 4.358425e-05 -1.877774e-05 1.712958e-05 7.076125e-05
11440.554224 8.323987e-01 -2.893520e-03 1.777589e-03 5.626953e-02 4.167151e-05 -3.151560e-05 2.492308e-05 7.759555e-05
11445.554224 8.313000e-01 -2.893581e-03 1.794591e-03 5.616313e-02 4.186532e-05 -2.259981e-05 3.315999e-05 8.007331e-05
11450.554224 8.301768e-01 -2.900400e-03 1.771145e-03 5.626257e-02 4.229044e-05 -1.716153e-05 2.717139e-05 7.784538e-05
11455.554224 8.288576e-01 -2.888527e-03 1.817936e-03 5.622921e-02 3.993683e-05 -2.144196e-05 1.575825e-05 8.678390e-05
11460.554224 8.283812e-01 -2.894325e-03 1.785636e-03 5.634059e-02 2.927649e-05 -2.051209e-05 8.738092e-06 8.776016e-05
11465.554224 8.269267e-01 -2.896354e-03 1.761985e-03 5.628852e-02 3.453740e-05 -1.884834e-05 1.825071e-05 7.997258e-05
11470.554224 8.267331e-01 -2.901279e-03 1.739062e-03 5.656641e-02 4.478711e-05 -2.415363e-05 1.798085e-05 8.384576e-05
11475.554224 8.261420e-01 -2.887928e-03 1.718265e-03 5.669857e-02 4.076058e-05 -2.216388e-05 2.290191e-05 9.743940e-05
11480.554224 8.245816e-01 -2.893024e-03 1.748632e-03 5.675333e-02 4.494503e-05 -2.099308e-05 3.438158e-05 1.084793e-04
11485.554224 8.233161e-01 -2.875578e-03 1.717173e-03 5.678901e-02 5.663342e-05 -2.688092e-05 2.824184e-05 1.044773e-04
