# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271170
# UID: 6d68a9a4-251d-4bbd-ab58-edc3754833f2
# Comment: 
# Start time: 10/18/2023  20:39:30
# Stop time: 10/18/2023  20:40:01
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.208344e-01 -1.429822e-03 8.818170e-04 2.773740e-02 2.179689e-05 -1.675304e-05 3.493405e-06 4.123747e-05
11385.425245 8.273328e-01 -2.830110e-03 1.767105e-03 5.494958e-02 3.198869e-05 -3.506948e-05 5.341210e-06 8.491448e-05
11390.425245 8.331961e-01 -2.868754e-03 1.769452e-03 5.525509e-02 3.322826e-05 -3.389786e-05 8.318399e-06 8.735611e-05
11395.425245 8.404965e-01 -2.862837e-03 1.790522e-03 5.551328e-02 3.718279e-05 -2.984837e-05 7.151131e-06 9.067057e-05
11400.425245 8.390780e-01 -2.864140e-03 1.804002e-03 5.545551e-02 3.449337e-05 -2.937816e-05 8.103246e-06 8.181511e-05
11405.425245 8.370658e-01 -2.866072e-03 1.794600e-03 5.551548e-02 2.778355e-05 -2.515470e-05 1.868105e-05 8.472172e-05
11410.425245 8.339219e-01 -2.873810e-03 1.806995e-03 5.563476e-02 2.665090e-05 -3.159105e-05 1.286012e-05 8.805305e-05
11415.425245 8.265005e-01 -2.867625e-03 1.789812e-03 5.518105e-02 3.530011e-05 -3.599383e-05 4.717141e-06 8.435462e-05
11420.425245 8.262070e-01 -2.864971e-03 1.800538e-03 5.570246e-02 4.580317e-05 -3.004461e-05 9.916774e-06 7.886926e-05
11425.425245 8.334229e-01 -2.858811e-03 1.775579e-03 5.592611e-02 4.468727e-05 -3.585348e-05 9.012887e-06 8.193251e-05
