# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271171
# UID: a5a0b59d-f8a6-444f-94de-d52bf622c30a
# Comment: 
# Start time: 10/18/2023  20:40:05
# Stop time: 10/18/2023  20:40:36
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425709 4.203764e-01 -1.429158e-03 8.818789e-04 2.786763e-02 5.544848e-06 -6.039640e-06 1.279638e-06 4.353044e-05
11385.425709 8.260585e-01 -2.843766e-03 1.732345e-03 5.500505e-02 4.455468e-06 -1.376351e-05 -2.617939e-06 8.301172e-05
11390.425709 8.320016e-01 -2.892646e-03 1.720829e-03 5.527518e-02 2.241154e-06 -9.207572e-06 -5.773032e-06 8.678637e-05
11395.425709 8.391479e-01 -2.895186e-03 1.756472e-03 5.547670e-02 -4.907586e-06 -1.025039e-05 -8.663353e-06 8.289626e-05
11400.425709 8.377193e-01 -2.908982e-03 1.781594e-03 5.550367e-02 -7.582967e-06 -1.022242e-05 -1.720282e-05 8.837662e-05
11405.425709 8.357978e-01 -2.912041e-03 1.724082e-03 5.556067e-02 -5.782573e-06 -1.636465e-05 -1.748307e-05 8.935935e-05
11410.425709 8.329497e-01 -2.893248e-03 1.702427e-03 5.535615e-02 8.301707e-07 -2.567104e-05 -8.206674e-06 8.096556e-05
11415.425709 8.247012e-01 -2.885304e-03 1.744936e-03 5.506298e-02 -4.810134e-06 -2.098294e-05 8.750475e-06 8.645537e-05
11420.425709 8.241827e-01 -2.891377e-03 1.751303e-03 5.539093e-02 -3.410608e-06 -1.871147e-05 7.623980e-10 9.035499e-05
11425.425709 8.321382e-01 -2.885472e-03 1.776806e-03 5.593610e-02 1.209801e-06 -8.944373e-06 4.323503e-06 9.273459e-05
11430.425709 8.335102e-01 -2.884107e-03 1.718212e-03 5.624951e-02 3.053751e-06 -7.764998e-06 8.611612e-06 9.214762e-05
11435.425709 8.315596e-01 -2.883437e-03 1.744954e-03 5.616236e-02 6.511196e-06 -1.943365e-05 9.890176e-06 8.934656e-05
11440.425709 8.301255e-01 -2.876337e-03 1.744339e-03 5.608680e-02 -1.142515e-06 -2.161392e-05 9.976771e-06 1.004707e-04
11445.425709 8.286559e-01 -2.877332e-03 1.763300e-03 5.610721e-02 4.295268e-06 -1.757270e-05 -2.738699e-06 1.084189e-04
11450.425709 8.279514e-01 -2.879021e-03 1.754742e-03 5.606965e-02 3.577093e-06 -1.436035e-05 -1.067718e-05 1.026585e-04
11455.425709 8.268847e-01 -2.887723e-03 1.768766e-03 5.618442e-02 3.198449e-06 -1.366524e-05 -5.333471e-06 9.057346e-05
11460.425709 8.262173e-01 -2.887483e-03 1.759233e-03 5.653397e-02 -6.948907e-06 -1.051867e-05 -1.834543e-06 8.259917e-05
11465.425709 8.254166e-01 -2.878062e-03 1.776572e-03 5.628676e-02 1.797657e-06 -1.232748e-05 -3.101006e-06 8.461315e-05
11470.425709 8.244494e-01 -2.868484e-03 1.762820e-03 5.644624e-02 -3.094105e-07 -2.989323e-05 -1.144372e-06 8.510174e-05
11475.425709 8.232470e-01 -2.865431e-03 1.730762e-03 5.657647e-02 -5.230923e-06 -1.758102e-05 5.574433e-07 9.095189e-05
11480.425709 8.222792e-01 -2.874033e-03 1.721941e-03 5.661908e-02 -9.874409e-06 -1.051807e-05 -1.109677e-06 8.501474e-05
11485.425709 8.214168e-01 -2.885872e-03 1.731222e-03 5.703587e-02 1.515841e-06 -1.681748e-05 -1.738726e-06 8.579994e-05
11490.425709 8.200094e-01 -2.883406e-03 1.724578e-03 5.680208e-02 1.244486e-05 -2.226079e-05 3.971032e-06 8.618815e-05
11495.425709 8.192169e-01 -2.900446e-03 1.761790e-03 5.696597e-02 1.582594e-05 -2.239878e-05 5.606143e-06 8.897085e-05
11500.425709 8.189223e-01 -2.915696e-03 1.766071e-03 5.710325e-02 2.504197e-05 -1.766348e-05 1.111862e-05 9.776784e-05
11505.425709 8.179727e-01 -2.905118e-03 1.763531e-03 5.739373e-02 2.751769e-05 -1.617682e-05 1.911176e-06 9.275506e-05
11510.425709 8.174351e-01 -2.897466e-03 1.768340e-03 5.766545e-02 1.177772e-05 -1.606444e-05 -3.649298e-06 9.721730e-05
11515.425709 8.156411e-01 -2.884651e-03 1.742756e-03 5.802877e-02 1.111169e-05 -1.904308e-05 -2.035623e-06 9.105523e-05
11520.425709 8.153706e-01 -2.899917e-03 1.740424e-03 5.764640e-02 1.654888e-05 -1.800571e-05 1.094615e-05 8.336109e-05
11525.425709 8.143699e-01 -2.895347e-03 1.744981e-03 5.777122e-02 1.203708e-05 -1.813324e-05 2.039171e-05 8.678928e-05
11530.425709 8.135571e-01 -2.890249e-03 1.765105e-03 5.825307e-02 9.097532e-06 -1.534478e-05 1.661059e-05 8.885372e-05
11534.000000 8.128453e-01 -2.871809e-03 1.742979e-03 5.813339e-02 5.730526e-06 -1.502218e-05 2.211001e-05 9.456638e-05
11535.000000 8.135908e-01 -2.876592e-03 1.726687e-03 5.830684e-02 6.901845e-06 -8.117024e-06 2.380870e-05 1.004011e-04
11536.000000 8.127353e-01 -2.889639e-03 1.662216e-03 5.825998e-02 1.076533e-05 -5.837187e-06 2.004396e-05 8.495637e-05
11537.000000 8.132257e-01 -2.887812e-03 1.752751e-03 5.827034e-02 1.517055e-05 -1.742846e-05 1.139655e-05 9.412300e-05
11538.000000 8.122639e-01 -2.882081e-03 1.806487e-03 5.913834e-02 1.133920e-05 -1.899388e-05 9.890434e-06 9.135822e-05
11539.000000 8.125308e-01 -2.882075e-03 1.756748e-03 5.875589e-02 5.142455e-06 -2.493447e-05 9.621122e-06 9.699201e-05
11540.000000 8.110744e-01 -2.887505e-03 1.701736e-03 5.891871e-02 1.256632e-05 -2.820092e-05 8.098649e-06 9.148025e-05
11541.000000 8.128064e-01 -2.887502e-03 1.792093e-03 5.843487e-02 1.641374e-05 -2.573409e-05 1.718137e-06 8.557089e-05
11541.200000 8.152817e-01 -2.978569e-03 1.732910e-03 5.926503e-02 2.578844e-05 -2.713144e-05 -5.996425e-06 7.927966e-05
11541.400000 8.112402e-01 -2.770121e-03 1.930036e-03 5.882339e-02 1.482872e-05 -3.022500e-05 -1.656795e-06 7.537674e-05
11541.600000 8.118433e-01 -2.944478e-03 1.673701e-03 5.773879e-02 2.319950e-05 -2.197803e-05 1.223526e-05 9.171821e-05
11541.800000 8.129565e-01 -2.806196e-03 1.599347e-03 5.998108e-02 1.435455e-05 -1.504026e-05 5.485893e-06 1.007565e-04
11542.000000 8.126287e-01 -2.825596e-03 1.759759e-03 5.908378e-02 2.341611e-05 -8.760893e-06 3.968312e-06 9.392857e-05
11542.200000 8.104366e-01 -2.928809e-03 1.615014e-03 5.925876e-02 1.825088e-05 -1.299403e-05 1.292667e-06 9.154846e-05
11542.400000 8.069901e-01 -2.781112e-03 1.816608e-03 5.807730e-02 4.059803e-06 -1.927572e-05 2.434546e-05 1.072554e-04
11542.600000 8.205263e-01 -2.990646e-03 1.640760e-03 5.826844e-02 1.869164e-05 -2.576500e-05 -8.386040e-07 9.967530e-05
11542.800000 8.090859e-01 -2.777265e-03 1.999767e-03 5.774726e-02 7.396288e-06 -2.217540e-05 -9.210443e-06 8.746183e-05
11543.000000 8.121280e-01 -2.919653e-03 1.537249e-03 6.040327e-02 2.424227e-05 -2.169044e-05 -9.651015e-06 8.712188e-05
11543.200000 8.131597e-01 -2.901530e-03 1.751277e-03 5.853098e-02 2.016840e-05 -1.157418e-05 1.384052e-06 9.607392e-05
11543.400000 8.118105e-01 -2.800171e-03 1.601426e-03 5.862934e-02 1.325901e-05 -1.001823e-05 7.231893e-06 9.428143e-05
11543.600000 8.116443e-01 -2.968305e-03 1.949407e-03 6.017518e-02 1.680576e-05 -1.365041e-05 1.553473e-05 1.016552e-04
11543.800000 8.076644e-01 -2.771525e-03 1.870161e-03 6.072928e-02 1.252079e-05 -1.316096e-05 2.104916e-06 9.782852e-05
11544.000000 8.095472e-01 -2.923999e-03 1.690943e-03 5.896719e-02 2.511506e-05 -3.556623e-06 3.735117e-06 9.664901e-05
11544.200000 8.153672e-01 -2.834477e-03 1.758208e-03 5.939944e-02 1.699215e-05 -9.640189e-06 1.242752e-06 1.022584e-04
11544.400000 8.121723e-01 -2.880456e-03 1.815346e-03 6.036648e-02 1.416785e-05 -1.203601e-05 1.517063e-05 9.573431e-05
11544.600000 8.089027e-01 -2.876760e-03 1.848699e-03 5.812953e-02 1.501896e-05 -1.376794e-05 2.055006e-05 1.056159e-04
11544.800000 8.051672e-01 -2.806923e-03 1.612503e-03 5.787059e-02 1.682674e-05 -1.887253e-05 1.861090e-05 1.167287e-04
11545.000000 8.118426e-01 -2.948640e-03 1.840291e-03 6.159363e-02 1.359055e-05 -2.147152e-05 8.569417e-06 1.193349e-04
