# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271153
# UID: b6f92329-28e5-4653-977b-504241eb02d6
# Comment: 
# Start time: 10/18/2023  20:29:16
# Stop time: 10/18/2023  20:29:48
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.199230e-01 -1.442281e-03 8.859665e-04 2.868419e-02 2.170127e-05 -1.648959e-05 5.446899e-06 3.698722e-05
11385.468179 8.251913e-01 -2.857278e-03 1.775116e-03 5.689834e-02 5.041654e-05 -3.148734e-05 3.723262e-07 6.862026e-05
11390.468179 8.312143e-01 -2.879789e-03 1.771681e-03 5.703653e-02 5.396812e-05 -4.242401e-05 -2.150240e-06 7.289738e-05
11395.468179 8.386583e-01 -2.874123e-03 1.740228e-03 5.723427e-02 5.430713e-05 -4.078420e-05 -6.831863e-06 7.756036e-05
11400.468179 8.366809e-01 -2.869512e-03 1.770239e-03 5.735848e-02 5.049442e-05 -4.138129e-05 -3.470667e-06 7.507420e-05
11405.468179 8.349515e-01 -2.869462e-03 1.808309e-03 5.724613e-02 5.408754e-05 -3.929814e-05 -7.747034e-06 7.813493e-05
11410.468179 8.329940e-01 -2.874248e-03 1.793799e-03 5.743155e-02 5.878278e-05 -3.416743e-05 -5.413816e-06 7.700116e-05
11415.468179 8.244608e-01 -2.882007e-03 1.769954e-03 5.748373e-02 5.821657e-05 -3.725125e-05 -3.278245e-06 7.777771e-05
11420.468179 8.232011e-01 -2.887137e-03 1.762485e-03 5.734617e-02 5.977222e-05 -4.184980e-05 8.619779e-06 8.260026e-05
11425.468179 8.312034e-01 -2.883926e-03 1.762639e-03 5.782682e-02 6.164760e-05 -5.565298e-05 1.664088e-05 8.959482e-05
