# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271157
# UID: adb20679-643c-435d-ac53-22ac46dc9ae4
# Comment: 
# Start time: 10/18/2023  20:31:36
# Stop time: 10/18/2023  20:32:12
# Total time: 00:35
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.201394e-01 -1.438650e-03 8.763066e-04 2.875215e-02 1.763498e-05 -2.608592e-05 -1.440332e-06 3.616456e-05
11385.596982 8.254892e-01 -2.857886e-03 1.711261e-03 5.688212e-02 4.192790e-05 -4.602392e-05 -2.760566e-06 7.956202e-05
11390.596982 8.321125e-01 -2.888609e-03 1.743015e-03 5.714124e-02 4.748925e-05 -3.211326e-05 -1.233361e-05 9.468021e-05
11395.596982 8.389792e-01 -2.878482e-03 1.745073e-03 5.748361e-02 5.649090e-05 -2.531224e-05 -1.897670e-05 8.665568e-05
11400.596982 8.378957e-01 -2.880577e-03 1.758207e-03 5.752965e-02 5.302473e-05 -3.501979e-05 -2.473969e-05 7.773018e-05
11405.596982 8.356919e-01 -2.886524e-03 1.714049e-03 5.734652e-02 4.673743e-05 -4.254225e-05 -1.510989e-05 8.058239e-05
11410.596982 8.333542e-01 -2.898128e-03 1.699934e-03 5.757202e-02 5.140855e-05 -5.186725e-05 -1.167389e-05 7.805929e-05
11415.596982 8.250767e-01 -2.915837e-03 1.711134e-03 5.736180e-02 5.787322e-05 -4.438513e-05 -1.399650e-05 8.464378e-05
11420.596982 8.250496e-01 -2.892706e-03 1.712098e-03 5.736938e-02 5.732792e-05 -4.224956e-05 -1.868094e-05 7.788063e-05
11425.596982 8.323702e-01 -2.903342e-03 1.716489e-03 5.766825e-02 4.767344e-05 -4.629177e-05 -1.664267e-05 7.436319e-05
11430.596982 8.332169e-01 -2.908765e-03 1.751618e-03 5.798015e-02 4.130521e-05 -3.815421e-05 -1.072075e-05 7.369409e-05
11435.596982 8.315882e-01 -2.908766e-03 1.725823e-03 5.773961e-02 4.310740e-05 -4.828518e-05 -3.980263e-06 7.497013e-05
11440.596982 8.297150e-01 -2.909164e-03 1.745011e-03 5.787638e-02 3.951868e-05 -5.426121e-05 -8.389010e-06 7.898462e-05
11445.596982 8.291536e-01 -2.897744e-03 1.741497e-03 5.789312e-02 4.051540e-05 -4.774574e-05 -8.905641e-06 8.287745e-05
11450.596982 8.276464e-01 -2.908533e-03 1.741283e-03 5.777952e-02 4.835857e-05 -4.714473e-05 -6.847037e-06 8.529261e-05
11455.596982 8.268960e-01 -2.900444e-03 1.788164e-03 5.822311e-02 5.557082e-05 -3.659767e-05 -1.275914e-05 9.458786e-05
11460.596982 8.254307e-01 -2.928278e-03 1.764106e-03 5.813780e-02 5.753704e-05 -3.140593e-05 -9.190509e-06 8.660923e-05
11465.596982 8.246035e-01 -2.923059e-03 1.776952e-03 5.836586e-02 6.382061e-05 -3.426195e-05 -1.159940e-05 7.852031e-05
11470.596982 8.236167e-01 -2.922230e-03 1.736961e-03 5.866385e-02 6.834705e-05 -2.646542e-05 -1.195049e-05 7.862441e-05
11475.596982 8.228725e-01 -2.912334e-03 1.772567e-03 5.839276e-02 6.866706e-05 -2.665945e-05 -5.490922e-06 7.696374e-05
11480.596982 8.217852e-01 -2.906542e-03 1.767221e-03 5.857334e-02 5.962134e-05 -2.374316e-05 -1.241159e-05 7.902554e-05
11485.596982 8.216322e-01 -2.905905e-03 1.717871e-03 5.873485e-02 5.712034e-05 -3.407732e-05 -7.837282e-06 7.482458e-05
11490.596982 8.203881e-01 -2.895827e-03 1.749945e-03 5.858246e-02 5.209590e-05 -3.810810e-05 -9.701116e-06 6.692686e-05
11495.596982 8.198574e-01 -2.904932e-03 1.764066e-03 5.884352e-02 5.265663e-05 -3.100811e-05 -1.409862e-05 6.277033e-05
11500.596982 8.182978e-01 -2.907236e-03 1.763288e-03 5.914165e-02 5.448064e-05 -3.081242e-05 -1.485885e-05 6.631550e-05
11505.596982 8.171382e-01 -2.904042e-03 1.759549e-03 5.936699e-02 4.919597e-05 -4.494389e-05 -1.503301e-05 7.540327e-05
11510.596982 8.161175e-01 -2.907715e-03 1.772583e-03 5.980722e-02 4.579847e-05 -3.848202e-05 -2.081287e-05 7.658867e-05
11515.596982 8.153397e-01 -2.890671e-03 1.760117e-03 5.960359e-02 4.688465e-05 -3.349286e-05 -2.527899e-05 8.515833e-05
11520.596982 8.153062e-01 -2.882717e-03 1.796574e-03 5.960524e-02 5.679528e-05 -4.243009e-05 -1.392060e-05 8.477853e-05
11525.596982 8.144450e-01 -2.888701e-03 1.735182e-03 5.997760e-02 6.107915e-05 -3.944353e-05 -1.088614e-05 8.558359e-05
11530.596982 8.135092e-01 -2.892339e-03 1.767983e-03 5.990035e-02 5.837439e-05 -3.586871e-05 -1.163926e-05 7.020772e-05
11534.000000 8.119292e-01 -2.882302e-03 1.772115e-03 6.048213e-02 4.910225e-05 -3.299319e-05 -1.658097e-05 6.841223e-05
11535.000000 8.114785e-01 -2.891893e-03 1.745666e-03 6.123193e-02 4.916828e-05 -3.056501e-05 -1.713251e-05 6.877088e-05
11536.000000 8.110819e-01 -2.905138e-03 1.786279e-03 6.022002e-02 5.400763e-05 -3.361951e-05 -9.979800e-06 7.556291e-05
11537.000000 8.114375e-01 -2.880847e-03 1.780856e-03 6.126717e-02 5.559665e-05 -3.909668e-05 -1.447597e-05 8.243177e-05
11538.000000 8.117561e-01 -2.880174e-03 1.713660e-03 6.061410e-02 5.411945e-05 -3.900362e-05 -5.666501e-06 8.122148e-05
11539.000000 8.101850e-01 -2.912591e-03 1.779624e-03 6.092511e-02 4.834208e-05 -3.799791e-05 -2.356473e-07 7.774212e-05
11540.000000 8.110636e-01 -2.910307e-03 1.759181e-03 6.117760e-02 5.900469e-05 -3.562637e-05 -8.963520e-06 8.273042e-05
