# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271158
# UID: ae5782e6-cbef-4daf-ba6f-335575e497e5
# Comment: 
# Start time: 10/18/2023  20:32:16
# Stop time: 10/18/2023  20:32:47
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.201312e-01 -1.444442e-03 8.714067e-04 2.885596e-02 1.726735e-05 -2.328939e-05 6.112950e-06 3.397300e-05
11385.468179 8.256544e-01 -2.863767e-03 1.720495e-03 5.697321e-02 2.712651e-05 -4.743945e-05 6.767849e-06 6.845127e-05
11390.468179 8.317227e-01 -2.879234e-03 1.742217e-03 5.705735e-02 3.172986e-05 -4.181265e-05 1.162158e-05 7.115118e-05
11395.468179 8.390866e-01 -2.887730e-03 1.736881e-03 5.715671e-02 2.945986e-05 -3.476196e-05 4.102868e-06 7.130765e-05
11400.468179 8.377623e-01 -2.880995e-03 1.749670e-03 5.731508e-02 2.578192e-05 -4.283412e-05 4.171303e-06 5.745413e-05
11405.468179 8.355404e-01 -2.866112e-03 1.777959e-03 5.733442e-02 3.705831e-05 -4.550190e-05 1.148301e-05 7.037228e-05
11410.468179 8.328269e-01 -2.873831e-03 1.773606e-03 5.747196e-02 4.946155e-05 -4.116932e-05 3.855610e-06 6.962169e-05
11415.468179 8.244273e-01 -2.890036e-03 1.727559e-03 5.731224e-02 5.027063e-05 -3.272438e-05 3.474486e-06 6.830301e-05
11420.468179 8.244296e-01 -2.879610e-03 1.750465e-03 5.725670e-02 4.228835e-05 -3.382525e-05 1.172854e-05 6.791981e-05
11425.468179 8.321140e-01 -2.877110e-03 1.745502e-03 5.764512e-02 3.822402e-05 -3.646076e-05 2.029752e-05 5.836078e-05
11430.468179 8.329882e-01 -2.885783e-03 1.729073e-03 5.775302e-02 4.413832e-05 -3.603534e-05 1.460006e-05 6.175244e-05
11435.468179 8.310053e-01 -2.903747e-03 1.738052e-03 5.781939e-02 4.731553e-05 -3.251298e-05 2.411336e-05 6.325297e-05
11440.468179 8.292674e-01 -2.891716e-03 1.746299e-03 5.774600e-02 4.912509e-05 -2.931527e-05 2.636088e-05 6.733539e-05
11445.468179 8.287941e-01 -2.879219e-03 1.793462e-03 5.773952e-02 3.703953e-05 -2.341350e-05 2.311716e-05 6.639677e-05
11450.468179 8.274504e-01 -2.868347e-03 1.774408e-03 5.800604e-02 3.905234e-05 -2.535618e-05 1.907665e-05 7.677364e-05
11455.468179 8.267512e-01 -2.874012e-03 1.779868e-03 5.801283e-02 3.182287e-05 -2.611530e-05 1.723283e-05 6.947395e-05
11460.468179 8.257547e-01 -2.888419e-03 1.740536e-03 5.791119e-02 3.447074e-05 -2.590553e-05 6.627215e-06 5.649823e-05
11465.468179 8.248223e-01 -2.886510e-03 1.699752e-03 5.806600e-02 3.946797e-05 -2.819459e-05 1.102581e-05 5.677056e-05
11470.468179 8.237315e-01 -2.887992e-03 1.738795e-03 5.823767e-02 3.543315e-05 -2.499660e-05 1.404244e-05 5.597007e-05
11475.468179 8.227931e-01 -2.880880e-03 1.751690e-03 5.820621e-02 3.448849e-05 -1.944318e-05 5.460312e-06 6.428557e-05
11480.468179 8.219594e-01 -2.881096e-03 1.737918e-03 5.845294e-02 3.455411e-05 -1.455612e-05 7.578012e-06 6.233445e-05
11485.468179 8.207674e-01 -2.878434e-03 1.739442e-03 5.845153e-02 3.197977e-05 -1.585492e-05 1.443737e-05 5.687854e-05
11490.468179 8.194562e-01 -2.881457e-03 1.732708e-03 5.865244e-02 4.149865e-05 -1.996392e-05 1.356988e-05 5.350884e-05
11495.468179 8.186631e-01 -2.890159e-03 1.713256e-03 5.868264e-02 5.221357e-05 -1.492086e-05 8.162057e-06 5.550035e-05
