# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271159
# UID: 814623a1-32e1-44a9-be76-41c91c8d8b68
# Comment: 
# Start time: 10/18/2023  20:32:51
# Stop time: 10/18/2023  20:33:22
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.201855e-01 -1.441452e-03 8.799513e-04 2.871365e-02 3.133728e-05 -1.328431e-05 8.095933e-06 4.435307e-05
11385.596982 8.252878e-01 -2.840475e-03 1.741547e-03 5.688328e-02 5.768009e-05 -2.486306e-05 1.669354e-05 9.088151e-05
11390.596982 8.319003e-01 -2.858382e-03 1.754640e-03 5.707166e-02 5.336536e-05 -2.240810e-05 1.299555e-05 9.755235e-05
11395.596982 8.393146e-01 -2.869058e-03 1.786166e-03 5.739632e-02 6.231536e-05 -3.039317e-05 1.385261e-05 9.946736e-05
11400.596982 8.375682e-01 -2.887121e-03 1.752332e-03 5.758345e-02 7.019888e-05 -3.254088e-05 2.158759e-05 9.986375e-05
11405.596982 8.356055e-01 -2.902638e-03 1.719212e-03 5.754249e-02 6.365739e-05 -3.522100e-05 1.301498e-05 8.942051e-05
11410.596982 8.326141e-01 -2.907898e-03 1.794468e-03 5.767999e-02 5.340750e-05 -2.419834e-05 4.648167e-06 8.691538e-05
11415.596982 8.243760e-01 -2.909259e-03 1.767071e-03 5.755489e-02 6.061954e-05 -2.775984e-05 5.654974e-06 8.317677e-05
11420.596982 8.246011e-01 -2.895444e-03 1.784588e-03 5.733927e-02 6.197384e-05 -2.691978e-05 -3.192855e-06 7.961242e-05
11425.596982 8.317599e-01 -2.901942e-03 1.734014e-03 5.783468e-02 5.425869e-05 -3.237678e-05 -9.780607e-06 8.354083e-05
11430.596982 8.326578e-01 -2.880186e-03 1.747366e-03 5.780131e-02 5.759450e-05 -2.674051e-05 -1.648518e-05 8.867441e-05
11435.596982 8.316242e-01 -2.887532e-03 1.741302e-03 5.793564e-02 5.943344e-05 -2.715795e-05 -1.239636e-05 7.919235e-05
11440.596982 8.302910e-01 -2.895566e-03 1.757808e-03 5.795173e-02 6.347281e-05 -1.999994e-05 2.064410e-06 7.866524e-05
11445.596982 8.291225e-01 -2.883903e-03 1.748123e-03 5.804316e-02 6.359517e-05 -1.836707e-05 -1.757981e-06 6.682955e-05
11450.596982 8.278208e-01 -2.872266e-03 1.765797e-03 5.811085e-02 6.322574e-05 -2.722664e-05 -6.501871e-06 6.936152e-05
11455.596982 8.265406e-01 -2.874281e-03 1.746864e-03 5.810482e-02 6.693647e-05 -3.322875e-05 -4.967842e-06 7.324162e-05
11460.596982 8.255350e-01 -2.874981e-03 1.804298e-03 5.819319e-02 7.093511e-05 -3.326324e-05 3.444094e-06 7.219461e-05
11465.596982 8.243105e-01 -2.875889e-03 1.799559e-03 5.814701e-02 7.570101e-05 -2.640312e-05 2.410754e-06 6.792169e-05
11470.596982 8.235452e-01 -2.899006e-03 1.752455e-03 5.825742e-02 8.190511e-05 -1.936468e-05 2.567567e-06 6.336804e-05
11475.596982 8.230346e-01 -2.892495e-03 1.697750e-03 5.837670e-02 8.630547e-05 -3.096929e-05 -4.092207e-07 7.080811e-05
11480.596982 8.220915e-01 -2.890482e-03 1.747226e-03 5.838344e-02 8.298353e-05 -3.091425e-05 -1.476952e-06 6.805983e-05
11485.596982 8.209043e-01 -2.887118e-03 1.756457e-03 5.859867e-02 6.783555e-05 -2.557402e-05 2.729086e-06 5.779459e-05
11490.596982 8.201241e-01 -2.865973e-03 1.715604e-03 5.878831e-02 6.702267e-05 -2.388527e-05 5.304304e-06 8.175290e-05
11495.596982 8.190945e-01 -2.858658e-03 1.707874e-03 5.889987e-02 6.269441e-05 -2.167266e-05 -7.296616e-06 8.888301e-05
11500.596982 8.183337e-01 -2.866682e-03 1.791965e-03 5.921026e-02 6.397298e-05 -2.347160e-05 -3.092600e-06 8.964380e-05
11505.596982 8.174498e-01 -2.866837e-03 1.776542e-03 5.947479e-02 6.202542e-05 -2.054078e-05 -9.559033e-06 8.802809e-05
11510.596982 8.167006e-01 -2.854123e-03 1.721691e-03 5.956582e-02 5.951157e-05 -9.341408e-06 -9.634664e-06 8.647503e-05
11515.596982 8.156860e-01 -2.856846e-03 1.746583e-03 5.943120e-02 5.866967e-05 -1.654912e-05 -1.721391e-06 8.019072e-05
11520.596982 8.148637e-01 -2.857973e-03 1.755800e-03 5.964910e-02 5.216509e-05 -1.779288e-05 7.761243e-08 7.005196e-05
11525.596982 8.141304e-01 -2.855249e-03 1.769887e-03 6.002638e-02 5.050367e-05 -2.510218e-05 8.435436e-06 7.085240e-05
11530.596982 8.128349e-01 -2.858050e-03 1.777186e-03 6.009853e-02 5.804350e-05 -2.657184e-05 8.850380e-06 7.944942e-05
11534.000000 8.124336e-01 -2.866177e-03 1.783536e-03 6.029207e-02 5.708394e-05 -1.822215e-05 2.310332e-06 8.178264e-05
11535.000000 8.118723e-01 -2.856762e-03 1.697879e-03 6.029937e-02 5.598594e-05 -1.801918e-05 4.906188e-06 8.730150e-05
11536.000000 8.118374e-01 -2.862025e-03 1.708562e-03 6.036340e-02 5.119306e-05 -2.001783e-05 -2.369619e-06 8.974278e-05
11537.000000 8.119157e-01 -2.873268e-03 1.679332e-03 6.091467e-02 4.836540e-05 -2.901145e-05 -1.622459e-05 8.109983e-05
11538.000000 8.118900e-01 -2.857128e-03 1.692639e-03 6.094565e-02 4.797369e-05 -3.311098e-05 6.128932e-06 8.545354e-05
11539.000000 8.102859e-01 -2.849744e-03 1.664492e-03 6.111617e-02 5.073422e-05 -3.708459e-05 1.319149e-05 8.577556e-05
11540.000000 8.117181e-01 -2.854612e-03 1.743737e-03 6.140785e-02 5.174238e-05 -3.280774e-05 -1.560074e-06 7.265339e-05
