# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271161
# UID: 74c4e68b-9f6b-4840-841e-e47ec8e89859
# Comment: 
# Start time: 10/18/2023  20:34:02
# Stop time: 10/18/2023  20:34:33
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.210418e-01 -1.428877e-03 8.876489e-04 2.880912e-02 1.637602e-05 -2.108153e-05 2.147888e-05 4.319059e-05
11385.468179 8.278541e-01 -2.835332e-03 1.753932e-03 5.697514e-02 3.401268e-05 -4.403633e-05 4.650288e-05 8.936309e-05
11390.468179 8.338427e-01 -2.855398e-03 1.747600e-03 5.712890e-02 2.616549e-05 -4.680596e-05 3.366558e-05 9.080330e-05
11395.468179 8.414787e-01 -2.873552e-03 1.724889e-03 5.758476e-02 2.874028e-05 -4.554579e-05 3.570633e-05 8.463411e-05
11400.468179 8.399007e-01 -2.880579e-03 1.809332e-03 5.740702e-02 3.119800e-05 -4.594128e-05 4.316121e-05 7.653095e-05
11405.468179 8.377903e-01 -2.875143e-03 1.780879e-03 5.745034e-02 3.410068e-05 -4.592713e-05 4.620373e-05 8.157873e-05
11410.468179 8.346933e-01 -2.878420e-03 1.761253e-03 5.771131e-02 3.012542e-05 -4.749884e-05 5.645133e-05 9.009859e-05
11415.468179 8.267838e-01 -2.881118e-03 1.780295e-03 5.758892e-02 3.002831e-05 -4.374086e-05 4.795229e-05 8.849633e-05
11420.468179 8.270384e-01 -2.867214e-03 1.731935e-03 5.725599e-02 3.058838e-05 -4.245866e-05 3.523087e-05 9.442890e-05
11425.468179 8.342857e-01 -2.865196e-03 1.768115e-03 5.798113e-02 3.723561e-05 -5.247344e-05 2.900075e-05 9.491052e-05
