# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271142
# UID: 93d85fef-b275-4238-acb0-2947302ce836
# Comment: 
# Start time: 10/18/2023  20:22:38
# Stop time: 10/18/2023  20:23:09
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.206149e-01 9.463175e-03 1.466198e-02 2.849902e-02 8.005656e-06 -1.353223e-05 5.945335e-06 3.725249e-05
11385.596982 8.263270e-01 1.875444e-02 2.909537e-02 5.632756e-02 1.074710e-05 -2.882332e-05 1.282389e-05 6.127952e-05
11390.596982 8.332382e-01 1.926702e-02 2.986433e-02 5.664625e-02 1.190438e-05 -2.373060e-05 1.295154e-05 8.149812e-05
11395.596982 8.406853e-01 1.956543e-02 3.030274e-02 5.711050e-02 4.733282e-06 -1.837534e-05 1.672236e-05 7.663754e-05
11400.596982 8.389072e-01 1.974131e-02 3.061513e-02 5.716262e-02 -4.444950e-07 -2.048907e-05 1.064034e-05 7.159814e-05
11405.596982 8.368494e-01 1.990902e-02 3.083779e-02 5.700958e-02 9.570018e-06 -1.962374e-05 1.220508e-05 6.917945e-05
11410.596982 8.332669e-01 1.991441e-02 3.091810e-02 5.698681e-02 2.043924e-05 -2.239555e-05 1.556509e-05 6.898283e-05
11415.596982 8.252499e-01 1.974277e-02 3.084592e-02 5.716846e-02 1.518282e-05 -2.731540e-05 7.609839e-06 6.351280e-05
11420.596982 8.254498e-01 1.987949e-02 3.109465e-02 5.829860e-02 1.499621e-05 -2.566140e-05 1.939310e-06 6.615259e-05
11425.596982 8.335547e-01 2.040675e-02 3.182761e-02 5.846049e-02 6.650522e-06 -2.802937e-05 -1.879668e-07 7.361184e-05
11430.596982 8.339572e-01 2.063974e-02 3.217817e-02 5.797655e-02 7.776039e-06 -2.256843e-05 1.308432e-05 7.756909e-05
11435.596982 8.321171e-01 2.074537e-02 3.246126e-02 5.764304e-02 5.234750e-06 -1.753165e-05 8.269547e-06 6.319554e-05
11440.596982 8.313429e-01 2.086824e-02 3.268088e-02 5.751659e-02 3.963342e-06 -1.911217e-05 3.506135e-06 6.328229e-05
11445.596982 8.298526e-01 2.088519e-02 3.275680e-02 5.753104e-02 3.016429e-06 -2.328842e-05 4.526549e-06 6.552982e-05
11450.596982 8.283991e-01 2.101797e-02 3.294972e-02 5.811194e-02 1.592385e-05 -1.980218e-05 6.425763e-06 7.181780e-05
11455.596982 8.276679e-01 2.103287e-02 3.309046e-02 5.800310e-02 1.878890e-05 -2.465679e-05 1.539379e-05 7.046206e-05
11460.596982 8.267624e-01 2.121931e-02 3.339916e-02 5.810320e-02 1.352614e-05 -2.768994e-05 1.715887e-05 6.809624e-05
11465.596982 8.262709e-01 2.154973e-02 3.391721e-02 5.775001e-02 2.014472e-05 -2.857214e-05 1.551376e-05 7.056417e-05
11470.596982 8.250074e-01 2.164065e-02 3.410987e-02 5.778858e-02 1.840129e-06 -3.262917e-05 2.040617e-05 6.744403e-05
11475.596982 8.238392e-01 2.151240e-02 3.399757e-02 5.763419e-02 -8.213340e-07 -3.312694e-05 1.202445e-05 7.030004e-05
11480.596982 8.230702e-01 2.135502e-02 3.388285e-02 5.794579e-02 9.600570e-06 -2.410614e-05 9.297907e-06 6.784567e-05
11485.596982 8.221119e-01 2.201166e-02 3.481033e-02 5.796649e-02 1.506722e-05 -2.811371e-05 2.745663e-05 6.528393e-05
11490.596982 8.205841e-01 2.230128e-02 3.524508e-02 5.797804e-02 1.141893e-05 -3.039367e-05 3.213389e-05 6.821567e-05
11495.596982 8.200678e-01 2.248413e-02 3.556443e-02 5.824370e-02 1.615349e-05 -2.808313e-05 3.329953e-05 6.954952e-05
11500.596982 8.194665e-01 2.262650e-02 3.579421e-02 5.849788e-02 2.173417e-05 -2.241159e-05 2.795173e-05 6.301040e-05
11505.596982 8.185009e-01 2.275565e-02 3.599725e-02 5.889879e-02 1.883805e-05 -1.730355e-05 3.018327e-05 7.745051e-05
11510.596982 8.176670e-01 2.290829e-02 3.621549e-02 5.913598e-02 1.324505e-05 -2.179291e-05 1.647769e-05 7.873890e-05
