# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271144
# UID: 580d885a-a51a-40a6-943e-f157bade7059
# Comment: 
# Start time: 10/18/2023  20:23:48
# Stop time: 10/18/2023  20:24:20
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.217965e-01 9.506739e-03 1.469591e-02 2.857202e-02 1.951828e-05 -1.748271e-05 2.146961e-06 5.322589e-05
11385.596982 8.282315e-01 1.883747e-02 2.913337e-02 5.662509e-02 3.284144e-05 -2.859687e-05 1.410032e-06 9.767929e-05
11390.596982 8.348534e-01 1.934643e-02 2.991154e-02 5.688199e-02 3.348059e-05 -2.405844e-05 -1.947776e-06 8.769840e-05
11395.596982 8.421682e-01 1.962545e-02 3.036146e-02 5.751444e-02 3.098805e-05 -2.702765e-05 2.005731e-06 9.892757e-05
11400.596982 8.406852e-01 1.979540e-02 3.067643e-02 5.728096e-02 3.397335e-05 -2.717609e-05 3.705618e-06 9.728077e-05
11405.596982 8.388591e-01 1.997043e-02 3.095537e-02 5.713772e-02 2.816802e-05 -3.027549e-05 -4.074605e-06 8.785931e-05
11410.596982 8.357901e-01 2.002143e-02 3.103961e-02 5.718947e-02 2.868023e-05 -3.286875e-05 -2.477085e-06 9.149593e-05
11415.596982 8.272636e-01 1.985555e-02 3.091391e-02 5.713041e-02 2.185331e-05 -3.339208e-05 2.902175e-06 9.067993e-05
11420.596982 8.275687e-01 1.997980e-02 3.110625e-02 5.866391e-02 2.630325e-05 -3.114487e-05 6.515595e-06 9.123460e-05
11425.596982 8.349134e-01 2.047074e-02 3.183009e-02 5.865501e-02 3.569969e-05 -3.940783e-05 9.970072e-06 9.037508e-05
11430.596982 8.356798e-01 2.072792e-02 3.225968e-02 5.814207e-02 3.198003e-05 -4.080629e-05 1.435151e-05 8.545213e-05
11435.596982 8.344050e-01 2.088235e-02 3.249220e-02 5.780985e-02 2.650865e-05 -3.188251e-05 5.543941e-06 7.466650e-05
11440.596982 8.332820e-01 2.097069e-02 3.270407e-02 5.760547e-02 1.030587e-05 -3.313979e-05 1.276749e-05 7.316902e-05
11445.596982 8.318820e-01 2.100723e-02 3.287202e-02 5.787560e-02 1.743085e-05 -3.172369e-05 1.367514e-05 8.889242e-05
11450.596982 8.308864e-01 2.112920e-02 3.307562e-02 5.836714e-02 2.083076e-05 -1.779376e-05 1.024951e-05 8.815772e-05
11455.596982 8.299728e-01 2.114095e-02 3.312754e-02 5.823523e-02 2.697895e-05 -3.100179e-05 3.488252e-06 9.367596e-05
11460.596982 8.284863e-01 2.132016e-02 3.346822e-02 5.811837e-02 2.506661e-05 -3.145088e-05 1.348774e-05 9.073527e-05
11465.596982 8.275526e-01 2.164447e-02 3.396794e-02 5.792371e-02 3.172199e-05 -3.200912e-05 8.732394e-06 9.173473e-05
11470.596982 8.268000e-01 2.174187e-02 3.419345e-02 5.818635e-02 3.700256e-05 -2.570137e-05 1.732656e-05 9.093639e-05
11475.596982 8.261363e-01 2.163796e-02 3.407804e-02 5.825612e-02 3.225201e-05 -2.240498e-05 1.221686e-05 9.753805e-05
11480.596982 8.252912e-01 2.148058e-02 3.393320e-02 5.832626e-02 3.540724e-05 -2.059122e-05 6.046275e-06 1.015308e-04
11485.596982 8.239198e-01 2.211160e-02 3.488369e-02 5.833736e-02 3.212530e-05 -1.993017e-05 7.671976e-06 9.763465e-05
11490.596982 8.229164e-01 2.239245e-02 3.531194e-02 5.840853e-02 2.707037e-05 -2.266641e-05 6.837247e-06 9.331804e-05
11495.596982 8.218083e-01 2.258108e-02 3.565694e-02 5.825320e-02 2.575293e-05 -2.651023e-05 4.398947e-06 8.897518e-05
11500.596982 8.204032e-01 2.272799e-02 3.586594e-02 5.861978e-02 1.895986e-05 -2.701837e-05 6.373326e-06 9.289991e-05
11505.596982 8.195930e-01 2.284691e-02 3.609262e-02 5.910603e-02 1.613955e-05 -2.418933e-05 1.106107e-05 9.943966e-05
11510.596982 8.195578e-01 2.301997e-02 3.630213e-02 5.929711e-02 1.013863e-05 -2.075555e-05 2.134530e-05 9.561108e-05
11515.596982 8.187807e-01 2.320195e-02 3.652755e-02 5.914101e-02 1.031165e-05 -2.288721e-05 1.980368e-05 9.994760e-05
11520.596982 8.179550e-01 2.334525e-02 3.671303e-02 5.934438e-02 1.491598e-05 -2.384885e-05 1.370956e-06 1.049225e-04
11525.596982 8.167567e-01 2.342335e-02 3.677456e-02 5.944441e-02 1.030667e-05 -1.793172e-05 -3.292091e-06 9.520160e-05
11530.596982 8.154814e-01 2.349774e-02 3.677883e-02 5.980168e-02 1.374394e-05 -2.242629e-05 9.376031e-06 9.787494e-05
11534.000000 8.155125e-01 2.359373e-02 3.687017e-02 6.001693e-02 1.383599e-05 -3.489293e-05 -1.602121e-06 8.929666e-05
11535.000000 8.155215e-01 2.361951e-02 3.678242e-02 6.055699e-02 7.325490e-06 -3.843612e-05 3.114591e-07 9.317897e-05
11536.000000 8.152904e-01 2.365382e-02 3.671871e-02 6.034032e-02 7.310680e-06 -3.507983e-05 -3.287672e-07 9.103893e-05
11537.000000 8.147624e-01 2.370261e-02 3.676412e-02 6.091042e-02 1.352414e-05 -4.304140e-05 4.842326e-06 8.807311e-05
11538.000000 8.152841e-01 2.372804e-02 3.671896e-02 6.031146e-02 1.376984e-05 -4.964751e-05 1.435896e-05 9.728408e-05
11539.000000 8.140642e-01 2.369316e-02 3.667741e-02 6.063561e-02 1.275549e-05 -5.169025e-05 1.320015e-05 9.594362e-05
11540.000000 8.136781e-01 2.379147e-02 3.675668e-02 6.092583e-02 1.678260e-05 -4.412278e-05 1.688692e-05 8.657425e-05
11541.000000 8.136031e-01 2.384334e-02 3.661574e-02 6.055046e-02 1.612984e-05 -4.359296e-05 3.217278e-06 8.252069e-05
11541.200000 8.262351e-01 2.417413e-02 3.721944e-02 6.091032e-02 2.125260e-05 -4.860506e-05 9.684812e-06 9.137847e-05
11541.400000 7.978657e-01 2.350050e-02 3.570405e-02 5.928372e-02 1.547716e-05 -4.670454e-05 -8.340337e-07 8.489086e-05
11541.600000 7.952004e-01 2.342604e-02 3.591300e-02 5.952493e-02 9.147033e-06 -4.706284e-05 5.438193e-06 8.989555e-05
11541.800000 8.220286e-01 2.408980e-02 3.701543e-02 6.245624e-02 2.076382e-05 -5.512761e-05 4.031338e-06 1.039720e-04
11542.000000 8.123051e-01 2.392235e-02 3.654356e-02 6.113313e-02 1.452179e-05 -4.897286e-05 1.782134e-05 1.139500e-04
11542.200000 8.130236e-01 2.374598e-02 3.651993e-02 6.169752e-02 2.304661e-05 -4.538054e-05 1.119649e-05 9.541727e-05
11542.400000 8.119532e-01 2.383868e-02 3.645067e-02 6.106024e-02 8.545045e-06 -3.635226e-05 2.207070e-05 8.605442e-05
11542.600000 8.174989e-01 2.398969e-02 3.676047e-02 6.168068e-02 2.109151e-05 -3.673059e-05 2.723408e-05 7.308755e-05
11542.800000 8.166313e-01 2.399015e-02 3.672698e-02 6.267561e-02 2.254398e-05 -3.660473e-05 1.708965e-05 8.318535e-05
11543.000000 8.091494e-01 2.376459e-02 3.604762e-02 6.132262e-02 8.191796e-06 -3.826829e-05 2.318651e-05 8.413095e-05
11543.200000 8.179727e-01 2.392030e-02 3.679746e-02 6.146207e-02 2.348861e-05 -3.279979e-05 1.929416e-05 9.348695e-05
11543.400000 8.143478e-01 2.397377e-02 3.644369e-02 6.037068e-02 2.004111e-05 -3.512094e-05 3.533434e-05 1.083348e-04
11543.600000 8.107664e-01 2.367841e-02 3.623267e-02 6.211807e-02 2.486970e-05 -3.786513e-05 1.136937e-05 7.841674e-05
11543.800000 8.175444e-01 2.401465e-02 3.667942e-02 6.035915e-02 1.767468e-05 -4.087872e-05 2.825757e-05 1.064335e-04
11544.000000 8.067155e-01 2.362976e-02 3.582381e-02 6.080609e-02 3.354060e-05 -3.608814e-05 2.802295e-05 1.070960e-04
11544.200000 8.128664e-01 2.393101e-02 3.624637e-02 6.125948e-02 2.377921e-05 -3.711926e-05 1.566254e-05 8.151503e-05
11544.400000 8.142215e-01 2.385995e-02 3.654081e-02 6.222922e-02 2.155277e-05 -5.254889e-05 1.193874e-05 7.954416e-05
11544.600000 8.013531e-01 2.341605e-02 3.602515e-02 6.179350e-02 2.946051e-05 -4.845961e-05 1.015170e-05 8.268341e-05
11544.800000 8.209991e-01 2.413561e-02 3.670216e-02 6.256339e-02 2.120121e-05 -3.158368e-05 7.018451e-06 8.543341e-05
11545.000000 8.122875e-01 2.377996e-02 3.594929e-02 6.112690e-02 3.233926e-05 -3.722060e-05 1.618083e-05 9.935534e-05
11545.200000 8.162107e-01 2.411235e-02 3.621561e-02 6.161440e-02 2.111732e-05 -3.056565e-05 1.916397e-05 1.154538e-04
11545.400000 8.143816e-01 2.388063e-02 3.636955e-02 6.209573e-02 3.007646e-05 -2.949871e-05 1.273991e-05 1.160169e-04
11545.600000 8.096196e-01 2.390224e-02 3.607239e-02 6.170530e-02 1.414208e-05 -4.720794e-05 2.573544e-05 1.101878e-04
11545.800000 8.160634e-01 2.398298e-02 3.633116e-02 6.189367e-02 1.413821e-05 -4.409376e-05 3.200412e-05 1.099846e-04
11546.000000 8.186459e-01 2.406959e-02 3.637474e-02 6.241635e-02 1.419998e-05 -4.498972e-05 3.110391e-05 1.190143e-04
11546.200000 8.145041e-01 2.407501e-02 3.644106e-02 6.271980e-02 -1.114968e-06 -5.097596e-05 1.476770e-05 1.096976e-04
11546.400000 8.159662e-01 2.393326e-02 3.604559e-02 6.252813e-02 1.770279e-05 -4.660892e-05 5.005769e-06 1.042436e-04
11546.600000 8.146422e-01 2.412069e-02 3.618361e-02 6.178061e-02 8.868733e-06 -4.214397e-05 -1.680871e-06 9.492621e-05
11546.800000 8.117764e-01 2.391169e-02 3.617483e-02 6.171709e-02 1.762202e-05 -3.246920e-05 1.497821e-06 1.030762e-04
11547.000000 8.193035e-01 2.428082e-02 3.625902e-02 6.295606e-02 1.153421e-05 -2.726085e-05 1.299170e-05 9.813396e-05
11547.200000 8.038453e-01 2.375522e-02 3.572411e-02 6.175675e-02 2.313862e-05 -1.736808e-05 1.553877e-05 1.195639e-04
