# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271145
# UID: 5202dd68-7661-44f2-9e95-bd5593d9dc26
# Comment: 
# Start time: 10/18/2023  20:24:23
# Stop time: 10/18/2023  20:24:55
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.213276e-01 9.502372e-03 1.468526e-02 2.858018e-02 2.255546e-05 -1.295170e-05 1.530459e-06 4.473789e-05
11385.468179 8.281936e-01 1.876862e-02 2.912847e-02 5.661913e-02 4.035269e-05 -2.715757e-05 9.752041e-06 9.335971e-05
11390.468179 8.347479e-01 1.929687e-02 2.990860e-02 5.709763e-02 3.103847e-05 -2.860191e-05 1.047705e-05 9.563163e-05
11395.468179 8.416981e-01 1.958459e-02 3.030836e-02 5.706661e-02 2.971011e-05 -3.493464e-05 9.044431e-06 9.522855e-05
11400.468179 8.399178e-01 1.974254e-02 3.059404e-02 5.743457e-02 3.300615e-05 -3.975494e-05 -4.495783e-06 1.001843e-04
11405.468179 8.380579e-01 1.992517e-02 3.087857e-02 5.726821e-02 3.947332e-05 -4.890576e-05 -9.291673e-07 1.013309e-04
11410.468179 8.350438e-01 1.994785e-02 3.100983e-02 5.730302e-02 1.635854e-05 -4.434120e-05 -1.519426e-06 9.593567e-05
11415.468179 8.271223e-01 1.981627e-02 3.089465e-02 5.730742e-02 1.746984e-05 -4.234668e-05 -1.545607e-06 9.088132e-05
11420.468179 8.270591e-01 1.993716e-02 3.110469e-02 5.859341e-02 1.800474e-05 -4.401875e-05 -7.461714e-06 9.861874e-05
11425.468179 8.347736e-01 2.044886e-02 3.186171e-02 5.860468e-02 1.825421e-05 -4.336340e-05 -9.763897e-06 8.604414e-05
11430.468179 8.354264e-01 2.069220e-02 3.224071e-02 5.806212e-02 1.926939e-05 -3.234600e-05 -6.837153e-06 9.319002e-05
11435.468179 8.344137e-01 2.083201e-02 3.247537e-02 5.765479e-02 2.914354e-05 -2.102146e-05 -6.218088e-06 8.841847e-05
11440.468179 8.325848e-01 2.092741e-02 3.264268e-02 5.786685e-02 2.724050e-05 -2.816456e-05 4.531774e-07 8.808459e-05
11445.468179 8.311439e-01 2.094062e-02 3.276989e-02 5.765698e-02 2.357849e-05 -2.790547e-05 4.411572e-06 8.519175e-05
11450.468179 8.301171e-01 2.108703e-02 3.301480e-02 5.826427e-02 2.414391e-05 -2.181703e-05 6.670319e-06 8.206986e-05
11455.468179 8.290593e-01 2.110468e-02 3.306931e-02 5.830309e-02 1.838587e-05 -3.184712e-05 9.542367e-07 9.340218e-05
11460.468179 8.287079e-01 2.131341e-02 3.348288e-02 5.798140e-02 1.763656e-05 -3.644614e-05 -6.424075e-06 9.381414e-05
11465.468179 8.279356e-01 2.164051e-02 3.399766e-02 5.787555e-02 1.684849e-05 -3.634912e-05 -2.223323e-06 9.199358e-05
11470.468179 8.267843e-01 2.174428e-02 3.421513e-02 5.805498e-02 1.432374e-05 -4.155784e-05 -1.528217e-06 7.732736e-05
11475.468179 8.255391e-01 2.160509e-02 3.405797e-02 5.800212e-02 2.789341e-05 -4.349363e-05 6.235556e-06 7.077298e-05
11480.468179 8.245200e-01 2.142931e-02 3.389145e-02 5.796521e-02 3.491823e-05 -3.807773e-05 2.101045e-06 7.528598e-05
11485.468179 8.234766e-01 2.208152e-02 3.486264e-02 5.834888e-02 3.054429e-05 -2.555610e-05 3.998646e-07 7.950942e-05
11490.468179 8.224817e-01 2.236488e-02 3.527886e-02 5.847670e-02 2.456394e-05 -2.326831e-05 -3.371939e-06 8.680392e-05
11495.468179 8.214740e-01 2.253325e-02 3.560801e-02 5.852360e-02 3.033581e-05 -2.669442e-05 -1.011803e-05 7.629902e-05
11500.468179 8.215577e-01 2.271498e-02 3.588599e-02 5.872066e-02 2.755002e-05 -2.269734e-05 -1.259122e-06 7.660789e-05
11505.468179 8.202448e-01 2.281466e-02 3.604290e-02 5.899031e-02 2.794078e-05 -2.133138e-05 -8.046676e-06 7.543922e-05
11510.468179 8.189189e-01 2.295464e-02 3.626185e-02 5.926753e-02 3.356338e-05 -3.139725e-05 -1.394731e-06 8.349532e-05
11515.468179 8.176196e-01 2.309675e-02 3.645727e-02 5.906428e-02 3.177552e-05 -3.180215e-05 1.256711e-06 8.071171e-05
11520.468179 8.169969e-01 2.327001e-02 3.668892e-02 5.921363e-02 3.634968e-05 -2.089276e-05 1.470879e-05 7.881414e-05
11525.468179 8.162577e-01 2.338408e-02 3.673014e-02 5.959697e-02 4.516022e-05 -1.388457e-05 9.642272e-06 8.716745e-05
11530.468179 8.156539e-01 2.345384e-02 3.668983e-02 5.985788e-02 3.179469e-05 -2.698361e-05 1.099949e-05 8.503827e-05
11534.000000 8.157651e-01 2.357637e-02 3.668017e-02 6.005441e-02 3.722057e-05 -1.360456e-05 1.249798e-05 7.552372e-05
11535.000000 8.159325e-01 2.360643e-02 3.665956e-02 6.022368e-02 4.093770e-05 -1.019400e-05 8.962361e-06 6.790215e-05
11536.000000 8.144707e-01 2.358412e-02 3.664711e-02 6.076128e-02 4.543518e-05 -1.569166e-05 2.030003e-05 7.658303e-05
