# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271146
# UID: 51b95473-7fa0-4c7a-9fa3-bdea5d8a4bdd
# Comment: 
# Start time: 10/18/2023  20:24:59
# Stop time: 10/18/2023  20:25:30
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.210937e-01 9.495418e-03 1.467241e-02 2.850881e-02 1.814479e-05 -2.283117e-05 8.942791e-06 2.887953e-05
11385.468179 8.275008e-01 1.877453e-02 2.911976e-02 5.650091e-02 3.249739e-05 -3.872865e-05 7.119419e-06 5.535178e-05
11390.468179 8.335811e-01 1.928039e-02 2.986346e-02 5.701198e-02 2.587464e-05 -3.217703e-05 -3.970107e-07 6.581884e-05
11395.468179 8.411773e-01 1.958994e-02 3.029809e-02 5.721245e-02 3.201256e-05 -3.188853e-05 -3.766698e-06 5.855951e-05
11400.468179 8.393601e-01 1.972940e-02 3.057540e-02 5.720084e-02 3.331820e-05 -3.317394e-05 -3.904401e-06 5.547600e-05
11405.468179 8.374226e-01 1.990034e-02 3.083652e-02 5.701535e-02 2.282453e-05 -3.082949e-05 6.547025e-07 6.560375e-05
11410.468179 8.346930e-01 1.995341e-02 3.098465e-02 5.727907e-02 2.182181e-05 -3.256245e-05 2.427415e-06 6.756730e-05
11415.468179 8.262601e-01 1.978750e-02 3.084121e-02 5.710439e-02 2.969940e-05 -3.186366e-05 4.605180e-06 5.710595e-05
11420.468179 8.259921e-01 1.990330e-02 3.101368e-02 5.840004e-02 2.801766e-05 -3.328882e-05 3.132299e-06 6.308684e-05
11425.468179 8.337218e-01 2.039965e-02 3.175868e-02 5.869928e-02 3.128167e-05 -2.542917e-05 1.093543e-05 7.266212e-05
