# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271147
# UID: 5f7cc28a-6719-4067-b4c5-988cedfb7fea
# Comment: 
# Start time: 10/18/2023  20:25:34
# Stop time: 10/18/2023  20:26:05
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.207694e-01 9.482610e-03 1.466251e-02 2.853499e-02 3.367826e-05 -1.509203e-05 3.881501e-06 3.269439e-05
11385.596982 8.268359e-01 1.879790e-02 2.910930e-02 5.656773e-02 6.329681e-05 -2.209535e-05 2.107814e-06 6.544804e-05
11390.596982 8.335383e-01 1.930350e-02 2.985286e-02 5.696937e-02 6.042984e-05 -2.660649e-05 1.021885e-05 6.909809e-05
11395.596982 8.404535e-01 1.957909e-02 3.023684e-02 5.725420e-02 5.815308e-05 -2.771585e-05 5.601443e-06 6.032199e-05
11400.596982 8.386284e-01 1.972997e-02 3.056180e-02 5.715396e-02 6.346455e-05 -2.920613e-05 6.775191e-07 5.340026e-05
11405.596982 8.365293e-01 1.989429e-02 3.082222e-02 5.742758e-02 5.575586e-05 -3.728843e-05 4.081797e-07 6.139965e-05
11410.596982 8.342183e-01 1.994354e-02 3.097624e-02 5.734961e-02 4.815926e-05 -3.984152e-05 -1.893405e-07 6.903966e-05
11415.596982 8.258644e-01 1.979138e-02 3.083016e-02 5.699862e-02 5.601598e-05 -3.160893e-05 -9.953342e-06 6.159732e-05
11420.596982 8.263093e-01 1.991062e-02 3.107014e-02 5.856106e-02 6.355088e-05 -2.310535e-05 -7.984310e-06 5.645173e-05
11425.596982 8.339305e-01 2.042879e-02 3.178364e-02 5.874753e-02 5.976106e-05 -2.768315e-05 -5.539747e-07 7.030232e-05
11430.596982 8.344032e-01 2.066892e-02 3.217890e-02 5.795599e-02 5.685481e-05 -2.594838e-05 3.277966e-06 7.272167e-05
11435.596982 8.327848e-01 2.082881e-02 3.245410e-02 5.757942e-02 6.151827e-05 -1.168686e-05 5.785573e-06 8.122228e-05
11440.596982 8.312807e-01 2.090933e-02 3.263757e-02 5.790873e-02 5.797599e-05 -3.271249e-05 1.777762e-05 7.609116e-05
11445.596982 8.297973e-01 2.092444e-02 3.272752e-02 5.781168e-02 6.262001e-05 -3.713783e-05 1.276027e-05 5.459595e-05
11450.596982 8.289410e-01 2.107158e-02 3.298052e-02 5.825889e-02 5.987632e-05 -3.516525e-05 1.695115e-05 6.657710e-05
11455.596982 8.279174e-01 2.107472e-02 3.308605e-02 5.824022e-02 6.656910e-05 -3.360647e-05 1.625510e-05 7.070358e-05
11460.596982 8.278879e-01 2.126523e-02 3.341323e-02 5.809925e-02 6.908013e-05 -3.380416e-05 -3.626582e-06 6.023123e-05
11465.596982 8.268844e-01 2.159796e-02 3.394771e-02 5.782558e-02 5.675804e-05 -3.244267e-05 -1.377001e-05 6.370363e-05
11470.596982 8.262493e-01 2.171305e-02 3.411979e-02 5.799709e-02 4.960469e-05 -4.248230e-05 1.541754e-06 6.950684e-05
11475.596982 8.248502e-01 2.159962e-02 3.401671e-02 5.807901e-02 5.474363e-05 -3.834742e-05 9.148781e-06 6.970495e-05
11480.596982 8.235368e-01 2.138818e-02 3.383461e-02 5.804359e-02 6.077567e-05 -3.777189e-05 4.992199e-06 6.181251e-05
11485.596982 8.225587e-01 2.205899e-02 3.479319e-02 5.826255e-02 5.946238e-05 -4.320626e-05 8.830971e-06 7.303966e-05
11490.596982 8.214382e-01 2.235071e-02 3.524749e-02 5.839027e-02 6.932358e-05 -3.614636e-05 4.495412e-06 8.056891e-05
11495.596982 8.203290e-01 2.253326e-02 3.551398e-02 5.841909e-02 7.093510e-05 -3.642982e-05 7.074030e-06 7.036705e-05
11500.596982 8.198219e-01 2.269563e-02 3.576840e-02 5.865382e-02 6.553733e-05 -4.144578e-05 1.310131e-05 6.998225e-05
11505.596982 8.192429e-01 2.280837e-02 3.603145e-02 5.919630e-02 6.230619e-05 -3.735053e-05 -3.087779e-07 7.268811e-05
11510.596982 8.180210e-01 2.294318e-02 3.617709e-02 5.915400e-02 5.794930e-05 -2.897936e-05 1.046668e-05 8.583273e-05
11515.596982 8.168788e-01 2.310993e-02 3.644378e-02 5.903086e-02 5.640034e-05 -2.612749e-05 7.796824e-06 6.709528e-05
11520.596982 8.165481e-01 2.326873e-02 3.664807e-02 5.910382e-02 5.370458e-05 -1.967447e-05 4.237836e-06 5.449372e-05
11525.596982 8.153317e-01 2.336097e-02 3.668059e-02 5.930123e-02 5.406153e-05 -1.777977e-05 1.778811e-06 4.742901e-05
11530.596982 8.147318e-01 2.344248e-02 3.668672e-02 5.985157e-02 6.229217e-05 -2.180816e-05 -4.439136e-07 4.645033e-05
11534.000000 8.143573e-01 2.354230e-02 3.669983e-02 6.028098e-02 6.033304e-05 -1.898626e-05 6.359031e-06 5.228070e-05
11535.000000 8.145555e-01 2.357248e-02 3.658953e-02 6.069486e-02 6.513203e-05 -1.860650e-05 5.284356e-06 5.664566e-05
11536.000000 8.139720e-01 2.362349e-02 3.660970e-02 6.004185e-02 6.427481e-05 -2.480286e-05 -3.121191e-06 4.370565e-05
11537.000000 8.140877e-01 2.363653e-02 3.673693e-02 6.040898e-02 7.316144e-05 -2.952749e-05 -8.961043e-06 3.525040e-05
11538.000000 8.136094e-01 2.364782e-02 3.664310e-02 6.054257e-02 6.288775e-05 -3.353706e-05 1.659924e-06 4.499036e-05
11539.000000 8.131250e-01 2.366939e-02 3.653147e-02 6.062848e-02 6.341861e-05 -4.020691e-05 -4.891774e-06 5.222901e-05
11540.000000 8.129423e-01 2.373642e-02 3.653877e-02 6.076189e-02 5.989255e-05 -4.319744e-05 -2.425143e-07 5.483846e-05
11541.000000 8.125126e-01 2.378306e-02 3.657632e-02 6.128352e-02 6.162621e-05 -4.217871e-05 -8.036609e-07 4.498261e-05
11541.200000 8.137140e-01 2.371725e-02 3.650601e-02 6.187322e-02 6.921804e-05 -4.064223e-05 -1.464215e-05 4.379641e-05
11541.400000 8.137157e-01 2.382003e-02 3.652968e-02 5.976681e-02 6.074767e-05 -3.805954e-05 -9.781352e-06 3.235194e-05
11541.600000 8.106006e-01 2.384556e-02 3.674571e-02 6.088148e-02 5.610400e-05 -3.978270e-05 2.500778e-06 4.267197e-05
11541.800000 8.064173e-01 2.354508e-02 3.589104e-02 6.090334e-02 6.620185e-05 -3.975648e-05 -5.415760e-06 3.386595e-05
11542.000000 8.240238e-01 2.423076e-02 3.716439e-02 6.129706e-02 4.410237e-05 -5.096100e-05 -1.399789e-06 3.324855e-05
11542.200000 8.079677e-01 2.358131e-02 3.606495e-02 6.117752e-02 4.776321e-05 -3.958271e-05 4.715883e-06 4.183450e-05
11542.400000 8.137605e-01 2.382991e-02 3.656918e-02 6.104163e-02 4.897721e-05 -4.294901e-05 -2.263245e-05 3.334326e-05
11542.600000 8.143910e-01 2.384787e-02 3.658077e-02 6.232158e-02 5.183488e-05 -3.654816e-05 -3.109500e-05 2.797199e-05
