# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271148
# UID: 567f27f8-ff27-4676-a395-1278eee74326
# Comment: 
# Start time: 10/18/2023  20:26:09
# Stop time: 10/18/2023  20:26:41
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.218766e-01 9.494357e-03 1.470371e-02 2.858688e-02 2.981360e-05 -1.371704e-05 9.168020e-06 3.914001e-05
11385.425245 8.292446e-01 1.881070e-02 2.915910e-02 5.684982e-02 5.129009e-05 -3.085594e-05 1.610384e-05 7.976712e-05
11390.425245 8.351216e-01 1.932260e-02 2.989837e-02 5.716038e-02 6.562599e-05 -3.464275e-05 1.617727e-05 8.998335e-05
11395.425245 8.424354e-01 1.962543e-02 3.036085e-02 5.748962e-02 6.873087e-05 -3.669221e-05 2.897276e-05 9.644453e-05
11400.425245 8.407994e-01 1.978091e-02 3.061845e-02 5.751403e-02 6.914279e-05 -3.282960e-05 2.470527e-05 9.185630e-05
11405.425245 8.387450e-01 1.994805e-02 3.090152e-02 5.745908e-02 7.481635e-05 -3.061763e-05 2.606562e-05 8.852813e-05
11410.425245 8.357027e-01 1.998099e-02 3.098535e-02 5.721358e-02 6.597840e-05 -3.855251e-05 2.397444e-05 7.526560e-05
11415.425245 8.278807e-01 1.981791e-02 3.089178e-02 5.714106e-02 6.860141e-05 -3.863707e-05 2.068106e-05 5.307341e-05
11420.425245 8.283007e-01 1.995551e-02 3.113550e-02 5.844149e-02 7.600333e-05 -3.964757e-05 2.169216e-05 5.562157e-05
11425.425245 8.358815e-01 2.046678e-02 3.185107e-02 5.876944e-02 7.073166e-05 -3.153335e-05 2.763071e-05 6.920163e-05
