# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271149
# UID: 206ccd02-1612-4950-887b-d8f0f15e0e83
# Comment: 
# Start time: 10/18/2023  20:26:45
# Stop time: 10/18/2023  20:27:16
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.554475 4.215976e-01 9.506144e-03 1.468426e-02 2.852680e-02 3.148397e-05 -1.796247e-05 9.482111e-06 4.554068e-05
11385.554475 8.283434e-01 1.881900e-02 2.911574e-02 5.647115e-02 5.992845e-05 -3.947593e-05 2.231433e-05 8.592103e-05
11390.554475 8.344192e-01 1.931271e-02 2.992628e-02 5.688800e-02 6.103639e-05 -4.708933e-05 2.033923e-05 8.691969e-05
11395.554475 8.417911e-01 1.959008e-02 3.033402e-02 5.742137e-02 6.869226e-05 -5.520928e-05 2.110525e-05 9.120346e-05
11400.554475 8.400749e-01 1.976183e-02 3.056862e-02 5.716976e-02 6.112624e-05 -5.154915e-05 1.935104e-05 9.375982e-05
11405.554475 8.382377e-01 1.993539e-02 3.086842e-02 5.713321e-02 6.339518e-05 -5.019617e-05 1.265840e-05 9.480262e-05
11410.554475 8.355960e-01 1.997242e-02 3.100764e-02 5.728537e-02 6.398417e-05 -4.353018e-05 6.060044e-06 9.440325e-05
11415.554475 8.269385e-01 1.981442e-02 3.086839e-02 5.715058e-02 6.400411e-05 -3.903546e-05 8.235964e-06 8.197179e-05
11420.554475 8.272630e-01 1.996777e-02 3.110178e-02 5.841278e-02 5.605088e-05 -3.243130e-05 4.149938e-06 8.058013e-05
11425.554475 8.346336e-01 2.047036e-02 3.184353e-02 5.874911e-02 5.572018e-05 -2.919547e-05 1.315692e-05 8.749216e-05
11430.554475 8.354032e-01 2.071114e-02 3.224380e-02 5.800756e-02 5.888655e-05 -3.626792e-05 2.336034e-05 8.895981e-05
11435.554475 8.340989e-01 2.086197e-02 3.246042e-02 5.775205e-02 5.511221e-05 -4.041685e-05 2.194840e-05 9.208225e-05
11440.554475 8.327441e-01 2.095853e-02 3.269975e-02 5.777538e-02 5.607538e-05 -4.393034e-05 1.687040e-05 9.603455e-05
11445.554475 8.310982e-01 2.097692e-02 3.276881e-02 5.794041e-02 5.907692e-05 -4.965719e-05 1.686862e-05 8.621858e-05
11450.554475 8.297774e-01 2.111570e-02 3.299881e-02 5.804762e-02 6.468489e-05 -5.570496e-05 2.674374e-05 8.696797e-05
11455.554475 8.286697e-01 2.111173e-02 3.309698e-02 5.818760e-02 5.499656e-05 -5.334870e-05 1.948869e-05 9.408226e-05
11460.554475 8.280453e-01 2.130861e-02 3.336817e-02 5.774868e-02 5.267112e-05 -4.021679e-05 2.968784e-05 9.072743e-05
11465.554475 8.269218e-01 2.161361e-02 3.390856e-02 5.793802e-02 5.262898e-05 -4.281483e-05 2.711617e-05 9.815934e-05
11470.554475 8.262735e-01 2.171385e-02 3.418248e-02 5.806950e-02 6.418438e-05 -4.384356e-05 2.358503e-05 9.492215e-05
11475.554475 8.258225e-01 2.162221e-02 3.408970e-02 5.835787e-02 5.261670e-05 -5.342962e-05 1.699934e-05 9.325066e-05
11480.554475 8.246467e-01 2.143572e-02 3.388224e-02 5.813634e-02 4.775191e-05 -4.738986e-05 2.222068e-05 9.940883e-05
11485.554475 8.234978e-01 2.209490e-02 3.480501e-02 5.847539e-02 5.023791e-05 -5.508067e-05 1.894992e-05 1.079618e-04
11490.554475 8.222418e-01 2.239345e-02 3.525070e-02 5.842390e-02 4.708762e-05 -5.344383e-05 2.077607e-05 1.026475e-04
11495.554475 8.216449e-01 2.258231e-02 3.559740e-02 5.857965e-02 5.615956e-05 -4.803493e-05 1.626863e-05 1.049422e-04
11500.554475 8.209001e-01 2.272398e-02 3.585402e-02 5.868157e-02 5.216538e-05 -3.403296e-05 1.393995e-05 9.735713e-05
11505.554475 8.200056e-01 2.285233e-02 3.607789e-02 5.903027e-02 3.871537e-05 -2.809431e-05 1.672355e-05 9.563194e-05
11510.554475 8.197449e-01 2.301775e-02 3.630423e-02 5.947039e-02 3.869482e-05 -3.523796e-05 1.292590e-05 9.345039e-05
11515.554475 8.184486e-01 2.317268e-02 3.648135e-02 5.908203e-02 4.126418e-05 -5.054629e-05 1.832871e-05 8.809452e-05
11520.554475 8.172521e-01 2.330674e-02 3.666363e-02 5.927784e-02 5.225778e-05 -5.055832e-05 1.325150e-05 9.147912e-05
11525.554475 8.158302e-01 2.338734e-02 3.671157e-02 5.945369e-02 5.371733e-05 -4.578483e-05 1.593183e-05 9.668798e-05
11530.554475 8.160538e-01 2.348483e-02 3.677338e-02 6.004534e-02 3.800307e-05 -2.638783e-05 1.438040e-05 9.035634e-05
