# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271134
# UID: c6d25318-7b20-4f16-9dfc-a8a4117fbc2d
# Comment: 
# Start time: 10/18/2023  20:17:38
# Stop time: 10/18/2023  20:18:10
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.186740e-01 6.762393e-03 1.122167e-02 2.912412e-02 1.115746e-05 -2.570213e-05 5.964438e-06 3.551842e-05
11385.596982 8.223823e-01 1.335555e-02 2.221873e-02 5.759875e-02 2.253812e-05 -5.023067e-05 1.725223e-05 6.733028e-05
11390.596982 8.293250e-01 1.367358e-02 2.268665e-02 5.761248e-02 1.131762e-05 -5.506576e-05 3.277435e-05 6.674909e-05
11395.596982 8.363735e-01 1.392959e-02 2.307360e-02 5.814856e-02 1.753243e-05 -3.753778e-05 2.352864e-05 8.759382e-05
11400.596982 8.347742e-01 1.395642e-02 2.317409e-02 5.825136e-02 2.036557e-05 -3.640179e-05 2.304919e-05 8.266911e-05
11405.596982 8.328787e-01 1.409828e-02 2.339410e-02 5.801282e-02 1.791302e-05 -3.978759e-05 2.523647e-05 7.949929e-05
11410.596982 8.300777e-01 1.418991e-02 2.354463e-02 5.791831e-02 1.754480e-05 -4.184232e-05 2.416748e-05 8.125439e-05
11415.596982 8.218882e-01 1.411140e-02 2.349880e-02 5.799282e-02 4.980094e-06 -3.802392e-05 2.063092e-05 7.713298e-05
11420.596982 8.216507e-01 1.421148e-02 2.374342e-02 5.784522e-02 2.135578e-06 -4.018561e-05 2.019387e-05 7.733342e-05
11425.596982 8.291362e-01 1.454864e-02 2.419054e-02 5.846152e-02 -9.746169e-07 -4.436691e-05 1.265369e-05 7.777074e-05
11430.596982 8.298417e-01 1.470151e-02 2.442469e-02 5.849537e-02 -9.493734e-08 -4.936379e-05 1.138428e-05 8.235550e-05
11435.596982 8.279926e-01 1.482396e-02 2.464239e-02 5.854207e-02 1.107778e-05 -4.503418e-05 3.316125e-06 9.022250e-05
11440.596982 8.271119e-01 1.492784e-02 2.487113e-02 5.849782e-02 1.201643e-05 -5.583154e-05 -1.573716e-07 8.675640e-05
11445.596982 8.260397e-01 1.502469e-02 2.500958e-02 5.889785e-02 9.935661e-06 -5.890611e-05 7.130357e-06 8.352491e-05
11450.596982 8.251734e-01 1.507629e-02 2.513841e-02 5.901030e-02 1.285418e-05 -5.178140e-05 1.710857e-06 8.527278e-05
11455.596982 8.241961e-01 1.523916e-02 2.540062e-02 6.034974e-02 8.714471e-06 -4.863419e-05 9.415771e-06 8.330305e-05
11460.596982 8.230979e-01 1.540148e-02 2.565471e-02 6.518665e-02 -5.741905e-07 -6.115238e-05 6.778202e-06 7.794776e-05
11465.596982 8.219646e-01 1.557197e-02 2.593845e-02 6.390745e-02 5.894198e-06 -6.033045e-05 3.808404e-06 7.239492e-05
11470.596982 8.204514e-01 1.567345e-02 2.613975e-02 5.971415e-02 3.878022e-06 -5.153577e-05 5.027000e-06 6.599501e-05
11475.596982 8.197400e-01 1.573437e-02 2.628106e-02 5.918974e-02 8.663162e-06 -5.024034e-05 -1.983117e-06 6.813720e-05
11480.596982 8.190625e-01 1.576398e-02 2.636858e-02 5.897899e-02 1.292649e-05 -6.549598e-05 -3.398677e-06 7.656955e-05
11485.596982 8.187094e-01 1.580148e-02 2.645016e-02 5.939595e-02 1.552778e-05 -6.872780e-05 -1.000116e-06 7.721616e-05
