# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271135
# UID: 3da00d54-f991-41d2-8569-bfcba8133c4a
# Comment: 
# Start time: 10/18/2023  20:18:13
# Stop time: 10/18/2023  20:18:45
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.202106e-01 6.778740e-03 1.124746e-02 2.907876e-02 1.393916e-05 -2.107037e-06 -7.403775e-06 3.785699e-05
11385.596982 8.254591e-01 1.338460e-02 2.226815e-02 5.763016e-02 3.285876e-05 -3.259809e-06 -1.588312e-05 6.812120e-05
11390.596982 8.319468e-01 1.369098e-02 2.275462e-02 5.794252e-02 2.669398e-05 -3.112664e-06 -1.451523e-05 6.722867e-05
11395.596982 8.391911e-01 1.397391e-02 2.313408e-02 5.835471e-02 2.518698e-05 9.359972e-07 -7.659859e-06 6.920051e-05
11400.596982 8.373405e-01 1.400577e-02 2.327619e-02 5.851443e-02 2.094167e-05 3.448687e-06 -1.057829e-05 7.208985e-05
11405.596982 8.356795e-01 1.416308e-02 2.353194e-02 5.829659e-02 1.798044e-05 6.494072e-07 -5.300541e-06 6.929448e-05
11410.596982 8.329735e-01 1.422444e-02 2.365657e-02 5.827988e-02 1.766982e-05 2.515916e-06 -9.684454e-06 6.893404e-05
11415.596982 8.246432e-01 1.412713e-02 2.357526e-02 5.801307e-02 1.655403e-05 -7.421105e-06 -8.768951e-06 6.576479e-05
11420.596982 8.246359e-01 1.428201e-02 2.379403e-02 5.784530e-02 1.927220e-05 -2.478151e-06 -1.843430e-05 6.789967e-05
11425.596982 8.318092e-01 1.459539e-02 2.425798e-02 5.861194e-02 2.049607e-05 -4.468888e-06 -1.745621e-05 5.470404e-05
11430.596982 8.321723e-01 1.472148e-02 2.453813e-02 5.864881e-02 2.255949e-05 -9.377982e-07 -9.278983e-06 6.709295e-05
11435.596982 8.305114e-01 1.483816e-02 2.473256e-02 5.887388e-02 2.623296e-05 -5.669922e-06 -1.268723e-05 5.393154e-05
11440.596982 8.297263e-01 1.498613e-02 2.494030e-02 5.875710e-02 2.345446e-05 -5.197523e-06 -1.753676e-05 5.965122e-05
11445.596982 8.291120e-01 1.508899e-02 2.510383e-02 5.899568e-02 1.367774e-05 -1.084413e-05 -2.579850e-05 7.163308e-05
11450.596982 8.280961e-01 1.513657e-02 2.524291e-02 5.902813e-02 1.809885e-06 -1.800334e-05 -2.548023e-05 6.853547e-05
11455.596982 8.268979e-01 1.529535e-02 2.553580e-02 6.054790e-02 2.288534e-06 -2.169117e-05 -2.470901e-05 6.717467e-05
11460.596982 8.255343e-01 1.545335e-02 2.576742e-02 6.529074e-02 6.099448e-06 -2.085574e-05 -2.735135e-05 7.376533e-05
11465.596982 8.246495e-01 1.562048e-02 2.606063e-02 6.420693e-02 8.157398e-06 -1.711327e-05 -2.099572e-05 7.541365e-05
11470.596982 8.236262e-01 1.572168e-02 2.626218e-02 5.992058e-02 7.878249e-06 -1.315514e-05 -1.430191e-05 7.655193e-05
11475.596982 8.226303e-01 1.580508e-02 2.643565e-02 5.908503e-02 4.651068e-06 -8.476579e-06 -1.136837e-05 7.650002e-05
11480.596982 8.224453e-01 1.583250e-02 2.651191e-02 5.946078e-02 2.995091e-06 -1.566254e-05 -1.345065e-05 8.116827e-05
11485.596982 8.212987e-01 1.584231e-02 2.657560e-02 5.955198e-02 9.223068e-06 1.211385e-06 -2.301027e-05 6.802778e-05
11490.596982 8.200934e-01 1.601981e-02 2.685417e-02 5.977501e-02 4.737855e-06 -8.811199e-06 -1.483891e-05 7.427681e-05
11495.596982 8.191855e-01 1.622496e-02 2.717963e-02 5.958128e-02 8.437619e-06 -9.904146e-06 -2.254665e-05 7.239151e-05
11500.596982 8.186200e-01 1.637053e-02 2.736961e-02 5.980540e-02 8.981551e-06 -1.379900e-05 -1.695605e-05 6.574111e-05
11505.596982 8.173459e-01 1.648016e-02 2.756950e-02 5.976302e-02 1.153545e-06 -1.906958e-05 -1.344624e-05 7.101573e-05
11510.596982 8.160352e-01 1.663383e-02 2.776083e-02 6.008441e-02 6.684384e-08 -1.503797e-05 -6.789689e-06 8.022999e-05
11515.596982 8.154056e-01 1.672083e-02 2.786705e-02 6.062326e-02 -2.017903e-06 -3.032177e-06 -4.888558e-06 8.252334e-05
11520.596982 8.151731e-01 1.691871e-02 2.813087e-02 6.063601e-02 3.138140e-06 -7.000747e-06 -9.258302e-06 7.439432e-05
11525.596982 8.136914e-01 1.700478e-02 2.821533e-02 6.086410e-02 1.256814e-05 -9.021270e-06 -2.276856e-05 7.159166e-05
11530.596982 8.132554e-01 1.707048e-02 2.822197e-02 6.237097e-02 9.721944e-06 -2.702946e-05 -1.365683e-05 7.378321e-05
11534.000000 8.128438e-01 1.714004e-02 2.823739e-02 6.439661e-02 1.881705e-05 -1.287468e-05 -1.586481e-05 8.545278e-05
11535.000000 8.117922e-01 1.719307e-02 2.837280e-02 6.485756e-02 2.085574e-05 -5.048664e-06 -1.435833e-05 8.277009e-05
11536.000000 8.115642e-01 1.727069e-02 2.840076e-02 6.539357e-02 2.000869e-05 -1.055184e-05 -2.640002e-05 6.274440e-05
11537.000000 8.102110e-01 1.725199e-02 2.817715e-02 6.656786e-02 1.827779e-05 -2.339460e-05 -1.011709e-05 7.351267e-05
11538.000000 8.113856e-01 1.729962e-02 2.832844e-02 6.613677e-02 9.644968e-06 -2.027515e-05 -9.095389e-06 8.081360e-05
11539.000000 8.105910e-01 1.729635e-02 2.826507e-02 6.736400e-02 9.482780e-06 -1.347239e-05 -1.128687e-05 8.185532e-05
11540.000000 8.106611e-01 1.726534e-02 2.815641e-02 6.832517e-02 1.040076e-05 -2.193552e-05 -5.526775e-06 6.706963e-05
11541.000000 8.100437e-01 1.726825e-02 2.808945e-02 6.874598e-02 1.656912e-05 -1.748758e-05 -1.010528e-05 8.020273e-05
11541.200000 8.031595e-01 1.718809e-02 2.779575e-02 6.839784e-02 1.563982e-05 -1.766925e-05 -1.632025e-05 8.940192e-05
11541.400000 8.161330e-01 1.738102e-02 2.840951e-02 7.040020e-02 1.515280e-05 -2.670831e-05 -7.673502e-06 5.855982e-05
11541.600000 8.111956e-01 1.729881e-02 2.833174e-02 6.704826e-02 2.236013e-06 -2.155620e-05 7.419225e-06 8.307329e-05
11541.800000 8.080972e-01 1.726459e-02 2.790956e-02 6.618081e-02 -2.301664e-06 -2.913998e-05 2.732261e-06 7.620712e-05
11542.000000 8.186052e-01 1.742883e-02 2.828959e-02 6.992216e-02 1.080273e-05 -1.630305e-05 7.957177e-06 6.740668e-05
11542.200000 8.109877e-01 1.740885e-02 2.807960e-02 6.846082e-02 -1.176959e-05 -9.266570e-06 -7.417175e-06 6.628535e-05
11542.400000 8.085901e-01 1.719497e-02 2.793108e-02 6.948042e-02 1.167585e-05 -2.249960e-05 -1.675047e-05 6.932338e-05
11542.600000 8.169898e-01 1.749238e-02 2.803822e-02 7.001938e-02 1.264355e-05 -2.499330e-05 -1.623052e-05 7.383652e-05
11542.800000 8.167669e-01 1.743649e-02 2.802132e-02 6.943326e-02 1.156216e-05 -2.592809e-05 -7.045874e-06 7.348768e-05
11543.000000 8.082319e-01 1.724589e-02 2.797313e-02 6.859671e-02 1.129662e-05 -2.288547e-05 -3.532574e-06 9.108788e-05
11543.200000 8.152319e-01 1.743253e-02 2.779920e-02 7.006252e-02 -3.979994e-06 -1.960777e-05 4.031287e-06 8.864905e-05
11543.400000 8.112565e-01 1.719619e-02 2.803909e-02 6.777401e-02 7.808105e-06 -1.771398e-05 -1.687571e-05 7.024678e-05
11543.600000 8.126969e-01 1.740964e-02 2.790843e-02 6.804456e-02 1.006495e-05 -1.523146e-05 1.050398e-06 7.075413e-05
11543.800000 8.146467e-01 1.726886e-02 2.781447e-02 6.928440e-02 1.002160e-05 -1.874586e-05 -1.311029e-05 7.105449e-05
11544.000000 8.134170e-01 1.739484e-02 2.831314e-02 6.884680e-02 1.635684e-06 -1.840815e-05 -2.654305e-05 7.574494e-05
11544.200000 7.912556e-01 1.691027e-02 2.671441e-02 6.825536e-02 1.572653e-05 -9.689474e-06 -2.598176e-05 8.282847e-05
11544.400000 8.204465e-01 1.743195e-02 2.802840e-02 7.055246e-02 2.766977e-05 -1.289881e-05 -2.052247e-05 8.549918e-05
