# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271137
# UID: 6cc61197-03f2-43da-90b6-902359619034
# Comment: 
# Start time: 10/18/2023  20:19:23
# Stop time: 10/18/2023  20:19:55
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.200310e-01 6.776167e-03 1.124941e-02 2.921963e-02 1.212668e-05 -2.364155e-05 -1.258221e-05 3.957756e-05
11385.468179 8.252796e-01 1.337350e-02 2.229253e-02 5.765284e-02 2.048139e-05 -4.409658e-05 -1.975114e-05 7.153873e-05
11390.468179 8.311134e-01 1.365051e-02 2.271264e-02 5.776811e-02 2.680101e-05 -3.623655e-05 -1.344206e-05 7.809775e-05
11395.468179 8.387146e-01 1.392144e-02 2.312425e-02 5.841948e-02 1.989255e-05 -3.572541e-05 -1.095567e-05 7.343115e-05
11400.468179 8.367893e-01 1.395240e-02 2.321702e-02 5.836357e-02 1.829054e-05 -3.991106e-05 -1.009953e-05 6.797078e-05
11405.468179 8.349124e-01 1.408488e-02 2.344341e-02 5.825983e-02 1.431763e-05 -4.210711e-05 -9.357442e-06 6.932255e-05
11410.468179 8.328530e-01 1.419242e-02 2.361307e-02 5.824425e-02 7.440419e-06 -3.786587e-05 -9.675045e-07 6.592339e-05
11415.468179 8.248825e-01 1.410282e-02 2.357609e-02 5.802915e-02 1.494129e-05 -3.761368e-05 2.525813e-07 6.657417e-05
11420.468179 8.244179e-01 1.423265e-02 2.378340e-02 5.822971e-02 1.853688e-05 -3.637201e-05 -6.186767e-06 7.469392e-05
11425.468179 8.316689e-01 1.455094e-02 2.422634e-02 5.868271e-02 1.537633e-05 -3.506738e-05 -1.072892e-05 7.337206e-05
