# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271138
# UID: 7bcb056c-8882-4ca0-8c59-422067c24ecb
# Comment: 
# Start time: 10/18/2023  20:19:58
# Stop time: 10/18/2023  20:20:30
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.196869e-01 6.776682e-03 1.124355e-02 2.914071e-02 6.945722e-06 -1.427833e-05 -2.455538e-06 4.189702e-05
11385.596982 8.248296e-01 1.339402e-02 2.227858e-02 5.777435e-02 6.816754e-06 -2.964299e-05 1.556295e-06 7.960457e-05
11390.596982 8.315529e-01 1.368320e-02 2.273592e-02 5.792514e-02 -4.357165e-06 -3.050659e-05 4.136390e-06 8.159909e-05
11395.596982 8.389864e-01 1.394729e-02 2.312816e-02 5.837573e-02 -9.732700e-07 -1.834184e-05 7.041256e-06 8.120733e-05
11400.596982 8.368288e-01 1.398545e-02 2.322926e-02 5.838150e-02 1.176921e-07 -2.044433e-05 1.408611e-05 9.131245e-05
11405.596982 8.350464e-01 1.412648e-02 2.348792e-02 5.848993e-02 -5.514364e-07 -1.923107e-05 1.521477e-05 8.949938e-05
11410.596982 8.320955e-01 1.420502e-02 2.365088e-02 5.828305e-02 7.493857e-07 -1.501407e-05 1.614148e-05 7.634619e-05
11415.596982 8.236114e-01 1.411730e-02 2.356289e-02 5.811834e-02 8.815125e-06 -2.141340e-05 8.750491e-06 7.135180e-05
11420.596982 8.235370e-01 1.425973e-02 2.380933e-02 5.798995e-02 1.391443e-05 -2.423684e-05 1.335668e-06 6.816729e-05
11425.596982 8.317204e-01 1.458327e-02 2.428401e-02 5.882376e-02 1.206399e-05 -2.290450e-05 1.286583e-05 8.155578e-05
11430.596982 8.323179e-01 1.472850e-02 2.448908e-02 5.874248e-02 9.306739e-06 -1.640344e-05 6.249730e-06 7.568847e-05
11435.596982 8.311003e-01 1.486521e-02 2.473737e-02 5.873521e-02 1.561069e-05 -2.153082e-05 -1.263096e-06 8.285913e-05
11440.596982 8.292181e-01 1.496275e-02 2.493206e-02 5.895157e-02 2.617434e-05 -2.617699e-05 -9.491171e-07 8.186479e-05
11445.596982 8.277491e-01 1.503039e-02 2.510004e-02 5.886686e-02 2.284976e-05 -2.014846e-05 -2.226978e-06 8.337920e-05
11450.596982 8.267336e-01 1.510953e-02 2.522781e-02 5.898469e-02 2.169084e-05 -2.388080e-05 4.037858e-06 8.588435e-05
11455.596982 8.260070e-01 1.526759e-02 2.546199e-02 6.047557e-02 1.874240e-05 -2.213891e-05 -3.968199e-06 7.502018e-05
