# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271139
# UID: 0a0b5e16-7017-4264-95dd-2f0d0c7245e4
# Comment: 
# Start time: 10/18/2023  20:20:34
# Stop time: 10/18/2023  20:21:05
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.211612e-01 6.794964e-03 1.127777e-02 2.925940e-02 6.577017e-06 -1.514664e-05 4.542986e-06 4.855059e-05
11385.596982 8.276384e-01 1.341396e-02 2.232537e-02 5.792504e-02 1.904475e-05 -2.991849e-05 8.669694e-06 9.174217e-05
11390.596982 8.341107e-01 1.371032e-02 2.280643e-02 5.817005e-02 1.489294e-05 -3.681695e-05 1.622606e-05 8.960369e-05
11395.596982 8.414713e-01 1.397842e-02 2.320908e-02 5.861642e-02 2.508486e-05 -4.459394e-05 1.862553e-05 9.185452e-05
11400.596982 8.396155e-01 1.402160e-02 2.329993e-02 5.868832e-02 1.556684e-05 -4.345061e-05 4.064956e-06 8.752871e-05
11405.596982 8.376083e-01 1.416233e-02 2.352795e-02 5.856356e-02 -4.358454e-06 -3.154807e-05 -5.362286e-06 7.347758e-05
11410.596982 8.345734e-01 1.422517e-02 2.368483e-02 5.831330e-02 -3.397056e-06 -3.422434e-05 -9.356377e-06 7.038077e-05
11415.596982 8.264128e-01 1.415113e-02 2.361578e-02 5.801410e-02 7.184918e-06 -3.404651e-05 -5.833898e-06 7.730079e-05
11420.596982 8.265990e-01 1.428022e-02 2.383039e-02 5.811975e-02 7.133998e-06 -4.232481e-05 -2.190592e-06 6.867339e-05
11425.596982 8.340353e-01 1.459979e-02 2.429160e-02 5.869980e-02 -4.177095e-06 -2.956553e-05 -7.531388e-06 7.251515e-05
