# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271140
# UID: 919d014b-8b26-4af5-b95f-f0776eae06e8
# Comment: 
# Start time: 10/18/2023  20:21:09
# Stop time: 10/18/2023  20:21:40
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.556348 4.212363e-01 6.791813e-03 1.126264e-02 2.930458e-02 1.637566e-05 -1.435997e-05 1.104873e-05 4.626969e-05
11385.556348 8.271615e-01 1.342062e-02 2.233091e-02 5.785734e-02 3.319947e-05 -2.988767e-05 1.075814e-05 8.487663e-05
11390.556348 8.333916e-01 1.370753e-02 2.280881e-02 5.804808e-02 3.375214e-05 -3.217128e-05 2.232945e-06 8.119018e-05
11395.556348 8.411419e-01 1.398762e-02 2.316597e-02 5.858450e-02 3.391271e-05 -3.288137e-05 -2.331901e-06 7.727235e-05
11400.556348 8.392497e-01 1.400784e-02 2.329175e-02 5.857958e-02 3.077606e-05 -3.771730e-05 4.792719e-06 8.068428e-05
11405.556348 8.370475e-01 1.413528e-02 2.351042e-02 5.868927e-02 3.794569e-05 -4.314529e-05 -1.676494e-06 8.064020e-05
11410.556348 8.341476e-01 1.424032e-02 2.362674e-02 5.847180e-02 3.940152e-05 -4.429282e-05 -3.327806e-06 8.908314e-05
11415.556348 8.261177e-01 1.415087e-02 2.359695e-02 5.805682e-02 3.312724e-05 -4.151488e-05 6.785447e-06 9.009074e-05
11420.556348 8.258449e-01 1.428369e-02 2.377977e-02 5.827301e-02 3.116081e-05 -4.004701e-05 8.009336e-06 8.781350e-05
11425.556348 8.338569e-01 1.460398e-02 2.426484e-02 5.897288e-02 3.370275e-05 -3.940062e-05 7.788726e-06 8.203694e-05
