# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271141
# UID: 6b2f8f22-513d-4115-95d2-79427779babb
# Comment: 
# Start time: 10/18/2023  20:21:44
# Stop time: 10/18/2023  20:22:15
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.597097 4.207572e-01 6.801712e-03 1.127252e-02 2.925540e-02 1.193025e-05 -1.902889e-05 6.313585e-06 3.256157e-05
11385.597097 8.267041e-01 1.344485e-02 2.232838e-02 5.800009e-02 2.663410e-05 -3.105559e-05 1.510412e-05 6.064034e-05
11390.597097 8.333634e-01 1.372200e-02 2.276558e-02 5.820244e-02 4.227015e-05 -3.262009e-05 1.208063e-05 6.979729e-05
11395.597097 8.407402e-01 1.398175e-02 2.317665e-02 5.843158e-02 4.535328e-05 -3.098657e-05 9.587009e-06 6.904548e-05
11400.597097 8.392491e-01 1.403433e-02 2.330402e-02 5.866603e-02 4.749701e-05 -2.466388e-05 1.129604e-05 6.764153e-05
11405.597097 8.372205e-01 1.416743e-02 2.350138e-02 5.848654e-02 5.609724e-05 -1.544304e-05 8.711277e-06 6.973704e-05
11410.597097 8.337163e-01 1.423248e-02 2.365821e-02 5.849684e-02 5.909006e-05 -1.422504e-05 1.360886e-05 7.651267e-05
11415.597097 8.259698e-01 1.415472e-02 2.363174e-02 5.821104e-02 5.135242e-05 -2.035288e-05 1.269253e-05 7.319913e-05
11420.597097 8.261759e-01 1.430638e-02 2.387485e-02 5.831340e-02 4.687486e-05 -1.545069e-05 1.508551e-05 7.881378e-05
11425.597097 8.336266e-01 1.463117e-02 2.431492e-02 5.887721e-02 3.395538e-05 -2.081251e-05 8.039089e-06 8.342537e-05
11430.597097 8.345801e-01 1.477218e-02 2.455573e-02 5.907522e-02 3.773543e-05 -1.393936e-05 4.054411e-06 8.149074e-05
11435.597097 8.331420e-01 1.489362e-02 2.479341e-02 5.927999e-02 4.023018e-05 -1.309398e-05 -3.276448e-06 8.261842e-05
11440.597097 8.317046e-01 1.501058e-02 2.502177e-02 5.906878e-02 4.141810e-05 -1.417845e-05 -6.793212e-06 7.883355e-05
11445.597097 8.301730e-01 1.508774e-02 2.514329e-02 5.900049e-02 3.768066e-05 -1.282166e-05 8.856755e-06 7.725892e-05
11450.597097 8.286196e-01 1.512340e-02 2.525393e-02 5.918579e-02 3.595566e-05 -1.772584e-05 1.282437e-05 7.372406e-05
11455.597097 8.276355e-01 1.527365e-02 2.550265e-02 6.071612e-02 3.209090e-05 -1.949134e-05 1.486838e-05 7.871409e-05
11460.597097 8.272672e-01 1.544491e-02 2.575730e-02 6.570876e-02 2.904603e-05 -1.384766e-05 1.369505e-05 7.178556e-05
11465.597097 8.269387e-01 1.563156e-02 2.610296e-02 6.431541e-02 3.341443e-05 -8.590068e-06 8.197317e-06 5.990382e-05
11470.597097 8.254262e-01 1.572734e-02 2.628903e-02 6.036954e-02 3.482928e-05 -1.072138e-05 3.009990e-06 6.323976e-05
11475.597097 8.243682e-01 1.578995e-02 2.638415e-02 5.945585e-02 2.861672e-05 -1.456491e-05 1.290244e-05 6.229177e-05
11480.597097 8.229690e-01 1.582211e-02 2.642349e-02 5.956079e-02 3.626565e-05 -1.923374e-05 1.371788e-05 7.721138e-05
11485.597097 8.221951e-01 1.583803e-02 2.654113e-02 5.982400e-02 3.571638e-05 -1.285006e-05 1.685274e-05 7.306350e-05
11490.597097 8.214509e-01 1.602554e-02 2.680910e-02 5.996196e-02 2.743465e-05 -1.119563e-05 1.889222e-05 7.037975e-05
11495.597097 8.203269e-01 1.622548e-02 2.709402e-02 5.981674e-02 2.981161e-05 -1.748008e-05 1.895118e-05 7.073904e-05
11500.597097 8.203869e-01 1.639941e-02 2.736370e-02 6.021729e-02 3.388329e-05 -1.429461e-05 1.923847e-05 6.214896e-05
11505.597097 8.191947e-01 1.651487e-02 2.760566e-02 6.008904e-02 2.279798e-05 -2.033708e-05 5.158516e-06 5.672982e-05
