# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271122
# UID: 6e04bc48-aae9-467d-95ed-4c4922860505
# Comment: 
# Start time: 10/18/2023  19:55:44
# Stop time: 10/18/2023  19:56:15
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.748217 4.196952e-01 -1.430986e-03 8.875088e-04 2.641408e-02 1.665539e-05 -8.116741e-06 1.023289e-05 5.304355e-05
11385.748217 8.242169e-01 -2.832611e-03 1.730990e-03 5.211901e-02 3.496886e-05 -1.840728e-05 1.961669e-05 1.010397e-04
11390.748217 8.313739e-01 -2.869534e-03 1.713736e-03 5.255305e-02 3.354446e-05 -2.433355e-05 1.379043e-05 1.017198e-04
11395.748217 8.384887e-01 -2.875533e-03 1.711768e-03 5.302069e-02 4.661023e-05 -9.558762e-06 7.179875e-06 1.032326e-04
11400.748217 8.368528e-01 -2.865409e-03 1.768388e-03 5.299535e-02 4.044977e-05 -1.297729e-05 2.149957e-05 1.059995e-04
11405.748217 8.347684e-01 -2.852421e-03 1.737109e-03 5.294987e-02 3.217065e-05 -2.068339e-05 1.815809e-05 1.072577e-04
11410.748217 8.321032e-01 -2.859666e-03 1.734208e-03 5.280772e-02 3.127897e-05 -2.226559e-05 2.322783e-05 1.117077e-04
11415.748217 8.235130e-01 -2.863580e-03 1.710376e-03 5.230604e-02 2.920963e-05 -1.874467e-05 2.735568e-05 1.143958e-04
11420.748217 8.239094e-01 -2.872119e-03 1.740083e-03 5.262293e-02 2.536983e-05 -1.673829e-05 1.909592e-05 1.188222e-04
11425.748217 8.315405e-01 -2.860998e-03 1.729064e-03 5.323799e-02 2.298521e-05 -1.717708e-05 1.479648e-05 1.050801e-04
