# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271123
# UID: 2644472f-3435-4748-80e0-f860a7e04762
# Comment: 
# Start time: 10/18/2023  19:56:19
# Stop time: 10/18/2023  19:56:50
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.427746 4.199221e-01 -1.417887e-03 8.836607e-04 2.644368e-02 1.117892e-05 -1.174743e-05 4.039402e-06 6.163051e-05
11385.427746 8.250167e-01 -2.816459e-03 1.734426e-03 5.222973e-02 2.354026e-05 -2.440501e-05 7.347789e-06 1.256184e-04
11390.427746 8.304472e-01 -2.832326e-03 1.738073e-03 5.253732e-02 3.236321e-05 -2.406039e-05 2.399420e-06 1.224506e-04
11395.427746 8.380012e-01 -2.818172e-03 1.758139e-03 5.281349e-02 3.228740e-05 -2.109543e-05 2.969977e-06 1.140383e-04
11400.427746 8.364575e-01 -2.816769e-03 1.758623e-03 5.293372e-02 3.140794e-05 -2.885745e-05 -9.183200e-07 1.122149e-04
11405.427746 8.346973e-01 -2.828068e-03 1.744394e-03 5.290296e-02 2.835630e-05 -2.083309e-05 -4.132960e-07 1.057216e-04
11410.427746 8.319215e-01 -2.830213e-03 1.718376e-03 5.289670e-02 1.067967e-05 -1.221120e-05 7.390677e-06 1.063968e-04
11415.427746 8.234562e-01 -2.840560e-03 1.755724e-03 5.253169e-02 1.249930e-05 -1.914365e-05 1.799966e-05 9.954982e-05
11420.427746 8.232042e-01 -2.835521e-03 1.738216e-03 5.282771e-02 2.009215e-05 -2.707571e-05 2.456566e-05 1.071348e-04
11425.427746 8.303954e-01 -2.829395e-03 1.737237e-03 5.322503e-02 1.518104e-05 -2.830775e-05 2.861329e-05 1.166587e-04
11430.427746 8.321553e-01 -2.810469e-03 1.781461e-03 5.352480e-02 1.790705e-05 -2.560937e-05 1.757740e-05 1.217607e-04
11435.427746 8.310030e-01 -2.806388e-03 1.777350e-03 5.341793e-02 2.142823e-05 -2.090085e-05 1.954821e-05 1.229716e-04
11440.427746 8.290357e-01 -2.829732e-03 1.784761e-03 5.368928e-02 2.422152e-05 -2.153005e-05 1.520545e-05 1.149480e-04
11445.427746 8.279087e-01 -2.826187e-03 1.749141e-03 5.351157e-02 2.672909e-05 -2.563966e-05 1.705101e-05 1.248004e-04
11450.427746 8.265195e-01 -2.832435e-03 1.764207e-03 5.355172e-02 2.839551e-05 -3.320081e-05 8.637597e-06 1.219564e-04
11455.427746 8.252973e-01 -2.830225e-03 1.770885e-03 5.366387e-02 3.451073e-05 -2.816503e-05 1.466733e-05 1.192461e-04
11460.427746 8.249105e-01 -2.815741e-03 1.767552e-03 5.369023e-02 2.899535e-05 -1.976090e-05 1.675651e-05 1.210182e-04
11465.427746 8.237058e-01 -2.819653e-03 1.795015e-03 5.366906e-02 2.885563e-05 -2.075897e-05 2.212143e-05 1.175688e-04
11470.427746 8.230444e-01 -2.815569e-03 1.769159e-03 5.389646e-02 2.027554e-05 -2.693190e-05 3.114945e-05 1.188073e-04
11475.427746 8.215933e-01 -2.822535e-03 1.769261e-03 5.397719e-02 2.777199e-05 -2.982807e-05 2.867672e-05 1.339869e-04
11480.427746 8.203752e-01 -2.832156e-03 1.742789e-03 5.396100e-02 2.980209e-05 -3.292805e-05 1.871033e-05 1.270479e-04
11485.427746 8.193649e-01 -2.835498e-03 1.733402e-03 5.430263e-02 2.245602e-05 -4.015041e-05 1.100731e-05 1.263761e-04
11490.427746 8.189230e-01 -2.809610e-03 1.803672e-03 5.429211e-02 1.284823e-05 -4.452110e-05 1.564283e-05 1.240663e-04
11495.427746 8.180468e-01 -2.822342e-03 1.777200e-03 5.400962e-02 1.692648e-05 -4.512861e-05 1.593476e-05 1.287969e-04
11500.427746 8.171927e-01 -2.833271e-03 1.731024e-03 5.434783e-02 1.699046e-05 -2.853725e-05 1.830938e-05 1.290872e-04
11505.427746 8.166031e-01 -2.828340e-03 1.761539e-03 5.477855e-02 1.832555e-05 -2.870787e-05 1.387408e-05 1.302638e-04
11510.427746 8.158978e-01 -2.823076e-03 1.759883e-03 5.528160e-02 1.582681e-05 -2.897289e-05 5.866291e-06 1.430967e-04
11515.427746 8.142803e-01 -2.823222e-03 1.778070e-03 5.532456e-02 2.416770e-05 -3.045320e-05 1.143630e-05 1.488273e-04
11520.427746 8.133662e-01 -2.835225e-03 1.761607e-03 5.534842e-02 2.330309e-05 -2.946077e-05 1.616680e-05 1.357993e-04
