# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271125
# UID: 5b390983-e4b2-4f8d-8d50-01bde690cc59
# Comment: 
# Start time: 10/18/2023  19:57:29
# Stop time: 10/18/2023  19:58:01
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.206368e-01 -1.419486e-03 8.729611e-04 2.666224e-02 1.793215e-05 -1.247189e-05 1.348990e-05 5.808688e-05
11385.596982 8.265442e-01 -2.810985e-03 1.731279e-03 5.271741e-02 3.416776e-05 -2.009409e-05 2.513809e-05 1.171250e-04
11390.596982 8.334488e-01 -2.852311e-03 1.766747e-03 5.282864e-02 3.562320e-05 -2.204733e-05 2.406052e-05 1.156985e-04
11395.596982 8.403589e-01 -2.852688e-03 1.748618e-03 5.319779e-02 3.100569e-05 -3.006934e-05 2.070235e-05 9.914135e-05
11400.596982 8.385387e-01 -2.850127e-03 1.730943e-03 5.344134e-02 3.003625e-05 -2.733074e-05 2.756803e-05 9.849020e-05
11405.596982 8.365423e-01 -2.847378e-03 1.701053e-03 5.324265e-02 3.218161e-05 -2.989867e-05 2.348911e-05 1.085643e-04
11410.596982 8.345337e-01 -2.854905e-03 1.731558e-03 5.308662e-02 3.202711e-05 -2.456042e-05 2.584992e-05 1.100531e-04
11415.596982 8.260905e-01 -2.852078e-03 1.749868e-03 5.291034e-02 3.231992e-05 -1.847607e-05 2.781791e-05 1.224538e-04
11420.596982 8.259434e-01 -2.849770e-03 1.762004e-03 5.294599e-02 2.974358e-05 -2.254921e-05 3.139144e-05 1.230482e-04
11425.596982 8.335462e-01 -2.848588e-03 1.748525e-03 5.362538e-02 3.104086e-05 -2.835833e-05 2.981504e-05 1.255415e-04
11430.596982 8.335405e-01 -2.851011e-03 1.730828e-03 5.361884e-02 3.117380e-05 -3.556666e-05 1.405527e-05 1.104684e-04
11435.596982 8.323877e-01 -2.855682e-03 1.753036e-03 5.351498e-02 3.561417e-05 -2.708706e-05 1.321134e-05 1.132185e-04
11440.596982 8.315066e-01 -2.844768e-03 1.737299e-03 5.358385e-02 3.329261e-05 -1.737904e-05 2.789390e-05 1.244307e-04
11445.596982 8.303987e-01 -2.846001e-03 1.746833e-03 5.391721e-02 3.396246e-05 -1.714761e-05 2.932151e-05 1.341404e-04
11450.596982 8.288840e-01 -2.840438e-03 1.744260e-03 5.366157e-02 3.976046e-05 -9.323418e-06 2.774239e-05 1.277993e-04
11455.596982 8.279298e-01 -2.842160e-03 1.764006e-03 5.382638e-02 2.930238e-05 -1.162550e-05 3.053474e-05 1.164358e-04
11460.596982 8.269910e-01 -2.845975e-03 1.701761e-03 5.398764e-02 2.540872e-05 -1.100703e-05 2.489162e-05 1.243096e-04
11465.596982 8.254750e-01 -2.856272e-03 1.742644e-03 5.405867e-02 3.112880e-05 -6.175002e-06 1.992256e-05 1.230077e-04
11470.596982 8.247291e-01 -2.853465e-03 1.729717e-03 5.420541e-02 3.566354e-05 2.931156e-07 1.508774e-05 1.198022e-04
11475.596982 8.241336e-01 -2.843162e-03 1.785658e-03 5.416186e-02 2.931741e-05 -4.275125e-06 5.437231e-06 1.232128e-04
11480.596982 8.234437e-01 -2.848427e-03 1.765107e-03 5.414851e-02 2.638630e-05 -1.218178e-05 1.080955e-05 1.194777e-04
11485.596982 8.224239e-01 -2.837434e-03 1.761200e-03 5.434219e-02 3.425114e-05 -1.621799e-05 2.449566e-05 1.317597e-04
11490.596982 8.216840e-01 -2.856059e-03 1.743110e-03 5.448421e-02 2.535876e-05 -1.795570e-05 2.526956e-05 1.261086e-04
11495.596982 8.203424e-01 -2.860338e-03 1.802191e-03 5.447473e-02 2.095891e-05 -1.225977e-05 2.501646e-05 1.269632e-04
11500.596982 8.189322e-01 -2.862110e-03 1.782514e-03 5.463730e-02 2.187771e-05 -9.266200e-06 3.439407e-05 1.226142e-04
11505.596982 8.183674e-01 -2.865225e-03 1.773013e-03 5.470962e-02 2.607687e-05 -1.376927e-05 2.493294e-05 1.227708e-04
11510.596982 8.176308e-01 -2.861222e-03 1.752699e-03 5.517730e-02 2.308249e-05 -1.569265e-05 1.869910e-05 1.213050e-04
