# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271126
# UID: 0a83f3eb-a129-4b67-baf6-a5f1df52de1a
# Comment: 
# Start time: 10/18/2023  19:58:04
# Stop time: 10/18/2023  19:58:36
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.206029e-01 -1.424591e-03 8.684277e-04 2.669738e-02 3.235923e-05 -6.395218e-06 5.175523e-06 4.940462e-05
11385.596982 8.261745e-01 -2.822319e-03 1.713190e-03 5.256694e-02 5.519686e-05 -9.355434e-06 1.767115e-05 9.122377e-05
11390.596982 8.330981e-01 -2.841425e-03 1.718288e-03 5.277380e-02 5.389850e-05 -1.013205e-05 1.316016e-05 8.814378e-05
11395.596982 8.400659e-01 -2.846920e-03 1.719335e-03 5.308704e-02 6.306849e-05 -2.071100e-05 2.253054e-05 8.922880e-05
11400.596982 8.382661e-01 -2.849034e-03 1.754002e-03 5.326700e-02 5.512957e-05 -1.613843e-05 2.188927e-05 8.250556e-05
11405.596982 8.358737e-01 -2.843488e-03 1.733500e-03 5.330515e-02 5.896348e-05 -2.335183e-05 1.586421e-05 8.074547e-05
11410.596982 8.332478e-01 -2.851578e-03 1.745353e-03 5.308348e-02 5.341995e-05 -2.513952e-05 1.908964e-05 6.916894e-05
11415.596982 8.254653e-01 -2.848866e-03 1.771813e-03 5.292296e-02 4.853500e-05 -1.791035e-05 2.480293e-05 7.890684e-05
11420.596982 8.259849e-01 -2.849567e-03 1.773434e-03 5.313650e-02 5.917031e-05 -1.477381e-05 1.849436e-05 9.347642e-05
11425.596982 8.331320e-01 -2.852132e-03 1.751853e-03 5.367097e-02 6.526206e-05 -1.885665e-05 1.669470e-05 9.175317e-05
11430.596982 8.339765e-01 -2.841711e-03 1.719098e-03 5.370387e-02 5.893146e-05 -2.856230e-05 2.026812e-05 9.537412e-05
11435.596982 8.321990e-01 -2.829898e-03 1.736653e-03 5.389729e-02 6.065009e-05 -3.115390e-05 2.479067e-05 8.079960e-05
11440.596982 8.306927e-01 -2.841351e-03 1.756138e-03 5.361344e-02 6.303522e-05 -3.023217e-05 2.980957e-05 8.116489e-05
11445.596982 8.295894e-01 -2.854139e-03 1.733292e-03 5.379396e-02 6.822060e-05 -3.276958e-05 2.486754e-05 7.813950e-05
11450.596982 8.286083e-01 -2.848877e-03 1.742384e-03 5.382285e-02 5.940342e-05 -2.842873e-05 2.308349e-05 8.420075e-05
11455.596982 8.276736e-01 -2.851745e-03 1.744029e-03 5.406184e-02 5.410131e-05 -1.539703e-05 1.360150e-05 7.997409e-05
11460.596982 8.264527e-01 -2.865482e-03 1.722004e-03 5.410546e-02 5.922973e-05 -1.743381e-05 1.265516e-05 6.979408e-05
11465.596982 8.253338e-01 -2.873819e-03 1.741990e-03 5.394937e-02 5.800684e-05 -7.576735e-06 2.445049e-05 7.567753e-05
11470.596982 8.244147e-01 -2.865037e-03 1.759400e-03 5.409090e-02 5.129854e-05 -6.650827e-06 2.851600e-05 7.937468e-05
11475.596982 8.238671e-01 -2.852916e-03 1.723695e-03 5.424354e-02 5.434397e-05 -1.783136e-05 2.516645e-05 7.008012e-05
11480.596982 8.230394e-01 -2.854054e-03 1.705679e-03 5.415505e-02 5.384457e-05 -1.294676e-05 2.120271e-05 8.628098e-05
11485.596982 8.222271e-01 -2.872763e-03 1.735264e-03 5.435347e-02 6.400764e-05 -1.737467e-05 1.109794e-05 9.518959e-05
11490.596982 8.213216e-01 -2.869119e-03 1.706087e-03 5.466794e-02 7.014520e-05 -1.957573e-05 1.416900e-05 8.818929e-05
11495.596982 8.201218e-01 -2.877842e-03 1.706970e-03 5.487246e-02 6.416323e-05 -1.883126e-05 1.628977e-05 7.270759e-05
11500.596982 8.191880e-01 -2.874596e-03 1.744329e-03 5.477844e-02 5.892452e-05 -2.048114e-05 1.027507e-05 7.195057e-05
11505.596982 8.181354e-01 -2.860422e-03 1.747248e-03 5.503378e-02 5.154850e-05 -1.368652e-05 1.815578e-05 9.433255e-05
11510.596982 8.167594e-01 -2.858060e-03 1.728355e-03 5.552289e-02 4.176337e-05 -1.488336e-05 2.483612e-05 9.576387e-05
11515.596982 8.158475e-01 -2.865984e-03 1.743371e-03 5.590560e-02 3.837212e-05 -1.285887e-05 2.528932e-05 1.018143e-04
11520.596982 8.152784e-01 -2.865078e-03 1.745538e-03 5.574038e-02 5.393259e-05 -3.279106e-06 1.882514e-05 9.305840e-05
11525.596982 8.151050e-01 -2.852827e-03 1.727856e-03 5.563574e-02 6.765486e-05 -8.211472e-06 1.680911e-05 9.579862e-05
11530.596982 8.138188e-01 -2.867818e-03 1.749997e-03 5.597628e-02 6.340357e-05 -1.871402e-05 1.053753e-05 9.402743e-05
11534.000000 8.128582e-01 -2.853602e-03 1.717638e-03 5.627750e-02 6.213513e-05 -1.651529e-05 2.404430e-05 1.066496e-04
11535.000000 8.128482e-01 -2.849571e-03 1.716130e-03 5.555832e-02 5.762997e-05 -1.723452e-05 2.177169e-05 1.008919e-04
11536.000000 8.136657e-01 -2.844818e-03 1.783136e-03 5.656130e-02 6.204282e-05 -1.374483e-05 2.879856e-05 9.245957e-05
11537.000000 8.130301e-01 -2.873200e-03 1.727063e-03 5.640252e-02 6.544151e-05 -2.135425e-05 2.494942e-05 9.207067e-05
11538.000000 8.119023e-01 -2.847961e-03 1.736058e-03 5.612782e-02 6.212509e-05 -2.255854e-05 3.025989e-05 9.616346e-05
11539.000000 8.116618e-01 -2.844191e-03 1.766596e-03 5.619526e-02 5.532373e-05 -1.687097e-05 3.823396e-05 9.529490e-05
11540.000000 8.120817e-01 -2.849453e-03 1.788852e-03 5.584210e-02 5.131277e-05 -9.875677e-06 1.024695e-05 9.984317e-05
11541.000000 8.132028e-01 -2.841773e-03 1.809763e-03 5.699514e-02 5.619874e-05 -9.898851e-06 1.221239e-05 1.024503e-04
11541.200000 8.194327e-01 -2.926488e-03 1.794651e-03 5.619707e-02 6.183136e-05 -8.651086e-06 7.238745e-06 9.669869e-05
11541.400000 8.144712e-01 -2.779191e-03 1.618117e-03 5.675961e-02 5.208326e-05 -5.555068e-06 3.786786e-06 8.809551e-05
11541.600000 8.103471e-01 -2.892596e-03 1.743993e-03 5.554487e-02 6.698668e-05 -1.303367e-05 7.119217e-06 1.112435e-04
11541.800000 8.148333e-01 -2.791424e-03 1.840059e-03 5.738331e-02 4.727229e-05 8.708094e-07 8.043634e-06 1.088099e-04
11542.000000 8.104740e-01 -2.812566e-03 1.799242e-03 5.804096e-02 4.845198e-05 2.096903e-06 8.373414e-06 9.982071e-05
11542.200000 8.113962e-01 -2.911013e-03 1.678777e-03 5.814894e-02 6.083693e-05 -3.539797e-06 -1.042427e-06 9.870482e-05
11542.400000 8.107020e-01 -2.792887e-03 1.813238e-03 5.793934e-02 4.684663e-05 4.066057e-06 4.636487e-07 1.055151e-04
11542.600000 8.129601e-01 -2.969693e-03 1.919344e-03 5.715144e-02 6.892323e-05 1.708270e-08 2.541227e-05 1.007431e-04
11542.800000 8.167807e-01 -2.803878e-03 1.815346e-03 5.735263e-02 5.991728e-05 -1.045830e-05 1.211842e-05 9.663068e-05
11543.000000 8.118894e-01 -2.913254e-03 1.664701e-03 5.656690e-02 6.717777e-05 -6.526095e-06 1.303576e-05 8.177676e-05
11543.200000 8.111273e-01 -2.810495e-03 1.546852e-03 5.813713e-02 6.527637e-05 -1.276232e-05 2.014276e-05 9.312216e-05
11543.400000 8.085338e-01 -2.809603e-03 1.872177e-03 5.734755e-02 5.495182e-05 -2.037446e-05 2.966034e-05 9.258207e-05
11543.600000 8.117934e-01 -2.921454e-03 1.958932e-03 5.574016e-02 6.143198e-05 -1.784352e-05 1.972987e-05 1.046318e-04
11543.800000 8.126122e-01 -2.738808e-03 1.595929e-03 5.640474e-02 6.047666e-05 -3.549525e-06 2.458069e-05 8.431196e-05
11544.000000 8.044427e-01 -2.877288e-03 1.780653e-03 5.854270e-02 6.218117e-05 4.893278e-07 1.473178e-05 9.159402e-05
11544.200000 8.133660e-01 -2.770292e-03 1.643013e-03 5.759962e-02 5.228566e-05 3.211286e-06 8.587019e-06 8.992889e-05
11544.400000 8.132209e-01 -2.879524e-03 1.762255e-03 5.719067e-02 7.241728e-05 -1.771629e-05 2.384189e-05 1.074546e-04
11544.600000 8.123963e-01 -2.828558e-03 1.707452e-03 5.722468e-02 6.398611e-05 -1.654464e-05 1.260022e-05 1.213747e-04
11544.800000 8.174509e-01 -2.859888e-03 1.742191e-03 5.816159e-02 6.384015e-05 -2.806444e-05 1.119123e-05 9.703236e-05
11545.000000 8.027883e-01 -2.912274e-03 1.509568e-03 5.720085e-02 6.174914e-05 -1.772022e-05 2.191682e-05 9.236412e-05
11545.200000 8.130953e-01 -2.792522e-03 1.826225e-03 5.768437e-02 5.954698e-05 -1.889023e-05 1.283614e-05 8.761885e-05
11545.400000 8.102696e-01 -2.884860e-03 1.887164e-03 5.843932e-02 6.435196e-05 -1.766049e-05 2.919397e-05 9.720092e-05
11545.600000 8.157890e-01 -2.803188e-03 1.504070e-03 5.810180e-02 4.978658e-05 -1.193470e-05 3.545001e-05 1.118124e-04
11545.800000 8.145818e-01 -2.910251e-03 1.814768e-03 5.795315e-02 5.796222e-05 -1.521752e-05 2.984593e-05 1.142565e-04
11546.000000 8.076372e-01 -2.810493e-03 1.779196e-03 5.530597e-02 6.302839e-05 -1.119481e-05 2.157237e-05 1.112490e-04
11546.200000 8.106836e-01 -2.849740e-03 1.878500e-03 5.706289e-02 6.769715e-05 -3.104361e-06 7.268777e-06 9.679995e-05
11546.400000 8.140055e-01 -2.840068e-03 1.707643e-03 5.856770e-02 6.697456e-05 -1.693016e-06 9.732254e-06 9.826125e-05
11546.600000 8.076077e-01 -2.767055e-03 1.733109e-03 5.707935e-02 5.183928e-05 -6.984256e-06 1.233145e-05 1.026569e-04
11546.800000 8.110878e-01 -2.882855e-03 1.828184e-03 5.681878e-02 7.729519e-05 4.170205e-07 2.598214e-05 1.144377e-04
11547.000000 8.110501e-01 -2.757951e-03 1.876988e-03 5.795004e-02 6.527037e-05 -5.628810e-07 2.769818e-05 1.098626e-04
11547.200000 8.131792e-01 -2.919558e-03 1.763527e-03 6.047688e-02 6.662430e-05 -1.151375e-05 2.853223e-05 1.040195e-04
11547.400000 8.095876e-01 -2.775833e-03 1.700050e-03 5.797280e-02 5.864581e-05 -7.696607e-06 3.851255e-05 9.833677e-05
11547.600000 8.110572e-01 -2.886273e-03 1.480311e-03 5.720149e-02 6.018164e-05 -1.813800e-05 4.183374e-05 9.838875e-05
11547.800000 8.096120e-01 -2.858135e-03 1.806090e-03 5.876845e-02 4.824469e-05 -1.933713e-05 4.203148e-05 9.818086e-05
11548.000000 8.096998e-01 -2.833644e-03 1.730278e-03 5.922994e-02 4.857746e-05 -1.797975e-05 1.007696e-05 8.848737e-05
11548.200000 8.126574e-01 -2.899439e-03 1.770173e-03 5.776201e-02 5.050850e-05 -2.723694e-05 1.268170e-05 9.156255e-05
11548.400000 8.003001e-01 -2.782824e-03 1.876414e-03 5.822834e-02 4.834721e-05 -3.002826e-05 2.572414e-05 8.971695e-05
11548.600000 8.196384e-01 -2.949152e-03 1.846187e-03 5.935700e-02 6.782274e-05 -2.752462e-05 3.552005e-05 9.956828e-05
11548.800000 8.152098e-01 -2.803966e-03 1.824099e-03 5.686338e-02 5.868978e-05 -2.543845e-05 1.653390e-05 9.423211e-05
11549.000000 8.116263e-01 -2.941922e-03 1.695102e-03 5.789755e-02 7.047965e-05 -2.190485e-05 1.598632e-05 9.467654e-05
11549.200000 8.136197e-01 -2.807667e-03 1.813368e-03 5.966046e-02 5.141103e-05 -2.730025e-05 2.249404e-05 8.589159e-05
11549.400000 8.102450e-01 -2.949622e-03 1.541781e-03 6.126849e-02 5.624080e-05 -1.895748e-05 2.860597e-05 8.620978e-05
11549.600000 8.144552e-01 -2.834443e-03 1.791177e-03 5.906975e-02 5.590680e-05 -1.867907e-05 2.698943e-05 8.843094e-05
11549.800000 8.124889e-01 -2.841239e-03 1.708528e-03 5.692889e-02 5.696862e-05 -1.473430e-05 3.524960e-05 9.354566e-05
11550.000000 8.094946e-01 -2.809327e-03 1.745778e-03 5.985969e-02 7.228841e-05 -2.020994e-05 3.170145e-05 9.084716e-05
11550.200000 8.124102e-01 -2.865426e-03 1.790897e-03 5.913517e-02 7.535902e-05 -9.316564e-06 3.827923e-05 8.677410e-05
11550.400000 8.106817e-01 -2.847905e-03 1.780230e-03 5.874023e-02 7.349781e-05 -7.886609e-06 2.532795e-05 9.174698e-05
11550.600000 8.127503e-01 -2.832111e-03 1.809570e-03 5.992285e-02 5.633037e-05 -1.865183e-05 9.234445e-06 9.150369e-05
11550.800000 8.115906e-01 -2.852375e-03 1.683787e-03 5.770828e-02 7.261951e-05 -2.421564e-05 4.919647e-05 9.877000e-05
11551.000000 8.119568e-01 -2.782148e-03 1.708623e-03 5.915823e-02 5.276858e-05 -2.982512e-05 7.329465e-06 9.134924e-05
11551.200000 8.076106e-01 -2.860600e-03 1.697051e-03 5.888500e-02 6.057841e-05 -2.288628e-05 1.023252e-05 8.522697e-05
11551.400000 8.088832e-01 -2.835502e-03 1.957857e-03 5.992568e-02 5.323623e-05 -1.109968e-05 8.702315e-06 9.128187e-05
11551.600000 8.126739e-01 -2.978410e-03 1.766665e-03 5.912758e-02 6.061868e-05 -1.257525e-05 1.563622e-05 9.219078e-05
11551.800000 8.074124e-01 -2.826316e-03 1.678958e-03 5.734706e-02 5.588130e-05 -2.065302e-05 2.178572e-05 8.536093e-05
11552.000000 8.141541e-01 -2.953623e-03 1.795413e-03 6.237178e-02 6.567268e-05 -2.382214e-05 2.355377e-05 8.479195e-05
11552.200000 8.138747e-01 -2.775855e-03 1.863591e-03 6.206392e-02 4.141781e-05 -3.232845e-05 4.070759e-06 8.234465e-05
11552.400000 8.094269e-01 -2.888373e-03 1.390027e-03 5.699745e-02 5.095707e-05 -2.727653e-05 1.941533e-05 7.676601e-05
11552.600000 8.078258e-01 -2.768803e-03 1.566504e-03 6.122382e-02 5.187428e-05 -1.988612e-05 3.436076e-05 6.924895e-05
11552.800000 8.124582e-01 -2.915663e-03 1.703958e-03 5.922285e-02 5.142380e-05 -1.559665e-05 4.266549e-05 9.155789e-05
11553.000000 8.107795e-01 -2.802146e-03 1.792751e-03 6.054585e-02 4.345322e-05 -1.697881e-05 2.818831e-05 7.486090e-05
11553.200000 8.055517e-01 -2.887627e-03 1.744653e-03 6.150107e-02 5.753196e-05 -1.040165e-05 2.353036e-05 7.692753e-05
11553.400000 8.123651e-01 -2.765480e-03 1.767936e-03 6.135745e-02 4.929220e-05 -7.804835e-06 2.370251e-05 7.559373e-05
11553.600000 8.114646e-01 -2.901315e-03 1.530907e-03 5.908315e-02 4.967810e-05 -3.349552e-06 2.475571e-05 8.498419e-05
11553.800000 8.081642e-01 -2.766722e-03 1.628097e-03 6.194453e-02 5.352585e-05 2.213980e-06 3.191469e-05 7.313311e-05
11554.000000 8.113769e-01 -2.920130e-03 1.787895e-03 6.117470e-02 6.474035e-05 3.131458e-06 2.162015e-05 4.454586e-05
11554.200000 8.093254e-01 -2.809281e-03 1.829679e-03 6.012793e-02 6.187343e-05 1.731033e-07 2.533760e-05 7.153691e-05
11554.400000 8.027291e-01 -2.894792e-03 1.801461e-03 6.014029e-02 5.576322e-05 -4.693222e-06 2.800400e-05 9.758084e-05
11554.600000 8.141691e-01 -2.840074e-03 1.836962e-03 6.441879e-02 5.884832e-05 -1.018951e-05 3.089299e-05 8.765935e-05
11554.800000 8.118252e-01 -2.907505e-03 1.746394e-03 5.994810e-02 5.985615e-05 -6.838072e-06 2.503684e-05 7.700948e-05
11555.000000 8.049465e-01 -2.779626e-03 1.969353e-03 6.054490e-02 4.701261e-05 -1.454698e-06 9.518237e-06 7.531078e-05
11555.200000 8.145001e-01 -2.863445e-03 1.636157e-03 6.270903e-02 6.539308e-05 -1.227521e-06 5.107679e-05 9.794747e-05
11555.400000 8.116314e-01 -2.764486e-03 1.891927e-03 6.173535e-02 6.019191e-05 -2.340131e-06 3.919512e-05 8.506925e-05
11555.600000 8.094111e-01 -2.880347e-03 1.597035e-03 6.164528e-02 6.993375e-05 -7.843265e-06 3.101277e-05 9.089097e-05
11555.800000 8.101862e-01 -2.845063e-03 1.815003e-03 6.205694e-02 6.232560e-05 -6.735625e-06 3.469666e-05 9.341215e-05
11556.000000 8.075940e-01 -2.902568e-03 1.647858e-03 6.414848e-02 5.255375e-05 -7.813274e-06 2.507677e-05 8.927060e-05
11556.200000 8.083289e-01 -2.835597e-03 1.987419e-03 6.446224e-02 5.985501e-05 -1.296528e-05 5.903709e-06 7.661078e-05
11556.400000 8.132930e-01 -2.818682e-03 1.742670e-03 6.413237e-02 6.350455e-05 -2.066740e-05 2.160929e-05 8.472747e-05
11556.600000 8.090560e-01 -2.875907e-03 1.631360e-03 6.585223e-02 7.121060e-05 -6.791850e-06 5.641903e-05 1.033431e-04
11556.800000 8.126274e-01 -2.827119e-03 2.013278e-03 6.335215e-02 5.277110e-05 -9.729659e-06 1.463792e-05 9.716721e-05
11557.000000 8.104043e-01 -2.876270e-03 1.994177e-03 6.298333e-02 5.755067e-05 -5.366542e-06 3.606563e-06 9.003644e-05
11557.200000 8.106403e-01 -2.770026e-03 1.942827e-03 6.659478e-02 5.004560e-05 -2.009712e-05 2.573915e-05 9.597236e-05
11557.400000 8.092264e-01 -2.915281e-03 1.717092e-03 6.560982e-02 6.205964e-05 -2.112372e-05 2.615031e-05 8.117406e-05
11557.600000 8.059802e-01 -2.753069e-03 1.785264e-03 6.563403e-02 4.855672e-05 -1.830207e-05 2.396295e-05 9.151297e-05
11557.800000 8.090097e-01 -2.888190e-03 1.716850e-03 6.601529e-02 4.614988e-05 -5.222986e-06 -4.417015e-08 8.126836e-05
11558.000000 8.110864e-01 -2.772367e-03 1.784706e-03 6.693606e-02 4.891753e-05 -5.284991e-06 7.487056e-06 7.917547e-05
11558.200000 8.072958e-01 -2.900353e-03 2.091394e-03 6.623488e-02 6.134141e-05 5.223814e-07 -4.450397e-06 7.177973e-05
11558.400000 8.102198e-01 -2.800631e-03 1.865077e-03 6.738210e-02 4.516073e-05 -5.411179e-06 1.169116e-05 7.513071e-05
11558.600000 8.105231e-01 -2.897709e-03 1.879485e-03 6.689452e-02 6.421299e-05 -1.225939e-05 2.106908e-05 8.785381e-05
