# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271127
# UID: 1cd55331-bc54-43c0-bc85-ff597d39eb9a
# Comment: 
# Start time: 10/18/2023  19:58:39
# Stop time: 10/18/2023  19:59:11
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.203120e-01 -1.430797e-03 8.691910e-04 2.662351e-02 2.252276e-05 -9.827041e-06 4.548571e-06 5.226076e-05
11385.468179 8.262570e-01 -2.832790e-03 1.735407e-03 5.265243e-02 5.220701e-05 -2.288423e-05 3.934050e-06 1.097961e-04
11390.468179 8.322998e-01 -2.858174e-03 1.731567e-03 5.295872e-02 5.022737e-05 -1.774282e-05 -9.061875e-07 9.847736e-05
11395.468179 8.396653e-01 -2.857809e-03 1.754040e-03 5.308668e-02 4.623380e-05 -1.621394e-05 1.708602e-06 1.007388e-04
11400.468179 8.382151e-01 -2.856245e-03 1.803259e-03 5.335077e-02 5.326352e-05 -1.920851e-05 1.452407e-05 1.127356e-04
11405.468179 8.362018e-01 -2.846164e-03 1.744111e-03 5.338297e-02 4.681790e-05 -7.571523e-06 9.227848e-07 9.893572e-05
11410.468179 8.335777e-01 -2.860327e-03 1.751706e-03 5.325862e-02 4.006527e-05 -4.678312e-06 2.443987e-06 9.151781e-05
11415.468179 8.255371e-01 -2.863040e-03 1.716878e-03 5.288206e-02 4.075868e-05 -8.853950e-06 1.939133e-05 9.148841e-05
11420.468179 8.252158e-01 -2.854569e-03 1.729334e-03 5.311533e-02 4.758904e-05 -2.060691e-05 3.056864e-05 9.362592e-05
11425.468179 8.326667e-01 -2.863905e-03 1.702899e-03 5.388655e-02 5.122866e-05 -2.274201e-05 3.369990e-05 9.354629e-05
11430.468179 8.335349e-01 -2.865443e-03 1.715999e-03 5.384345e-02 5.403274e-05 -2.206511e-05 2.855147e-05 9.861829e-05
11435.468179 8.322276e-01 -2.863954e-03 1.727993e-03 5.374061e-02 4.479852e-05 -2.304403e-05 2.935911e-05 1.030063e-04
11440.468179 8.306327e-01 -2.861538e-03 1.702935e-03 5.402198e-02 4.125462e-05 -3.308316e-05 2.979220e-05 1.077817e-04
11445.468179 8.302142e-01 -2.860499e-03 1.687912e-03 5.414411e-02 4.997108e-05 -2.956284e-05 2.303703e-05 1.026380e-04
11450.468179 8.290953e-01 -2.866586e-03 1.703095e-03 5.398114e-02 4.859936e-05 -3.186406e-05 9.319624e-06 9.871092e-05
11455.468179 8.276872e-01 -2.844956e-03 1.749907e-03 5.393801e-02 5.336163e-05 -3.277997e-05 1.977302e-05 9.912259e-05
11460.468179 8.260583e-01 -2.858116e-03 1.753625e-03 5.395998e-02 5.806501e-05 -2.871237e-05 1.852964e-05 1.025096e-04
11465.468179 8.250458e-01 -2.871055e-03 1.741622e-03 5.416268e-02 5.862672e-05 -2.940392e-05 1.476960e-05 9.855878e-05
