# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271128
# UID: 619672e9-59b1-4e29-9e16-8c3603bfed4d
# Comment: 
# Start time: 10/18/2023  19:59:14
# Stop time: 10/18/2023  19:59:46
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.205689e-01 -1.435648e-03 8.821394e-04 2.672206e-02 2.182492e-05 -2.122872e-05 6.731079e-06 3.799476e-05
11385.425245 8.264982e-01 -2.833189e-03 1.759468e-03 5.281200e-02 4.183010e-05 -3.548302e-05 2.644829e-05 8.472330e-05
11390.425245 8.325625e-01 -2.864795e-03 1.753993e-03 5.295650e-02 4.371666e-05 -3.122591e-05 1.599971e-05 8.664138e-05
11395.425245 8.396917e-01 -2.876566e-03 1.769736e-03 5.318099e-02 4.067520e-05 -3.378491e-05 1.272772e-05 8.698785e-05
11400.425245 8.382087e-01 -2.869853e-03 1.752659e-03 5.347894e-02 4.847526e-05 -3.638981e-05 2.398530e-05 7.943015e-05
11405.425245 8.363184e-01 -2.884655e-03 1.719643e-03 5.350854e-02 5.204707e-05 -4.480302e-05 1.741605e-05 9.069276e-05
11410.425245 8.339242e-01 -2.891491e-03 1.748039e-03 5.342985e-02 4.704593e-05 -4.654826e-05 1.132417e-05 8.422943e-05
11415.425245 8.255041e-01 -2.886434e-03 1.754544e-03 5.316476e-02 4.268387e-05 -4.844364e-05 8.761063e-06 8.014370e-05
11420.425245 8.247555e-01 -2.888187e-03 1.772955e-03 5.323772e-02 3.441507e-05 -4.252968e-05 -2.825299e-06 7.988577e-05
11425.425245 8.320496e-01 -2.879755e-03 1.749155e-03 5.376461e-02 3.811384e-05 -4.448836e-05 2.213248e-06 8.525734e-05
11430.425245 8.328273e-01 -2.889341e-03 1.727785e-03 5.402000e-02 4.821904e-05 -4.537557e-05 1.913711e-05 9.025333e-05
11435.425245 8.316960e-01 -2.897835e-03 1.729560e-03 5.424862e-02 3.788582e-05 -4.442149e-05 1.041212e-05 8.528893e-05
11440.425245 8.303802e-01 -2.886256e-03 1.717751e-03 5.406120e-02 3.687316e-05 -4.762462e-05 1.994440e-05 8.949727e-05
11445.425245 8.299610e-01 -2.910176e-03 1.680831e-03 5.402827e-02 3.824658e-05 -4.387263e-05 1.982639e-05 8.585124e-05
11450.425245 8.281902e-01 -2.901267e-03 1.736419e-03 5.391944e-02 4.388618e-05 -4.288542e-05 1.648364e-05 8.522803e-05
11455.425245 8.274950e-01 -2.909969e-03 1.715604e-03 5.404209e-02 4.929644e-05 -4.198526e-05 2.035427e-05 8.981566e-05
11460.425245 8.262751e-01 -2.895019e-03 1.727177e-03 5.422154e-02 4.740228e-05 -4.715443e-05 1.855384e-05 9.088802e-05
11465.425245 8.251758e-01 -2.895197e-03 1.710193e-03 5.440794e-02 4.835830e-05 -4.134676e-05 2.344211e-05 9.150031e-05
11470.425245 8.238605e-01 -2.897149e-03 1.724315e-03 5.436330e-02 5.000023e-05 -2.848476e-05 1.518514e-05 9.142326e-05
11475.425245 8.236507e-01 -2.887207e-03 1.740789e-03 5.421948e-02 4.317718e-05 -2.624532e-05 2.444518e-05 9.771878e-05
11480.425245 8.226783e-01 -2.875743e-03 1.759265e-03 5.440909e-02 3.934113e-05 -3.414637e-05 2.834655e-05 9.881332e-05
11485.425245 8.220183e-01 -2.876142e-03 1.757069e-03 5.448980e-02 4.910871e-05 -3.275995e-05 2.007864e-05 9.848361e-05
11490.425245 8.208582e-01 -2.869626e-03 1.753039e-03 5.452278e-02 5.927733e-05 -3.785528e-05 2.037606e-05 9.892100e-05
11495.425245 8.199248e-01 -2.868951e-03 1.749520e-03 5.473497e-02 5.791660e-05 -3.802027e-05 1.568551e-05 9.683918e-05
11500.425245 8.186155e-01 -2.864683e-03 1.744265e-03 5.498728e-02 4.963940e-05 -3.578219e-05 8.656077e-06 9.646256e-05
11505.425245 8.174931e-01 -2.865130e-03 1.748648e-03 5.513684e-02 4.728730e-05 -4.579269e-05 1.129461e-05 9.287864e-05
11510.425245 8.163036e-01 -2.886042e-03 1.737388e-03 5.569247e-02 4.910649e-05 -4.960187e-05 7.106065e-06 9.090362e-05
11515.425245 8.158906e-01 -2.886917e-03 1.741909e-03 5.586899e-02 4.862077e-05 -4.861911e-05 1.663768e-05 9.521550e-05
11520.425245 8.151217e-01 -2.883203e-03 1.726245e-03 5.585061e-02 4.585003e-05 -5.012255e-05 1.600058e-05 9.888915e-05
11525.425245 8.144688e-01 -2.886947e-03 1.747055e-03 5.573609e-02 4.849816e-05 -5.190741e-05 1.586277e-05 7.810120e-05
11530.425245 8.136315e-01 -2.876630e-03 1.719902e-03 5.596611e-02 3.659320e-05 -6.189033e-05 1.088654e-05 7.771430e-05
11534.000000 8.126117e-01 -2.868861e-03 1.763422e-03 5.619024e-02 2.680489e-05 -5.873936e-05 1.283039e-05 7.250100e-05
11535.000000 8.130501e-01 -2.861990e-03 1.716613e-03 5.637243e-02 2.842946e-05 -5.261562e-05 1.475504e-05 7.033409e-05
11536.000000 8.117630e-01 -2.871987e-03 1.794704e-03 5.607483e-02 3.549256e-05 -4.866418e-05 1.418900e-05 7.640265e-05
11537.000000 8.121915e-01 -2.876361e-03 1.742641e-03 5.583252e-02 3.838957e-05 -4.304974e-05 1.991646e-05 7.716913e-05
11538.000000 8.114132e-01 -2.857084e-03 1.787420e-03 5.666843e-02 3.600530e-05 -4.363394e-05 1.724399e-05 7.380695e-05
11539.000000 8.119725e-01 -2.868757e-03 1.762704e-03 5.620694e-02 3.741311e-05 -5.057988e-05 1.685870e-05 7.352972e-05
11540.000000 8.120884e-01 -2.886797e-03 1.831716e-03 5.715628e-02 4.060653e-05 -5.021770e-05 1.472728e-05 7.814455e-05
11541.000000 8.114488e-01 -2.884918e-03 1.734628e-03 5.729570e-02 3.578038e-05 -3.837458e-05 4.022889e-06 8.110271e-05
11541.200000 8.066665e-01 -2.780008e-03 1.721885e-03 5.460205e-02 2.446533e-05 -3.226662e-05 -3.781805e-06 7.171583e-05
11541.400000 8.157811e-01 -2.978539e-03 1.559190e-03 5.749397e-02 4.062805e-05 -4.060760e-05 -1.154412e-05 8.101267e-05
11541.600000 8.130914e-01 -2.873892e-03 1.844128e-03 5.666543e-02 2.926993e-05 -5.235702e-05 3.420229e-06 8.194079e-05
11541.800000 8.101876e-01 -2.893683e-03 1.841095e-03 5.818620e-02 4.006982e-05 -5.568051e-05 9.777475e-06 9.135968e-05
11542.000000 8.030571e-01 -2.905129e-03 1.558590e-03 5.802657e-02 3.970854e-05 -4.882366e-05 1.655207e-05 8.182891e-05
11542.200000 8.222177e-01 -2.837685e-03 1.681133e-03 5.740671e-02 3.698009e-05 -4.724937e-05 2.829123e-05 8.424868e-05
11542.400000 8.080724e-01 -2.946969e-03 1.755331e-03 5.689022e-02 5.275080e-05 -3.912587e-05 1.973358e-05 7.559392e-05
11542.600000 8.054556e-01 -2.764492e-03 1.844995e-03 5.635219e-02 3.576181e-05 -4.868454e-05 1.893863e-05 7.219270e-05
11542.800000 8.131324e-01 -2.967125e-03 1.543900e-03 5.730685e-02 4.176565e-05 -6.153053e-05 2.924803e-05 8.299411e-05
11543.000000 8.135134e-01 -2.921229e-03 1.795254e-03 5.633213e-02 3.559140e-05 -5.778283e-05 3.348959e-05 8.023861e-05
11543.200000 8.102272e-01 -2.798802e-03 1.572082e-03 5.823559e-02 4.237010e-05 -5.125314e-05 2.702922e-05 7.951396e-05
11543.400000 8.132374e-01 -2.961918e-03 1.763101e-03 5.802522e-02 4.076601e-05 -4.647745e-05 9.094746e-06 7.225867e-05
11543.600000 8.098321e-01 -2.849237e-03 1.623203e-03 5.720680e-02 2.844265e-05 -4.946029e-05 2.691016e-05 7.624380e-05
11543.800000 8.132054e-01 -3.006387e-03 1.554688e-03 5.591726e-02 3.763533e-05 -5.393569e-05 2.197726e-05 8.345546e-05
11544.000000 8.130067e-01 -2.884104e-03 1.831842e-03 5.737372e-02 2.037095e-05 -5.132438e-05 2.163326e-06 7.383959e-05
11544.200000 8.099394e-01 -2.959585e-03 1.633692e-03 5.847645e-02 3.676585e-05 -4.948986e-05 1.347120e-05 8.275576e-05
11544.400000 8.116700e-01 -2.903070e-03 1.797751e-03 5.716079e-02 3.357918e-05 -4.720460e-05 9.434595e-06 7.278971e-05
11544.600000 8.083681e-01 -2.832996e-03 1.827283e-03 5.228353e-02 2.761069e-05 -4.652518e-05 8.525644e-06 7.320044e-05
11544.800000 8.107672e-01 -2.933787e-03 1.568173e-03 5.687227e-02 4.516596e-05 -4.436436e-05 5.905984e-06 7.219339e-05
11545.000000 8.136389e-01 -2.821565e-03 1.815477e-03 5.984997e-02 4.172822e-05 -3.813105e-05 1.187167e-06 8.365119e-05
11545.200000 8.036341e-01 -2.977208e-03 1.453815e-03 5.748515e-02 4.870668e-05 -4.243773e-05 2.537595e-07 8.290123e-05
11545.400000 8.151925e-01 -2.799934e-03 1.834940e-03 5.841100e-02 3.758404e-05 -5.077958e-05 4.049933e-06 7.980122e-05
11545.600000 8.127905e-01 -2.921466e-03 1.734940e-03 5.751160e-02 5.485096e-05 -4.650643e-05 9.483621e-06 6.680084e-05
