# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271129
# UID: 4f0e5365-cdbf-437d-9349-867508ada1dc
# Comment: 
# Start time: 10/18/2023  19:59:49
# Stop time: 10/18/2023  20:00:22
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.204570e-01 -1.439565e-03 8.753005e-04 2.669351e-02 9.860516e-06 -1.176921e-05 3.823303e-06 4.310445e-05
11385.596982 8.260685e-01 -2.845784e-03 1.713003e-03 5.270892e-02 1.006964e-05 -2.058775e-05 9.778243e-06 8.949204e-05
11390.596982 8.326728e-01 -2.854284e-03 1.761474e-03 5.297439e-02 -8.327570e-06 -2.362417e-05 2.431538e-05 8.798169e-05
11395.596982 8.396869e-01 -2.851689e-03 1.762394e-03 5.333436e-02 -8.706114e-06 -1.675006e-05 2.172878e-05 7.960667e-05
11400.596982 8.375232e-01 -2.854727e-03 1.731045e-03 5.343428e-02 -9.283330e-06 -1.328971e-05 1.363278e-05 6.902945e-05
11405.596982 8.360598e-01 -2.867055e-03 1.736836e-03 5.353342e-02 -1.104739e-05 -1.352953e-05 2.017629e-05 7.844504e-05
11410.596982 8.337176e-01 -2.862291e-03 1.746273e-03 5.337012e-02 -4.959997e-06 -1.355962e-05 2.707417e-05 7.258868e-05
11415.596982 8.250937e-01 -2.864872e-03 1.748248e-03 5.325405e-02 -1.092479e-06 -1.691192e-05 1.869855e-05 6.910439e-05
11420.596982 8.251067e-01 -2.861634e-03 1.749656e-03 5.320962e-02 -2.489108e-06 -2.252134e-05 1.898600e-05 8.902134e-05
11425.596982 8.324675e-01 -2.855060e-03 1.735505e-03 5.383412e-02 -8.921518e-06 -2.655264e-05 1.460604e-05 9.344641e-05
11430.596982 8.328648e-01 -2.841130e-03 1.750211e-03 5.401698e-02 -9.226283e-06 -2.833220e-05 1.293624e-05 9.694913e-05
11435.596982 8.314025e-01 -2.853389e-03 1.735586e-03 5.396871e-02 -1.794977e-05 -2.051555e-05 6.877006e-06 8.675156e-05
11440.596982 8.303844e-01 -2.853994e-03 1.760589e-03 5.412912e-02 -9.200281e-06 -1.913151e-05 2.619861e-06 8.499917e-05
11445.596982 8.302028e-01 -2.854682e-03 1.726950e-03 5.403775e-02 5.907289e-06 -1.613948e-05 -1.105706e-06 9.514033e-05
11450.596982 8.285972e-01 -2.859729e-03 1.751403e-03 5.410965e-02 7.328358e-06 -2.227316e-05 4.893663e-06 8.911810e-05
11455.596982 8.271186e-01 -2.858752e-03 1.761118e-03 5.396096e-02 1.015561e-05 -2.227527e-05 4.788256e-06 9.568837e-05
11460.596982 8.260480e-01 -2.850932e-03 1.763789e-03 5.408137e-02 9.172809e-06 -2.632510e-05 2.854323e-06 9.581779e-05
11465.596982 8.245855e-01 -2.862158e-03 1.746617e-03 5.421809e-02 1.672790e-05 -2.905671e-05 4.240713e-06 9.002981e-05
11470.596982 8.240096e-01 -2.871235e-03 1.748588e-03 5.450444e-02 2.334757e-05 -3.172375e-05 1.286694e-05 8.247241e-05
11475.596982 8.232591e-01 -2.872640e-03 1.754192e-03 5.411558e-02 1.537938e-05 -3.034739e-05 1.586524e-05 6.741300e-05
11480.596982 8.227328e-01 -2.870412e-03 1.750658e-03 5.439178e-02 1.091990e-05 -3.064375e-05 1.194480e-05 6.429994e-05
11485.596982 8.222560e-01 -2.870682e-03 1.741692e-03 5.472758e-02 2.525532e-06 -3.042674e-05 1.106184e-05 5.788635e-05
11490.596982 8.201553e-01 -2.858584e-03 1.763120e-03 5.474640e-02 5.540950e-06 -3.147753e-05 1.421174e-05 6.756316e-05
11495.596982 8.196726e-01 -2.857523e-03 1.737989e-03 5.466220e-02 1.053617e-05 -3.509583e-05 1.850152e-05 8.619341e-05
