# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271130
# UID: 87a59629-5364-4ddb-95ad-d1ce1fbb4335
# Comment: 
# Start time: 10/18/2023  20:00:25
# Stop time: 10/18/2023  20:00:57
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.215890e-01 -1.430376e-03 8.732382e-04 2.684419e-02 1.792222e-05 -2.002957e-05 1.156799e-05 4.753796e-05
11385.596982 8.283826e-01 -2.824686e-03 1.726397e-03 5.297964e-02 2.650552e-05 -2.745808e-05 1.769485e-05 8.890367e-05
11390.596982 8.349785e-01 -2.849992e-03 1.755597e-03 5.327158e-02 2.324545e-05 -1.962682e-05 8.410725e-06 9.257389e-05
11395.596982 8.419563e-01 -2.859808e-03 1.751007e-03 5.356978e-02 2.264401e-05 -1.802033e-05 8.744757e-06 1.030167e-04
11400.596982 8.399220e-01 -2.862892e-03 1.763017e-03 5.352452e-02 1.866431e-05 -4.145688e-05 2.924414e-06 1.020157e-04
11405.596982 8.384929e-01 -2.854363e-03 1.734239e-03 5.353422e-02 2.278916e-05 -5.658924e-05 1.572066e-06 9.617510e-05
11410.596982 8.361956e-01 -2.848476e-03 1.743829e-03 5.362825e-02 2.621371e-05 -5.307951e-05 2.809010e-06 9.113551e-05
11415.596982 8.278528e-01 -2.846211e-03 1.752457e-03 5.322805e-02 2.851436e-05 -4.757530e-05 6.471735e-06 8.747979e-05
11420.596982 8.279042e-01 -2.851675e-03 1.725488e-03 5.345033e-02 2.354082e-05 -4.772679e-05 9.580193e-06 8.804857e-05
11425.596982 8.346627e-01 -2.865772e-03 1.744678e-03 5.434870e-02 2.691575e-05 -4.681145e-05 1.006581e-05 9.714552e-05
11430.596982 8.352749e-01 -2.863597e-03 1.812872e-03 5.421475e-02 2.605961e-05 -3.518364e-05 9.456271e-06 1.064495e-04
11435.596982 8.339402e-01 -2.849864e-03 1.754739e-03 5.426160e-02 1.880094e-05 -3.633447e-05 -2.647524e-06 1.022635e-04
11440.596982 8.332279e-01 -2.852603e-03 1.752145e-03 5.429306e-02 2.512101e-05 -3.626376e-05 -1.600688e-05 9.276222e-05
11445.596982 8.322183e-01 -2.857958e-03 1.776273e-03 5.447058e-02 3.666428e-05 -2.843678e-05 -2.795388e-06 9.788994e-05
11450.596982 8.313750e-01 -2.856444e-03 1.771309e-03 5.446977e-02 3.502542e-05 -2.249664e-05 1.332375e-05 9.724080e-05
11455.596982 8.298262e-01 -2.844449e-03 1.785968e-03 5.427043e-02 3.837908e-05 -2.994979e-05 1.843987e-05 1.011122e-04
11460.596982 8.286801e-01 -2.834448e-03 1.757594e-03 5.442577e-02 2.783351e-05 -3.315086e-05 2.478421e-05 9.890958e-05
11465.596982 8.272549e-01 -2.850843e-03 1.752138e-03 5.433310e-02 2.812949e-05 -2.981118e-05 2.342830e-05 9.352612e-05
11470.596982 8.266570e-01 -2.843274e-03 1.766126e-03 5.424869e-02 3.733653e-05 -4.142958e-05 2.103134e-05 1.059321e-04
11475.596982 8.256950e-01 -2.839396e-03 1.721706e-03 5.440951e-02 4.801419e-05 -4.707196e-05 2.832908e-05 1.044094e-04
11480.596982 8.253127e-01 -2.843440e-03 1.746051e-03 5.462369e-02 4.972242e-05 -4.808624e-05 3.021871e-05 9.975985e-05
