# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271131
# UID: 4c16ebf3-a28f-4592-a85e-f1b97a7dfc99
# Comment: 
# Start time: 10/18/2023  20:01:00
# Stop time: 10/18/2023  20:01:32
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.554717 4.211849e-01 -1.417613e-03 8.807235e-04 2.688324e-02 1.865578e-05 -2.473545e-05 1.712831e-05 5.406840e-05
11385.554717 8.275614e-01 -2.840168e-03 1.700829e-03 5.309738e-02 3.231185e-05 -4.696960e-05 3.340740e-05 1.095664e-04
11390.554717 8.343877e-01 -2.878580e-03 1.714637e-03 5.331463e-02 3.294618e-05 -4.003256e-05 3.353890e-05 1.053751e-04
11395.554717 8.416203e-01 -2.885778e-03 1.717400e-03 5.349446e-02 3.499741e-05 -4.269541e-05 2.875231e-05 9.914982e-05
11400.554717 8.398547e-01 -2.873663e-03 1.758680e-03 5.341682e-02 3.543735e-05 -4.481100e-05 2.959405e-05 1.084455e-04
11405.554717 8.376927e-01 -2.873694e-03 1.806856e-03 5.362935e-02 4.067697e-05 -4.156490e-05 1.430470e-05 1.095728e-04
11410.554717 8.349747e-01 -2.864060e-03 1.758910e-03 5.368754e-02 4.256224e-05 -4.691418e-05 1.855899e-05 1.130059e-04
11415.554717 8.268396e-01 -2.862819e-03 1.760153e-03 5.342450e-02 4.403020e-05 -3.826876e-05 1.728066e-05 1.076322e-04
11420.554717 8.272434e-01 -2.862434e-03 1.715827e-03 5.360175e-02 4.234784e-05 -3.962319e-05 1.961447e-05 1.125776e-04
11425.554717 8.340398e-01 -2.870602e-03 1.723676e-03 5.401378e-02 4.049187e-05 -3.682104e-05 2.472908e-05 1.025749e-04
11430.554717 8.347590e-01 -2.880004e-03 1.741377e-03 5.420852e-02 4.203885e-05 -3.576373e-05 1.740785e-05 1.011660e-04
11435.554717 8.335413e-01 -2.873506e-03 1.715567e-03 5.427911e-02 4.470565e-05 -3.275986e-05 1.982648e-05 1.057747e-04
