# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271114
# UID: 760f52ba-c646-468f-82b9-0994540f072e
# Comment: 
# Start time: 10/18/2023  19:50:24
# Stop time: 10/18/2023  19:50:56
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.217643e-01 -1.425427e-03 8.874845e-04 2.732057e-02 1.827898e-05 -1.540905e-05 2.427924e-06 4.774845e-05
11385.425245 8.290674e-01 -2.811330e-03 1.777950e-03 5.394444e-02 4.276187e-05 -3.220128e-05 6.674514e-06 9.329874e-05
11390.425245 8.346080e-01 -2.828779e-03 1.795157e-03 5.387571e-02 4.667907e-05 -3.121454e-05 1.263718e-05 9.077459e-05
11395.425245 8.422664e-01 -2.833845e-03 1.791368e-03 5.434204e-02 4.492686e-05 -3.990527e-05 2.180024e-05 9.804053e-05
11400.425245 8.406979e-01 -2.835124e-03 1.808881e-03 5.450088e-02 3.368338e-05 -3.206868e-05 1.500206e-05 8.697988e-05
11405.425245 8.388470e-01 -2.827023e-03 1.776093e-03 5.430289e-02 2.793617e-05 -3.637530e-05 2.300459e-05 9.626869e-05
11410.425245 8.362711e-01 -2.825200e-03 1.826010e-03 5.468271e-02 3.276016e-05 -2.914537e-05 2.059993e-05 1.043588e-04
11415.425245 8.281372e-01 -2.815784e-03 1.821950e-03 5.438212e-02 3.632820e-05 -3.235765e-05 1.180708e-05 9.828321e-05
11420.425245 8.275688e-01 -2.831546e-03 1.776239e-03 5.436809e-02 3.439994e-05 -3.579729e-05 1.375359e-05 1.001511e-04
11425.425245 8.349904e-01 -2.842619e-03 1.761444e-03 5.503825e-02 3.406953e-05 -4.309515e-05 1.583819e-05 9.390400e-05
11430.425245 8.361878e-01 -2.839798e-03 1.804542e-03 5.495004e-02 3.295431e-05 -3.914530e-05 1.552012e-05 9.098508e-05
11435.425245 8.341207e-01 -2.834699e-03 1.749665e-03 5.485050e-02 3.254351e-05 -4.056302e-05 1.355111e-05 8.010082e-05
11440.425245 8.326405e-01 -2.845196e-03 1.801703e-03 5.503876e-02 2.959536e-05 -4.463761e-05 1.986418e-05 7.510299e-05
11445.425245 8.327553e-01 -2.843031e-03 1.791514e-03 5.508883e-02 2.880035e-05 -5.205066e-05 1.566267e-05 9.574424e-05
11450.425245 8.311813e-01 -2.840434e-03 1.756440e-03 5.517933e-02 3.346149e-05 -4.434691e-05 1.798245e-05 9.805168e-05
11455.425245 8.302766e-01 -2.834136e-03 1.744595e-03 5.517767e-02 3.478715e-05 -4.816760e-05 2.022091e-05 1.003571e-04
11460.425245 8.289959e-01 -2.845651e-03 1.775229e-03 5.520752e-02 4.361098e-05 -3.661583e-05 1.856559e-05 1.001140e-04
11465.425245 8.276692e-01 -2.842598e-03 1.794900e-03 5.546273e-02 3.872453e-05 -3.766247e-05 2.397354e-05 9.497032e-05
11470.425245 8.265227e-01 -2.845937e-03 1.799792e-03 5.538104e-02 3.867420e-05 -3.348923e-05 2.689485e-05 1.028933e-04
11475.425245 8.265239e-01 -2.836209e-03 1.807445e-03 5.570233e-02 2.442860e-05 -3.949668e-05 2.668386e-05 1.066950e-04
11480.425245 8.254829e-01 -2.842549e-03 1.809270e-03 5.566709e-02 1.269864e-05 -3.433767e-05 1.601745e-05 1.031632e-04
11485.425245 8.242977e-01 -2.852437e-03 1.786400e-03 5.555439e-02 1.636570e-05 -3.672813e-05 2.839407e-05 1.081791e-04
11490.425245 8.232072e-01 -2.842286e-03 1.748352e-03 5.560518e-02 3.122612e-05 -4.400011e-05 3.644747e-05 1.142604e-04
11495.425245 8.227767e-01 -2.840876e-03 1.753161e-03 5.597027e-02 3.613401e-05 -4.079237e-05 2.809269e-05 1.059741e-04
11500.425245 8.215034e-01 -2.830586e-03 1.799913e-03 5.598557e-02 3.170110e-05 -4.074842e-05 2.623662e-05 1.000908e-04
11505.425245 8.203014e-01 -2.828188e-03 1.795921e-03 5.658301e-02 2.522407e-05 -3.972565e-05 1.742407e-05 1.006819e-04
11510.425245 8.197853e-01 -2.833911e-03 1.769559e-03 5.647908e-02 3.071638e-05 -4.661863e-05 1.368329e-05 9.983875e-05
11515.425245 8.182147e-01 -2.843404e-03 1.797394e-03 5.653161e-02 3.060184e-05 -4.532779e-05 1.569610e-05 9.817565e-05
11520.425245 8.179817e-01 -2.837968e-03 1.800784e-03 5.678551e-02 3.423290e-05 -4.874112e-05 9.994498e-06 1.035153e-04
11525.425245 8.172295e-01 -2.848727e-03 1.791129e-03 5.694092e-02 2.595727e-05 -4.346939e-05 9.526280e-06 1.111889e-04
11530.425245 8.163065e-01 -2.858681e-03 1.797181e-03 5.713248e-02 2.816556e-05 -4.328850e-05 -2.891104e-06 1.103867e-04
11534.000000 8.156858e-01 -2.863186e-03 1.789787e-03 5.751187e-02 3.178445e-05 -4.504369e-05 -6.607645e-06 1.190718e-04
11535.000000 8.149126e-01 -2.853947e-03 1.784923e-03 5.751360e-02 3.290345e-05 -3.787493e-05 -6.341319e-06 1.150126e-04
11536.000000 8.146445e-01 -2.844200e-03 1.727964e-03 5.823680e-02 3.412316e-05 -3.357756e-05 -3.234363e-06 1.206155e-04
11537.000000 8.139569e-01 -2.838075e-03 1.834599e-03 5.735841e-02 3.472032e-05 -4.285382e-05 -1.739679e-05 1.148998e-04
11538.000000 8.157934e-01 -2.849714e-03 1.901661e-03 5.810260e-02 3.494920e-05 -4.301556e-05 -1.641020e-05 1.164685e-04
11539.000000 8.146564e-01 -2.839335e-03 1.827025e-03 5.809807e-02 3.903147e-05 -3.507802e-05 -5.181327e-06 1.177431e-04
11540.000000 8.145718e-01 -2.857050e-03 1.786762e-03 5.846649e-02 3.943140e-05 -2.391748e-05 -8.465786e-06 1.130722e-04
11541.000000 8.130247e-01 -2.847301e-03 1.874995e-03 5.793627e-02 4.123725e-05 -3.004673e-05 -1.352137e-05 1.198502e-04
11541.200000 8.178747e-01 -2.951369e-03 1.737733e-03 5.600187e-02 4.777339e-05 -3.461830e-05 -1.554938e-05 1.112019e-04
11541.400000 8.053748e-01 -2.851353e-03 1.702567e-03 5.756766e-02 3.127421e-05 -3.017163e-05 -1.496078e-05 1.108822e-04
11541.600000 8.154098e-01 -2.816003e-03 1.807393e-03 6.076355e-02 3.033357e-05 -4.014039e-05 -1.357784e-05 1.111565e-04
11541.800000 8.254957e-01 -2.989172e-03 1.799381e-03 5.809941e-02 3.915282e-05 -3.851617e-05 -3.297065e-06 1.040534e-04
11542.000000 7.885713e-01 -2.630445e-03 1.790503e-03 5.614138e-02 1.912231e-05 -2.742182e-05 1.296251e-06 9.704868e-05
11542.200000 8.265693e-01 -2.955890e-03 1.930424e-03 6.029307e-02 4.358467e-05 -2.799700e-05 -1.366362e-05 9.697865e-05
11542.400000 8.219707e-01 -2.839680e-03 1.735596e-03 6.019995e-02 3.339693e-05 -3.042888e-05 -5.758473e-06 1.011984e-04
11542.600000 8.100819e-01 -2.819212e-03 1.865809e-03 5.822471e-02 4.676431e-05 -2.077627e-05 -7.021853e-06 1.145288e-04
11542.800000 8.132373e-01 -2.862003e-03 1.835972e-03 5.844071e-02 4.583193e-05 -3.306034e-05 -3.048957e-05 1.110472e-04
11543.000000 8.198360e-01 -2.775911e-03 1.696275e-03 5.898243e-02 2.838237e-05 -3.439875e-05 -1.763373e-05 1.062118e-04
11543.200000 8.106621e-01 -2.904895e-03 1.832858e-03 5.919412e-02 4.001283e-05 -3.714847e-05 5.573775e-06 6.398853e-05
11543.400000 8.157109e-01 -2.725861e-03 2.045950e-03 5.940637e-02 2.977694e-05 -4.072149e-05 7.227280e-06 6.997880e-05
11543.600000 8.151586e-01 -2.898338e-03 1.791757e-03 5.983130e-02 3.857838e-05 -4.122736e-05 -9.410838e-06 7.026022e-05
11543.800000 8.162468e-01 -2.846979e-03 1.752317e-03 5.978560e-02 3.532542e-05 -3.895525e-05 -2.195006e-05 8.297091e-05
11544.000000 8.151150e-01 -2.808070e-03 1.876783e-03 5.890588e-02 3.170887e-05 -3.337949e-05 -1.968750e-05 1.085553e-04
11544.200000 8.159471e-01 -2.920556e-03 1.669497e-03 5.978340e-02 3.449282e-05 -5.166281e-05 -2.491897e-05 1.057086e-04
11544.400000 8.121862e-01 -2.792107e-03 1.593871e-03 5.782182e-02 1.878164e-05 -5.725381e-05 -9.494233e-06 9.626435e-05
11544.600000 8.115111e-01 -2.924372e-03 1.938208e-03 5.938984e-02 3.556908e-05 -5.550318e-05 -3.762742e-06 9.895595e-05
