# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271115
# UID: 1f40315d-c800-4618-9519-51946884d4d2
# Comment: 
# Start time: 10/18/2023  19:50:59
# Stop time: 10/18/2023  19:51:31
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.213528e-01 -1.428631e-03 8.780520e-04 2.736842e-02 2.341631e-05 -6.236123e-06 4.608080e-06 5.665123e-05
11385.596982 8.277763e-01 -2.826245e-03 1.733246e-03 5.406343e-02 4.527766e-05 -4.700263e-06 1.269742e-05 1.181988e-04
11390.596982 8.345522e-01 -2.829218e-03 1.772776e-03 5.407911e-02 5.183342e-05 -8.372336e-06 1.781357e-05 1.193925e-04
11395.596982 8.417272e-01 -2.820472e-03 1.787325e-03 5.430412e-02 4.838296e-05 -4.916670e-06 2.336524e-05 1.117305e-04
11400.596982 8.397715e-01 -2.826463e-03 1.735752e-03 5.444492e-02 4.212931e-05 -3.803610e-06 1.600367e-05 1.113812e-04
11405.596982 8.377734e-01 -2.836845e-03 1.767897e-03 5.471021e-02 4.663954e-05 -6.022557e-06 7.156058e-06 1.069312e-04
11410.596982 8.353315e-01 -2.857282e-03 1.758565e-03 5.477155e-02 5.024765e-05 -5.696943e-06 1.424248e-05 9.333487e-05
11415.596982 8.270820e-01 -2.846336e-03 1.789793e-03 5.462987e-02 4.469606e-05 -7.095798e-06 2.272017e-05 9.391995e-05
11420.596982 8.268039e-01 -2.849087e-03 1.802573e-03 5.440660e-02 4.418591e-05 2.925841e-06 1.595672e-05 9.002098e-05
11425.596982 8.347486e-01 -2.830777e-03 1.765702e-03 5.504494e-02 3.385225e-05 -1.434695e-06 1.884271e-05 9.022311e-05
11430.596982 8.352893e-01 -2.841077e-03 1.758566e-03 5.501692e-02 3.697984e-05 -8.385824e-06 2.771894e-05 8.822127e-05
11435.596982 8.332753e-01 -2.847851e-03 1.735857e-03 5.479332e-02 5.697972e-05 -4.878442e-06 2.522231e-05 1.033622e-04
11440.596982 8.323791e-01 -2.867080e-03 1.740355e-03 5.504761e-02 5.641528e-05 -5.110218e-06 1.779472e-05 9.847708e-05
11445.596982 8.311352e-01 -2.863469e-03 1.814858e-03 5.503755e-02 6.116863e-05 5.835996e-06 1.981423e-05 1.096336e-04
11450.596982 8.304419e-01 -2.861814e-03 1.753020e-03 5.507455e-02 6.216642e-05 2.536941e-06 1.642590e-05 1.155180e-04
11455.596982 8.292825e-01 -2.865223e-03 1.748551e-03 5.524268e-02 5.635376e-05 -3.386148e-06 2.187312e-05 1.194926e-04
11460.596982 8.285118e-01 -2.853868e-03 1.765450e-03 5.531575e-02 5.321108e-05 -7.845860e-06 1.585750e-05 1.108013e-04
11465.596982 8.269108e-01 -2.856984e-03 1.765421e-03 5.543870e-02 4.658221e-05 -1.906198e-05 1.638091e-05 1.192277e-04
11470.596982 8.257316e-01 -2.858297e-03 1.726197e-03 5.539727e-02 4.384204e-05 -1.658173e-05 2.056378e-05 1.125167e-04
11475.596982 8.252942e-01 -2.855977e-03 1.738980e-03 5.548943e-02 4.474744e-05 -1.025313e-05 1.707284e-05 1.084513e-04
11480.596982 8.245645e-01 -2.847259e-03 1.760089e-03 5.556617e-02 3.423692e-05 -1.118878e-05 1.682604e-06 9.856686e-05
11485.596982 8.240207e-01 -2.844869e-03 1.754653e-03 5.551895e-02 4.617541e-05 -9.849828e-06 1.444558e-06 9.804207e-05
11490.596982 8.225080e-01 -2.848323e-03 1.749016e-03 5.576644e-02 5.288993e-05 -1.005935e-05 3.149916e-06 9.810872e-05
11495.596982 8.217273e-01 -2.852872e-03 1.724433e-03 5.584890e-02 3.735919e-05 -2.042843e-05 5.586274e-06 1.018907e-04
11500.596982 8.209009e-01 -2.851074e-03 1.748350e-03 5.622410e-02 4.269688e-05 -1.747522e-05 4.835498e-06 9.987162e-05
11505.596982 8.197426e-01 -2.863395e-03 1.758548e-03 5.655536e-02 4.002279e-05 -2.037069e-05 1.659150e-06 1.054869e-04
11510.596982 8.183289e-01 -2.860305e-03 1.769010e-03 5.686095e-02 5.229542e-05 -1.619002e-05 1.483467e-06 1.072289e-04
