# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271120
# UID: 1917342f-5317-45c9-b79e-d1b75613e5d4
# Comment: 
# Start time: 10/18/2023  19:53:56
# Stop time: 10/18/2023  19:54:27
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.196817e-01 -1.424738e-03 8.938042e-04 2.745229e-02 2.081796e-05 -1.041891e-05 1.018254e-05 6.208356e-05
11385.596982 8.246786e-01 -2.818478e-03 1.762946e-03 5.414143e-02 4.614294e-05 -1.688645e-05 1.574221e-05 1.239477e-04
11390.596982 8.313140e-01 -2.840533e-03 1.778573e-03 5.442671e-02 4.311939e-05 -2.072540e-05 1.677117e-05 1.185092e-04
11395.596982 8.379877e-01 -2.840364e-03 1.790290e-03 5.466220e-02 4.536544e-05 -2.355431e-05 1.172929e-05 1.075447e-04
11400.596982 8.366317e-01 -2.837750e-03 1.805990e-03 5.446369e-02 4.040314e-05 -1.243974e-05 1.663752e-05 1.139398e-04
11405.596982 8.349966e-01 -2.846748e-03 1.769812e-03 5.461591e-02 4.806775e-05 -1.799595e-05 2.178099e-05 1.184461e-04
11410.596982 8.319838e-01 -2.851192e-03 1.768340e-03 5.466914e-02 5.102468e-05 -1.119148e-05 2.360012e-05 1.213796e-04
11415.596982 8.235464e-01 -2.853343e-03 1.783575e-03 5.459050e-02 5.633752e-05 2.204378e-06 2.294424e-05 1.140914e-04
11420.596982 8.233083e-01 -2.840196e-03 1.762323e-03 5.445372e-02 5.786323e-05 -1.920620e-05 2.129120e-05 1.132264e-04
11425.596982 8.312674e-01 -2.842046e-03 1.782061e-03 5.515546e-02 4.992256e-05 -2.502656e-05 2.247432e-05 1.096047e-04
11430.596982 8.326368e-01 -2.848263e-03 1.778842e-03 5.515834e-02 5.811499e-05 -2.393122e-05 2.309531e-05 1.117892e-04
11435.596982 8.310046e-01 -2.843828e-03 1.789113e-03 5.540402e-02 5.104485e-05 -2.305932e-05 1.522498e-05 1.197631e-04
11440.596982 8.294468e-01 -2.848567e-03 1.774404e-03 5.508582e-02 4.324878e-05 -1.663845e-05 1.660768e-05 1.182793e-04
11445.596982 8.279660e-01 -2.849607e-03 1.784404e-03 5.534735e-02 5.563083e-05 -1.563005e-05 1.244490e-05 1.132681e-04
11450.596982 8.266386e-01 -2.854630e-03 1.779229e-03 5.542383e-02 5.083782e-05 -2.178845e-05 2.809813e-05 1.076264e-04
11455.596982 8.258276e-01 -2.856020e-03 1.783122e-03 5.538062e-02 4.641474e-05 -9.075959e-06 2.916870e-05 1.058869e-04
11460.596982 8.253520e-01 -2.839532e-03 1.836462e-03 5.539879e-02 4.996275e-05 -1.025123e-05 1.902572e-05 1.040718e-04
11465.596982 8.241246e-01 -2.850890e-03 1.801600e-03 5.555250e-02 4.636899e-05 -1.443551e-05 3.083260e-05 1.062447e-04
11470.596982 8.236804e-01 -2.855189e-03 1.751975e-03 5.578997e-02 5.595380e-05 -1.002661e-05 3.073108e-05 9.795994e-05
11475.596982 8.225648e-01 -2.858401e-03 1.782695e-03 5.575176e-02 5.469317e-05 -9.016685e-06 1.906195e-05 1.043474e-04
11480.596982 8.210726e-01 -2.861111e-03 1.767479e-03 5.562034e-02 5.594631e-05 -8.851522e-06 2.946005e-05 1.094331e-04
11485.596982 8.201154e-01 -2.862471e-03 1.827370e-03 5.567405e-02 5.319679e-05 -1.332541e-05 3.199594e-05 1.188072e-04
11490.596982 8.191844e-01 -2.867751e-03 1.760482e-03 5.601940e-02 5.047113e-05 -1.743694e-05 2.539126e-05 1.109456e-04
11495.596982 8.183173e-01 -2.858413e-03 1.765265e-03 5.622774e-02 3.694519e-05 -1.022330e-05 2.867980e-05 1.088857e-04
11500.596982 8.175709e-01 -2.859002e-03 1.767817e-03 5.629072e-02 4.072008e-05 -1.001500e-05 2.973634e-05 1.057271e-04
11505.596982 8.167994e-01 -2.849516e-03 1.773977e-03 5.668739e-02 4.515706e-05 -7.992110e-06 2.106612e-05 1.051342e-04
11510.596982 8.159836e-01 -2.839176e-03 1.740490e-03 5.693954e-02 4.713087e-05 -9.968895e-06 2.463602e-05 1.137765e-04
11515.596982 8.150034e-01 -2.848890e-03 1.740830e-03 5.686734e-02 4.329889e-05 -7.855205e-06 2.045555e-05 1.172551e-04
11520.596982 8.139795e-01 -2.847149e-03 1.757110e-03 5.698963e-02 4.093077e-05 -1.005919e-05 2.262179e-05 1.071481e-04
11525.596982 8.133420e-01 -2.834657e-03 1.772754e-03 5.733454e-02 4.180555e-05 -1.249605e-05 2.459252e-05 1.100226e-04
11530.596982 8.124498e-01 -2.841795e-03 1.739090e-03 5.749359e-02 4.600577e-05 -1.546030e-05 2.515747e-05 1.010080e-04
11534.000000 8.119974e-01 -2.838004e-03 1.701410e-03 5.770073e-02 4.602330e-05 -1.647042e-05 3.282638e-05 1.000217e-04
11535.000000 8.127777e-01 -2.853641e-03 1.744791e-03 5.723427e-02 4.148502e-05 -2.359040e-05 3.546942e-05 9.792711e-05
11536.000000 8.109506e-01 -2.857459e-03 1.767414e-03 5.779766e-02 4.737976e-05 -2.363826e-05 2.415893e-05 1.023635e-04
11537.000000 8.114224e-01 -2.832138e-03 1.720963e-03 5.792516e-02 5.390417e-05 -2.462148e-05 2.319947e-05 1.135823e-04
11538.000000 8.118900e-01 -2.850391e-03 1.715436e-03 5.880606e-02 6.213322e-05 -1.193686e-05 1.099174e-05 1.171259e-04
11539.000000 8.115898e-01 -2.834467e-03 1.812529e-03 5.843645e-02 5.816644e-05 -1.826478e-05 1.634802e-05 1.083461e-04
11540.000000 8.110904e-01 -2.870560e-03 1.887213e-03 5.869937e-02 4.930819e-05 -2.490102e-05 2.992023e-05 1.147698e-04
11541.000000 8.090883e-01 -2.865171e-03 1.790379e-03 5.783131e-02 4.794116e-05 -2.552563e-05 1.290152e-05 9.958481e-05
11541.200000 8.123858e-01 -2.959739e-03 1.842638e-03 5.998441e-02 5.807038e-05 -1.754898e-05 2.985491e-06 1.013774e-04
11541.400000 8.096911e-01 -2.750068e-03 1.823288e-03 5.707125e-02 5.769113e-05 -2.095834e-05 -1.086358e-06 9.538907e-05
11541.600000 8.128980e-01 -2.862392e-03 1.501958e-03 6.042819e-02 3.896584e-05 -1.343397e-05 1.099549e-05 1.102457e-04
11541.800000 8.070850e-01 -2.779991e-03 1.877313e-03 5.940644e-02 4.317091e-05 -1.042051e-05 5.100754e-06 1.154386e-04
11542.000000 8.127076e-01 -2.740721e-03 1.967729e-03 5.763735e-02 4.369330e-05 -1.938631e-05 1.217460e-05 1.041677e-04
11542.200000 8.125856e-01 -2.896470e-03 1.774245e-03 5.932526e-02 5.927753e-05 -1.837760e-05 6.501131e-06 1.070243e-04
11542.400000 8.144425e-01 -2.769495e-03 1.581166e-03 5.996022e-02 4.231473e-05 -1.612587e-05 7.599539e-06 1.083139e-04
11542.600000 8.083403e-01 -2.890172e-03 1.837041e-03 5.890801e-02 5.713495e-05 -1.132122e-05 -3.124172e-06 1.087051e-04
11542.800000 8.113963e-01 -2.813529e-03 1.506524e-03 5.882755e-02 4.676307e-05 -9.970428e-06 4.744684e-06 1.015236e-04
11543.000000 8.096502e-01 -2.834418e-03 1.705158e-03 5.859741e-02 4.755367e-05 -5.882954e-06 2.754367e-05 1.131373e-04
11543.200000 8.110702e-01 -2.914803e-03 1.728654e-03 5.914443e-02 5.254642e-05 -1.187025e-05 2.735755e-05 1.157486e-04
