# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271121
# UID: 6ecf91ad-6048-46fd-9093-9e13c2e0d5d7
# Comment: 
# Start time: 10/18/2023  19:54:31
# Stop time: 10/18/2023  19:55:02
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.190445e-01 -1.420283e-03 8.951131e-04 2.738438e-02 6.004794e-06 -7.510858e-06 5.674211e-06 4.941830e-05
11385.468179 8.237334e-01 -2.822653e-03 1.735674e-03 5.400199e-02 1.977296e-05 -2.066795e-05 4.412162e-06 9.510831e-05
11390.468179 8.295913e-01 -2.835626e-03 1.776404e-03 5.417265e-02 2.380896e-05 -1.492168e-05 1.728303e-05 9.232795e-05
11395.468179 8.374749e-01 -2.847347e-03 1.782189e-03 5.456899e-02 2.908530e-05 -1.401260e-05 9.766217e-06 9.157729e-05
11400.468179 8.356492e-01 -2.855588e-03 1.778186e-03 5.455381e-02 2.696522e-05 -2.570585e-05 2.192062e-05 8.879379e-05
11405.468179 8.336302e-01 -2.857058e-03 1.807948e-03 5.444141e-02 2.201222e-05 -2.844948e-05 1.276566e-05 8.424870e-05
11410.468179 8.303510e-01 -2.854920e-03 1.741942e-03 5.476270e-02 1.790273e-05 -3.664465e-05 1.345239e-05 8.740964e-05
11415.468179 8.222115e-01 -2.856213e-03 1.787630e-03 5.458539e-02 3.340816e-05 -2.648978e-05 9.704465e-06 9.064382e-05
11420.468179 8.222152e-01 -2.855702e-03 1.800286e-03 5.468419e-02 2.481744e-05 -2.200951e-05 -2.053221e-06 9.534948e-05
11425.468179 8.302432e-01 -2.857065e-03 1.769280e-03 5.512530e-02 2.360512e-05 -1.731609e-05 4.809116e-07 9.006903e-05
11430.468179 8.313997e-01 -2.860734e-03 1.760036e-03 5.520700e-02 2.175880e-05 -1.406994e-05 -4.775752e-06 9.537847e-05
11435.468179 8.294342e-01 -2.851603e-03 1.815401e-03 5.509447e-02 2.462866e-05 -2.408169e-05 -1.567912e-05 1.040129e-04
11440.468179 8.280385e-01 -2.859009e-03 1.798920e-03 5.506198e-02 3.818016e-05 -3.321313e-05 -1.351741e-05 1.062870e-04
11445.468179 8.269084e-01 -2.841068e-03 1.769274e-03 5.516447e-02 3.802201e-05 -2.985106e-05 -2.735370e-06 1.020689e-04
11450.468179 8.254512e-01 -2.863342e-03 1.771755e-03 5.515006e-02 4.074631e-05 -1.722912e-05 1.041730e-05 1.033755e-04
11455.468179 8.242131e-01 -2.856350e-03 1.787860e-03 5.532476e-02 2.885506e-05 -2.040452e-05 6.224409e-06 9.356839e-05
11460.468179 8.236182e-01 -2.851462e-03 1.746344e-03 5.516749e-02 3.459584e-05 -2.433003e-05 2.262103e-06 9.744278e-05
11465.468179 8.233999e-01 -2.852122e-03 1.763708e-03 5.523776e-02 3.688365e-05 -2.756404e-05 -3.527994e-06 9.219972e-05
11470.468179 8.225267e-01 -2.845061e-03 1.758597e-03 5.576070e-02 4.250649e-05 -2.345952e-05 -1.248273e-05 8.335831e-05
11475.468179 8.211267e-01 -2.837657e-03 1.778768e-03 5.574617e-02 3.559174e-05 -3.086944e-05 -4.266788e-06 8.500485e-05
11480.468179 8.200271e-01 -2.834690e-03 1.807426e-03 5.586445e-02 3.572750e-05 -2.151682e-05 1.766700e-06 7.903790e-05
11485.468179 8.190852e-01 -2.845832e-03 1.790570e-03 5.577692e-02 3.587662e-05 -2.084387e-05 -6.111849e-07 8.316325e-05
11490.468179 8.176080e-01 -2.834216e-03 1.830218e-03 5.575484e-02 3.195871e-05 -2.827214e-05 -6.424163e-06 9.236677e-05
11495.468179 8.169476e-01 -2.830432e-03 1.772949e-03 5.598572e-02 3.596545e-05 -3.026054e-05 1.707230e-06 9.508792e-05
