# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271104
# UID: 4138e7db-c3ad-4c7c-a852-e49755c4a098
# Comment: 
# Start time: 10/18/2023  19:44:08
# Stop time: 10/18/2023  19:44:42
# Total time: 00:33
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.189918e-01 9.427410e-03 1.460306e-02 2.645835e-02 2.214316e-05 -1.360232e-05 2.044568e-05 4.965781e-05
11385.596982 8.230364e-01 1.860009e-02 2.885616e-02 5.223507e-02 3.807169e-05 -2.231343e-05 3.589379e-05 9.548860e-05
11390.596982 8.294848e-01 1.915627e-02 2.962876e-02 5.253636e-02 2.944166e-05 -1.157745e-05 3.775673e-05 1.028917e-04
11395.596982 8.368430e-01 1.944731e-02 3.012845e-02 5.294428e-02 3.213623e-05 -2.430946e-05 4.093075e-05 9.796009e-05
11400.596982 8.356566e-01 1.960473e-02 3.038449e-02 5.293564e-02 4.258667e-05 -2.961820e-05 4.213183e-05 1.009096e-04
11405.596982 8.330931e-01 1.977513e-02 3.061314e-02 5.297346e-02 2.890712e-05 -3.183965e-05 3.678854e-05 1.090831e-04
11410.596982 8.303279e-01 1.981425e-02 3.071606e-02 5.287534e-02 2.308698e-05 -2.228466e-05 3.615684e-05 1.026579e-04
11415.596982 8.224261e-01 1.966996e-02 3.061366e-02 5.285711e-02 2.698273e-05 -2.386331e-05 3.847284e-05 1.039986e-04
11420.596982 8.225636e-01 1.980257e-02 3.088671e-02 5.414517e-02 3.344773e-05 -2.735693e-05 3.823112e-05 1.083999e-04
11425.596982 8.297336e-01 2.029978e-02 3.155329e-02 5.447795e-02 3.036362e-05 -2.935154e-05 3.691308e-05 1.104431e-04
