# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271105
# UID: 6670c5dc-275f-4aec-b8b9-85e7ea064999
# Comment: 
# Start time: 10/18/2023  19:44:45
# Stop time: 10/18/2023  19:45:17
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.426661 4.205452e-01 9.479426e-03 1.462479e-02 2.661782e-02 6.956995e-06 -6.569777e-06 1.447412e-05 4.843436e-05
11385.426661 8.261367e-01 1.866793e-02 2.893667e-02 5.255728e-02 1.160591e-05 -1.590496e-05 2.387788e-05 9.480058e-05
11390.426661 8.323924e-01 1.922626e-02 2.974953e-02 5.305052e-02 2.437862e-05 -1.441376e-05 2.097504e-05 1.059856e-04
11395.426661 8.400022e-01 1.955183e-02 3.023274e-02 5.339826e-02 1.990304e-05 -2.920593e-06 2.318549e-05 1.049801e-04
11400.426661 8.382563e-01 1.967788e-02 3.045372e-02 5.330218e-02 2.368356e-05 -1.512219e-05 1.841372e-05 1.123551e-04
11405.426661 8.360496e-01 1.985892e-02 3.074854e-02 5.322981e-02 1.679208e-05 -1.750775e-05 1.263888e-05 1.162785e-04
11410.426661 8.337612e-01 1.991230e-02 3.093152e-02 5.324624e-02 3.169493e-05 -1.978466e-05 4.843647e-06 1.132591e-04
11415.426661 8.252441e-01 1.976178e-02 3.075755e-02 5.311182e-02 3.461784e-05 -2.013828e-05 9.192957e-06 1.101172e-04
11420.426661 8.247919e-01 1.988481e-02 3.094219e-02 5.431228e-02 4.156657e-05 -1.085757e-05 1.429883e-05 1.095753e-04
11425.426661 8.323491e-01 2.038761e-02 3.170746e-02 5.462984e-02 5.117520e-05 -1.464452e-05 2.204126e-05 1.071387e-04
11430.426661 8.335383e-01 2.063926e-02 3.212101e-02 5.427425e-02 4.806876e-05 -1.772077e-05 1.495676e-05 1.023338e-04
11435.426661 8.320290e-01 2.078616e-02 3.238354e-02 5.378514e-02 5.226551e-05 -2.398182e-05 1.306702e-05 1.161352e-04
11440.426661 8.307595e-01 2.086085e-02 3.253769e-02 5.380677e-02 5.236765e-05 -2.431556e-05 1.416953e-05 1.092786e-04
11445.426661 8.292447e-01 2.087575e-02 3.261496e-02 5.356147e-02 5.208093e-05 -2.325947e-05 2.070364e-05 1.095440e-04
11450.426661 8.290439e-01 2.101882e-02 3.291883e-02 5.418260e-02 4.921999e-05 -2.457589e-05 1.102300e-05 1.068587e-04
11455.426661 8.276332e-01 2.104972e-02 3.306982e-02 5.428066e-02 4.026788e-05 -1.030103e-05 1.141501e-05 1.064280e-04
11460.426661 8.258012e-01 2.122312e-02 3.334006e-02 5.395537e-02 3.500910e-05 -8.284713e-06 1.168488e-05 1.021535e-04
11465.426661 8.245993e-01 2.151000e-02 3.376319e-02 5.376591e-02 4.101087e-05 -1.534570e-05 1.103504e-05 1.036514e-04
11470.426661 8.246918e-01 2.163530e-02 3.398867e-02 5.402357e-02 4.208552e-05 -2.591751e-05 1.496320e-05 1.090585e-04
11475.426661 8.238469e-01 2.147797e-02 3.386040e-02 5.431839e-02 4.177873e-05 -1.735581e-05 3.031824e-05 1.033438e-04
11480.426661 8.226743e-01 2.140383e-02 3.381745e-02 5.431689e-02 3.549146e-05 -1.279290e-05 3.914218e-05 1.125136e-04
11485.426661 8.217825e-01 2.205180e-02 3.478194e-02 5.397938e-02 3.896567e-05 -1.242146e-05 3.681358e-05 1.110603e-04
11490.426661 8.206342e-01 2.229876e-02 3.517036e-02 5.424787e-02 3.126163e-05 -1.895553e-05 3.142381e-05 1.075811e-04
11495.426661 8.197496e-01 2.248952e-02 3.545220e-02 5.439866e-02 4.068118e-05 -1.320408e-05 2.288430e-05 1.048986e-04
11500.426661 8.192693e-01 2.263806e-02 3.572420e-02 5.464638e-02 3.854218e-05 -4.409344e-06 2.029748e-05 1.039697e-04
11505.426661 8.180279e-01 2.275322e-02 3.590358e-02 5.511253e-02 3.589956e-05 -1.329189e-05 1.424276e-05 9.399624e-05
11510.426661 8.164972e-01 2.288126e-02 3.606266e-02 5.529804e-02 3.683984e-05 -1.808854e-05 2.973001e-05 1.016369e-04
11515.426661 8.160607e-01 2.306243e-02 3.634708e-02 5.512463e-02 3.415294e-05 -1.142712e-05 2.720015e-05 1.101717e-04
11520.426661 8.156813e-01 2.324878e-02 3.660687e-02 5.517228e-02 3.289038e-05 -1.023238e-05 2.505461e-05 1.013337e-04
11525.426661 8.143584e-01 2.336670e-02 3.665444e-02 5.526669e-02 4.926603e-05 -3.423370e-06 2.474623e-05 1.048455e-04
11530.426661 8.136606e-01 2.341748e-02 3.661487e-02 5.580517e-02 4.952885e-05 1.205482e-05 2.529728e-05 1.042136e-04
11534.000000 8.129145e-01 2.348995e-02 3.660768e-02 5.607592e-02 5.380470e-05 -1.119732e-06 2.019572e-05 9.876491e-05
11535.000000 8.125262e-01 2.350180e-02 3.652445e-02 5.589801e-02 5.508075e-05 -1.244624e-05 1.445995e-05 1.017217e-04
11536.000000 8.118797e-01 2.350135e-02 3.656583e-02 5.586826e-02 4.457991e-05 -1.120863e-05 2.396670e-05 1.024769e-04
11537.000000 8.129517e-01 2.359863e-02 3.657124e-02 5.605327e-02 4.395654e-05 3.055394e-06 7.245057e-06 8.219831e-05
