# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271107
# UID: c341ea48-90c8-473f-8f8d-2750c8b87479
# Comment: 
# Start time: 10/18/2023  19:45:55
# Stop time: 10/18/2023  19:46:27
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.203686e-01 9.455962e-03 1.463961e-02 2.676362e-02 2.832597e-05 -2.060968e-05 7.542599e-06 6.049349e-05
11385.468179 8.262438e-01 1.866716e-02 2.892845e-02 5.278420e-02 6.023857e-05 -4.970720e-05 2.137828e-05 1.103613e-04
11390.468179 8.320170e-01 1.922286e-02 2.976095e-02 5.321390e-02 4.420155e-05 -5.192378e-05 2.829244e-05 1.191118e-04
11395.468179 8.394070e-01 1.952449e-02 3.018440e-02 5.359119e-02 3.621953e-05 -4.571173e-05 1.214161e-05 1.317362e-04
11400.468179 8.373325e-01 1.963070e-02 3.042393e-02 5.351898e-02 4.620487e-05 -3.052737e-05 1.585533e-05 1.242600e-04
11405.468179 8.359195e-01 1.982424e-02 3.077649e-02 5.347144e-02 3.899763e-05 -2.842668e-05 1.136974e-05 1.264567e-04
11410.468179 8.331756e-01 1.986517e-02 3.089403e-02 5.333972e-02 2.808162e-05 -2.721009e-05 1.418356e-05 1.326037e-04
11415.468179 8.252868e-01 1.973450e-02 3.074229e-02 5.326750e-02 3.903420e-05 -2.118654e-05 1.128641e-05 1.323098e-04
11420.468179 8.252671e-01 1.987548e-02 3.098325e-02 5.443784e-02 4.287221e-05 -1.917323e-05 1.701766e-05 1.182955e-04
11425.468179 8.324878e-01 2.038897e-02 3.170185e-02 5.511023e-02 4.630450e-05 -2.288953e-05 2.203022e-05 1.214201e-04
11430.468179 8.336041e-01 2.062865e-02 3.213009e-02 5.442561e-02 4.878303e-05 -1.775893e-05 2.622515e-05 1.163681e-04
11435.468179 8.319875e-01 2.075158e-02 3.238730e-02 5.390287e-02 3.216608e-05 -1.503080e-05 3.114157e-05 1.093896e-04
11440.468179 8.303288e-01 2.082672e-02 3.257814e-02 5.359701e-02 2.840078e-05 -1.379645e-05 3.172464e-05 1.188103e-04
11445.468179 8.297565e-01 2.085168e-02 3.272214e-02 5.407802e-02 3.190484e-05 -1.770695e-05 2.175133e-05 1.090262e-04
11450.468179 8.285888e-01 2.097850e-02 3.293180e-02 5.440464e-02 3.475817e-05 -2.328804e-05 1.970682e-05 1.091011e-04
11455.468179 8.269182e-01 2.102201e-02 3.301699e-02 5.459180e-02 4.564216e-05 -2.101241e-05 1.136987e-05 1.032036e-04
11460.468179 8.256054e-01 2.119827e-02 3.334374e-02 5.419189e-02 4.910313e-05 -1.215774e-05 1.179302e-06 1.077584e-04
11465.468179 8.243739e-01 2.149445e-02 3.380251e-02 5.392853e-02 3.584710e-05 -1.736104e-05 -3.825251e-06 1.050850e-04
11470.468179 8.239731e-01 2.160416e-02 3.403892e-02 5.427887e-02 2.945502e-05 -1.498554e-05 -5.195163e-06 1.074906e-04
11475.468179 8.230958e-01 2.143576e-02 3.389322e-02 5.394384e-02 2.767984e-05 -2.737187e-05 3.958789e-06 1.112429e-04
11480.468179 8.224610e-01 2.136596e-02 3.385165e-02 5.428563e-02 2.337984e-05 -2.862971e-05 5.298548e-06 1.059136e-04
11485.468179 8.216300e-01 2.201178e-02 3.479701e-02 5.419258e-02 3.324088e-05 -3.828769e-05 2.902649e-06 1.066955e-04
11490.468179 8.207185e-01 2.227859e-02 3.514365e-02 5.435520e-02 4.519967e-05 -3.586765e-05 5.591351e-06 1.063341e-04
11495.468179 8.195514e-01 2.246260e-02 3.546777e-02 5.448508e-02 4.205558e-05 -5.005786e-05 -8.511801e-07 1.092171e-04
11500.468179 8.184724e-01 2.259146e-02 3.570199e-02 5.484748e-02 3.795083e-05 -5.667560e-05 3.748591e-07 9.940730e-05
11505.468179 8.171880e-01 2.271142e-02 3.590330e-02 5.513774e-02 3.948990e-05 -3.672150e-05 -1.204366e-06 1.047996e-04
11510.468179 8.160854e-01 2.284435e-02 3.607410e-02 5.552829e-02 3.729718e-05 -2.798137e-05 -4.357273e-06 1.062278e-04
11515.468179 8.158253e-01 2.304428e-02 3.632602e-02 5.546838e-02 4.050706e-05 -2.851854e-05 2.156110e-06 1.057908e-04
11520.468179 8.157345e-01 2.323841e-02 3.657704e-02 5.572042e-02 4.059227e-05 -2.238983e-05 -5.388428e-06 1.095166e-04
11525.468179 8.145345e-01 2.333605e-02 3.673262e-02 5.564584e-02 3.884100e-05 -2.140810e-05 -7.243519e-06 1.104855e-04
11530.468179 8.134937e-01 2.338607e-02 3.663514e-02 5.607292e-02 4.132748e-05 -3.220024e-05 3.003287e-06 1.071601e-04
11534.000000 8.128096e-01 2.344058e-02 3.661158e-02 5.669552e-02 4.501960e-05 -3.171881e-05 -4.570527e-06 1.082574e-04
11535.000000 8.123874e-01 2.344056e-02 3.655438e-02 5.607986e-02 5.166995e-05 -3.842252e-05 -1.106754e-05 1.152389e-04
11536.000000 8.124600e-01 2.349892e-02 3.669181e-02 5.653723e-02 4.637844e-05 -3.618289e-05 -1.359745e-05 1.130046e-04
11537.000000 8.112890e-01 2.352613e-02 3.656569e-02 5.643535e-02 3.962731e-05 -3.776053e-05 -3.580113e-06 1.159267e-04
11538.000000 8.116491e-01 2.355880e-02 3.654638e-02 5.673144e-02 3.592040e-05 -3.636588e-05 2.230182e-06 1.144019e-04
11539.000000 8.123338e-01 2.359340e-02 3.650971e-02 5.698708e-02 4.076062e-05 -2.730701e-05 -3.986586e-06 1.064659e-04
11540.000000 8.128710e-01 2.366346e-02 3.650699e-02 5.762584e-02 4.288885e-05 -2.270443e-05 1.942831e-07 1.166288e-04
11541.000000 8.116715e-01 2.372488e-02 3.658669e-02 5.761610e-02 3.051326e-05 -2.941549e-05 9.725479e-07 1.013935e-04
11541.200000 8.116480e-01 2.386401e-02 3.676881e-02 5.684016e-02 2.407722e-05 -2.826927e-05 4.928192e-06 1.004558e-04
11541.400000 8.130465e-01 2.380070e-02 3.644033e-02 5.915133e-02 3.762402e-05 -2.827616e-05 6.777078e-07 1.019511e-04
11541.600000 8.117234e-01 2.365033e-02 3.649589e-02 5.498957e-02 4.544201e-05 -2.876172e-05 1.196411e-05 1.089845e-04
11541.800000 8.081363e-01 2.376931e-02 3.615789e-02 5.627837e-02 3.421488e-05 -2.465643e-05 2.432646e-05 1.013086e-04
11542.000000 8.132381e-01 2.366706e-02 3.643569e-02 5.802998e-02 4.569025e-05 -3.807443e-05 1.351379e-05 9.372894e-05
11542.200000 8.154386e-01 2.385028e-02 3.641220e-02 5.786438e-02 4.517501e-05 -2.903756e-05 1.354840e-05 9.564955e-05
11542.400000 7.941912e-01 2.320095e-02 3.558387e-02 5.676363e-02 4.726747e-05 -2.651635e-05 1.384244e-05 1.050355e-04
