# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271110
# UID: 7ef6c50f-5ef5-4e67-b302-7e74cb1954a4
# Comment: 
# Start time: 10/18/2023  19:47:40
# Stop time: 10/18/2023  19:48:12
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.214395e-01 9.510412e-03 1.469745e-02 2.696503e-02 1.335018e-05 -2.271169e-05 8.900648e-06 4.589844e-05
11385.596982 8.281136e-01 1.874655e-02 2.902733e-02 5.331274e-02 2.893748e-05 -4.680812e-05 2.603232e-05 9.594206e-05
11390.596982 8.352398e-01 1.929960e-02 2.986198e-02 5.367184e-02 2.782701e-05 -4.556910e-05 2.170375e-05 9.691492e-05
11395.596982 8.420163e-01 1.958924e-02 3.033138e-02 5.402637e-02 3.218980e-05 -5.790554e-05 1.974190e-05 1.022617e-04
11400.596982 8.401165e-01 1.971783e-02 3.051628e-02 5.388634e-02 1.995493e-05 -5.835269e-05 1.496705e-05 9.778865e-05
11405.596982 8.381287e-01 1.990359e-02 3.080346e-02 5.396472e-02 1.762396e-05 -6.034182e-05 1.030573e-05 9.712821e-05
11410.596982 8.351833e-01 1.994772e-02 3.091636e-02 5.408805e-02 2.136828e-05 -5.494806e-05 1.246211e-05 1.051181e-04
11415.596982 8.268920e-01 1.978541e-02 3.079346e-02 5.390111e-02 3.229416e-05 -4.013268e-05 1.785249e-05 1.108175e-04
11420.596982 8.268936e-01 1.992197e-02 3.106824e-02 5.505870e-02 2.713105e-05 -3.780825e-05 1.725616e-05 1.004023e-04
11425.596982 8.345794e-01 2.043414e-02 3.176923e-02 5.544685e-02 2.987884e-05 -4.125159e-05 1.514604e-05 1.075631e-04
11430.596982 8.354000e-01 2.067245e-02 3.218852e-02 5.496431e-02 3.366665e-05 -4.593061e-05 6.905649e-06 9.453703e-05
11435.596982 8.336807e-01 2.082086e-02 3.237925e-02 5.459231e-02 2.522787e-05 -3.688963e-05 8.054733e-06 8.970733e-05
11440.596982 8.328712e-01 2.092059e-02 3.259918e-02 5.444965e-02 3.018773e-05 -3.751334e-05 6.781388e-06 1.021082e-04
11445.596982 8.319333e-01 2.095252e-02 3.268910e-02 5.457503e-02 3.370987e-05 -3.642303e-05 -7.368076e-06 9.522892e-05
11450.596982 8.305702e-01 2.105952e-02 3.290881e-02 5.488226e-02 3.480523e-05 -4.353700e-05 -4.482042e-06 1.019367e-04
11455.596982 8.294786e-01 2.110926e-02 3.309906e-02 5.457544e-02 4.608538e-05 -3.523043e-05 -1.031700e-05 9.409152e-05
11460.596982 8.284896e-01 2.129090e-02 3.341400e-02 5.447977e-02 3.913330e-05 -3.307287e-05 2.640531e-06 1.077734e-04
11465.596982 8.276686e-01 2.158155e-02 3.383973e-02 5.472563e-02 4.035881e-05 -3.447141e-05 4.200978e-06 1.014590e-04
11470.596982 8.268329e-01 2.166798e-02 3.405849e-02 5.469354e-02 3.693903e-05 -3.740111e-05 -1.485946e-06 1.016876e-04
11475.596982 8.256125e-01 2.148650e-02 3.386055e-02 5.473129e-02 3.595124e-05 -3.341871e-05 3.575919e-06 1.000347e-04
11480.596982 8.247356e-01 2.145405e-02 3.391840e-02 5.490407e-02 3.779315e-05 -3.902043e-05 -7.211638e-06 1.084085e-04
11485.596982 8.239068e-01 2.209894e-02 3.478661e-02 5.509509e-02 3.677591e-05 -3.372502e-05 -9.800534e-06 1.199436e-04
11490.596982 8.227069e-01 2.234732e-02 3.516345e-02 5.508418e-02 3.965897e-05 -3.710301e-05 -3.696759e-06 1.069484e-04
11495.596982 8.220326e-01 2.255374e-02 3.552778e-02 5.502649e-02 3.485471e-05 -3.419984e-05 -7.244279e-06 1.089580e-04
11500.596982 8.212203e-01 2.269957e-02 3.572526e-02 5.524400e-02 3.860302e-05 -4.433566e-05 -1.006682e-05 9.992019e-05
11505.596982 8.200146e-01 2.283162e-02 3.595609e-02 5.573306e-02 3.294587e-05 -3.880886e-05 -7.805739e-06 9.881453e-05
11510.596982 8.190852e-01 2.295661e-02 3.616282e-02 5.619086e-02 3.684554e-05 -2.873672e-05 -1.391069e-05 1.041852e-04
11515.596982 8.181278e-01 2.311442e-02 3.633632e-02 5.587193e-02 4.240672e-05 -4.017968e-05 -1.420134e-05 1.086254e-04
11520.596982 8.172158e-01 2.327659e-02 3.653935e-02 5.593080e-02 3.400719e-05 -3.875643e-05 -5.145629e-06 1.041915e-04
11525.596982 8.164307e-01 2.338901e-02 3.673257e-02 5.617813e-02 2.762419e-05 -3.938553e-05 -1.184290e-05 1.080320e-04
