# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271111
# UID: c7ff2298-8032-42f5-b08d-df71529ba97f
# Comment: 
# Start time: 10/18/2023  19:48:15
# Stop time: 10/18/2023  19:48:48
# Total time: 00:32
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 40.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.211582e-01 9.493164e-03 1.468233e-02 2.692375e-02 2.482997e-05 -1.071621e-05 -2.025440e-07 4.568767e-05
11385.596982 8.273129e-01 1.872367e-02 2.899128e-02 5.329429e-02 4.284736e-05 -3.147560e-05 -7.124608e-07 9.925317e-05
11390.596982 8.342658e-01 1.929650e-02 2.986077e-02 5.367559e-02 4.038698e-05 -4.202816e-05 -7.285385e-06 9.859183e-05
11395.596982 8.408406e-01 1.959162e-02 3.025616e-02 5.387688e-02 4.104776e-05 -4.576673e-05 -8.823114e-06 1.020506e-04
11400.596982 8.395424e-01 1.974838e-02 3.052317e-02 5.417242e-02 4.397615e-05 -4.935998e-05 1.844498e-07 8.983603e-05
11405.596982 8.380508e-01 1.993330e-02 3.082949e-02 5.411306e-02 4.543637e-05 -4.559722e-05 1.946174e-06 8.873426e-05
11410.596982 8.357453e-01 1.998467e-02 3.099497e-02 5.379252e-02 5.148415e-05 -3.922459e-05 -9.183184e-07 8.253301e-05
11415.596982 8.268750e-01 1.981209e-02 3.079847e-02 5.375448e-02 5.561546e-05 -3.525158e-05 -1.440650e-07 6.936994e-05
11420.596982 8.268877e-01 1.995628e-02 3.112189e-02 5.522272e-02 4.903823e-05 -3.068857e-05 7.834911e-06 8.412942e-05
11425.596982 8.344520e-01 2.046406e-02 3.185007e-02 5.573681e-02 3.391366e-05 -3.334416e-05 4.825772e-06 9.411934e-05
11430.596982 8.346750e-01 2.068030e-02 3.220167e-02 5.483612e-02 4.541925e-05 -3.007235e-05 1.613899e-06 8.818734e-05
11435.596982 8.333642e-01 2.079488e-02 3.243337e-02 5.466402e-02 5.478006e-05 -2.485523e-05 -1.831768e-06 9.190596e-05
11440.596982 8.325915e-01 2.091887e-02 3.268585e-02 5.445827e-02 6.137950e-05 -2.789430e-05 -4.853590e-06 8.881315e-05
