# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271093
# UID: f74d2a5e-0b8c-47fd-9d8a-7ba422821054
# Comment: 
# Start time: 10/18/2023  19:37:09
# Stop time: 10/18/2023  19:37:41
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.214011e-01 6.780444e-03 1.122008e-02 2.640839e-02 -5.017341e-06 -1.684820e-06 -2.352459e-06 3.979507e-05
11385.468179 8.283786e-01 1.341636e-02 2.229778e-02 5.217670e-02 -6.997224e-07 -3.027736e-06 -4.573375e-06 8.728795e-05
11390.468179 8.342120e-01 1.367834e-02 2.273810e-02 5.236866e-02 6.644863e-06 -5.220081e-06 3.623141e-07 8.861101e-05
11395.468179 8.416429e-01 1.397743e-02 2.314460e-02 5.278343e-02 1.198942e-05 -2.170608e-06 5.763639e-06 8.603246e-05
11400.468179 8.396790e-01 1.400963e-02 2.321903e-02 5.299108e-02 1.769250e-05 -9.363838e-06 1.398283e-07 7.383692e-05
11405.468179 8.382192e-01 1.410213e-02 2.338754e-02 5.285131e-02 8.466112e-06 -3.678667e-06 4.232613e-06 6.986831e-05
11410.468179 8.354496e-01 1.421441e-02 2.358589e-02 5.277638e-02 -1.230823e-06 6.366671e-06 1.349421e-05 6.873248e-05
11415.468179 8.272939e-01 1.414594e-02 2.353642e-02 5.238662e-02 -4.159887e-06 3.615372e-06 9.824165e-06 5.755184e-05
11420.468179 8.271417e-01 1.425711e-02 2.375821e-02 5.262110e-02 7.187356e-07 3.521140e-07 -2.733293e-07 6.619016e-05
11425.468179 8.339536e-01 1.458149e-02 2.422464e-02 5.329535e-02 -2.250045e-06 -2.440589e-06 7.468822e-07 6.186647e-05
11430.468179 8.350477e-01 1.471724e-02 2.443018e-02 5.335393e-02 -8.612730e-06 -7.703702e-06 9.143941e-07 6.274175e-05
