# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271094
# UID: a6d77d7c-32c3-4f54-9b46-ac8c7eab1a85
# Comment: 
# Start time: 10/18/2023  19:37:44
# Stop time: 10/18/2023  19:38:16
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.212127e-01 6.781571e-03 1.121367e-02 2.648515e-02 4.743631e-07 6.244388e-06 6.926981e-06 5.405735e-05
11385.468179 8.279261e-01 1.342849e-02 2.225410e-02 5.244605e-02 -1.293704e-06 1.106315e-05 1.945494e-05 1.079427e-04
11390.468179 8.336969e-01 1.369412e-02 2.267654e-02 5.254110e-02 -4.397482e-06 4.707279e-06 2.749608e-05 1.024388e-04
11395.468179 8.413239e-01 1.397113e-02 2.308791e-02 5.305526e-02 -4.805636e-06 6.342726e-07 2.474514e-05 9.937837e-05
11400.468179 8.397651e-01 1.400653e-02 2.317627e-02 5.309210e-02 7.399498e-06 -2.852057e-06 3.038625e-05 9.549756e-05
11405.468179 8.379076e-01 1.411653e-02 2.336128e-02 5.302303e-02 1.438945e-05 8.055796e-06 3.071063e-05 9.510879e-05
11410.468179 8.349562e-01 1.420941e-02 2.350225e-02 5.293871e-02 1.161262e-05 3.094639e-06 2.770961e-05 8.514379e-05
11415.468179 8.266328e-01 1.413022e-02 2.348260e-02 5.246812e-02 4.105607e-07 4.706202e-06 2.475261e-05 7.925297e-05
11420.468179 8.271931e-01 1.426773e-02 2.368391e-02 5.257595e-02 4.283942e-06 -2.408160e-06 1.519710e-05 8.236775e-05
11425.468179 8.342517e-01 1.457917e-02 2.412631e-02 5.311201e-02 1.877007e-06 -3.666716e-06 1.189052e-05 9.642862e-05
11430.468179 8.351512e-01 1.474034e-02 2.439318e-02 5.351838e-02 -6.607504e-06 7.014821e-06 5.205036e-06 8.946424e-05
11435.468179 8.335115e-01 1.483634e-02 2.462352e-02 5.346432e-02 -6.776705e-06 1.170817e-05 1.515810e-05 8.418176e-05
11440.468179 8.318682e-01 1.498535e-02 2.486163e-02 5.359205e-02 -2.621258e-06 7.880067e-06 1.687627e-05 8.850690e-05
11445.468179 8.307251e-01 1.509094e-02 2.504700e-02 5.350894e-02 -4.088944e-08 5.091845e-06 7.651094e-06 9.301658e-05
11450.468179 8.297599e-01 1.510344e-02 2.516794e-02 5.347805e-02 4.327768e-06 2.362731e-06 1.000890e-05 9.661112e-05
11455.468179 8.294827e-01 1.525443e-02 2.538731e-02 5.472271e-02 8.247412e-06 1.250688e-05 1.423708e-05 9.082611e-05
11460.468179 8.283320e-01 1.543403e-02 2.569403e-02 5.944655e-02 1.067934e-06 1.287677e-05 1.790024e-05 9.774928e-05
11465.468179 8.270562e-01 1.559984e-02 2.598351e-02 5.918717e-02 -5.107844e-06 1.440343e-05 1.799479e-05 9.040015e-05
11470.468179 8.262172e-01 1.572688e-02 2.619369e-02 5.483519e-02 -1.249310e-05 1.492174e-05 3.551682e-06 9.430270e-05
11475.468179 8.249085e-01 1.579834e-02 2.637686e-02 5.380602e-02 -3.207176e-06 1.343703e-05 9.963539e-06 9.603545e-05
11480.468179 8.238052e-01 1.585170e-02 2.650231e-02 5.406911e-02 8.191089e-07 8.612453e-06 1.713959e-05 1.010211e-04
