# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271098
# UID: 6df9119c-c41a-4be9-86d0-5b2d0637f0ba
# Comment: 
# Start time: 10/18/2023  19:40:05
# Stop time: 10/18/2023  19:40:36
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.216972e-01 6.799527e-03 1.124082e-02 2.688730e-02 -2.405373e-06 -3.201553e-06 -1.457619e-06 5.223714e-05
11385.468179 8.287040e-01 1.347007e-02 2.230516e-02 5.302005e-02 -2.812789e-06 3.502332e-06 -9.758062e-06 1.026972e-04
11390.468179 8.344796e-01 1.371981e-02 2.274048e-02 5.330698e-02 5.661838e-06 -9.717770e-06 -6.057465e-06 1.059946e-04
11395.468179 8.423056e-01 1.401526e-02 2.317053e-02 5.387393e-02 9.109567e-06 -2.909051e-05 -1.794299e-06 9.634966e-05
11400.468179 8.403285e-01 1.404237e-02 2.326488e-02 5.394502e-02 3.907790e-06 -1.847372e-05 -7.828799e-07 9.739899e-05
11405.468179 8.383917e-01 1.416113e-02 2.342275e-02 5.377414e-02 3.337425e-06 -1.347406e-05 4.113317e-07 9.572101e-05
11410.468179 8.358870e-01 1.424543e-02 2.358508e-02 5.358002e-02 -2.879140e-06 -1.599152e-05 8.738985e-06 9.140501e-05
11415.468179 8.278717e-01 1.419546e-02 2.354368e-02 5.329544e-02 -2.199127e-06 -1.442237e-05 1.333086e-05 9.440643e-05
11420.468179 8.273800e-01 1.431034e-02 2.377099e-02 5.332162e-02 -2.426974e-06 -1.838884e-05 7.491818e-06 9.261798e-05
11425.468179 8.352630e-01 1.463877e-02 2.423740e-02 5.394778e-02 2.344930e-06 -2.001127e-05 1.846735e-06 9.330387e-05
11430.468179 8.362638e-01 1.479687e-02 2.448396e-02 5.435953e-02 2.849017e-06 -1.472563e-05 1.402553e-06 9.276079e-05
11435.468179 8.345931e-01 1.489221e-02 2.467375e-02 5.434805e-02 -1.079829e-06 -1.865721e-05 -5.580883e-06 9.203273e-05
11440.468179 8.330528e-01 1.504900e-02 2.488993e-02 5.442752e-02 -2.881665e-06 -1.731027e-05 -2.106267e-07 9.742086e-05
11445.468179 8.315009e-01 1.514006e-02 2.508539e-02 5.425437e-02 -5.979364e-06 -2.089730e-05 -4.154836e-06 1.000722e-04
11450.468179 8.305106e-01 1.516385e-02 2.519078e-02 5.454725e-02 -7.280941e-06 -2.606015e-05 -1.685481e-06 1.069681e-04
