# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271099
# UID: d29d8d49-6376-4feb-8101-236c431c19f8
# Comment: 
# Start time: 10/18/2023  19:40:40
# Stop time: 10/18/2023  19:41:11
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.214700e-01 6.792875e-03 1.122101e-02 2.690394e-02 3.118141e-07 2.256163e-06 5.192325e-06 6.001726e-05
11385.596982 8.280091e-01 1.345733e-02 2.226907e-02 5.318316e-02 -1.248294e-05 3.121799e-06 1.360559e-05 1.196710e-04
11390.596982 8.346767e-01 1.375269e-02 2.272398e-02 5.341026e-02 -3.812611e-06 -4.603896e-07 2.108363e-05 1.108355e-04
11395.596982 8.418312e-01 1.402370e-02 2.314532e-02 5.361571e-02 -1.029773e-05 3.565523e-06 2.067625e-05 1.015630e-04
11400.596982 8.400062e-01 1.404978e-02 2.322232e-02 5.392248e-02 -1.021881e-05 9.043384e-06 1.463629e-05 1.049705e-04
11405.596982 8.383018e-01 1.418217e-02 2.346711e-02 5.385253e-02 -3.018070e-06 4.363535e-06 6.024253e-06 1.012360e-04
11410.596982 8.351361e-01 1.424591e-02 2.355438e-02 5.365549e-02 -7.512285e-06 7.595377e-06 1.013965e-05 1.038648e-04
11415.596982 8.273261e-01 1.417464e-02 2.351100e-02 5.337222e-02 -1.325553e-05 9.503718e-06 3.830446e-06 9.643486e-05
11420.596982 8.272811e-01 1.431825e-02 2.381283e-02 5.355776e-02 -1.772730e-05 1.255681e-05 3.047959e-06 1.016688e-04
11425.596982 8.348321e-01 1.462945e-02 2.425156e-02 5.414144e-02 -1.902857e-05 1.137757e-05 4.721355e-06 1.005398e-04
