# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271101
# UID: de800271-a890-4701-8438-6380b8715670
# Comment: 
# Start time: 10/18/2023  19:41:50
# Stop time: 10/18/2023  19:42:21
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 45.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.598413 4.201947e-01 6.775227e-03 1.122034e-02 2.702326e-02 1.710128e-05 -1.406694e-05 1.175746e-05 3.905762e-05
11385.598413 8.249329e-01 1.339512e-02 2.223200e-02 5.339664e-02 3.372714e-05 -2.763835e-05 2.661022e-05 8.177648e-05
11390.598413 8.318248e-01 1.369749e-02 2.266169e-02 5.358134e-02 3.902702e-05 -3.255139e-05 3.341290e-05 9.041268e-05
11395.598413 8.389929e-01 1.397314e-02 2.307488e-02 5.386154e-02 3.976372e-05 -2.985035e-05 2.682355e-05 8.106457e-05
11400.598413 8.374166e-01 1.398697e-02 2.314223e-02 5.423654e-02 3.386187e-05 -3.370128e-05 2.627853e-05 6.967053e-05
11405.598413 8.357044e-01 1.412436e-02 2.339767e-02 5.415034e-02 2.564084e-05 -3.857489e-05 2.317753e-05 6.434035e-05
11410.598413 8.322623e-01 1.420088e-02 2.351861e-02 5.391768e-02 2.740035e-05 -3.330421e-05 2.938458e-05 7.176431e-05
11415.598413 8.237138e-01 1.412345e-02 2.346667e-02 5.355056e-02 3.478046e-05 -2.826554e-05 2.999057e-05 8.545462e-05
11420.598413 8.238938e-01 1.426181e-02 2.369036e-02 5.345004e-02 3.176857e-05 -2.424247e-05 2.960097e-05 7.905822e-05
11425.598413 8.317945e-01 1.457327e-02 2.416899e-02 5.409342e-02 3.109170e-05 -2.012723e-05 3.060351e-05 7.811194e-05
11430.598413 8.322834e-01 1.470141e-02 2.441887e-02 5.437931e-02 3.234948e-05 -2.588515e-05 3.901334e-05 6.973369e-05
11435.598413 8.309426e-01 1.481668e-02 2.456746e-02 5.429704e-02 2.299624e-05 -1.891667e-05 3.538687e-05 5.898238e-05
11440.598413 8.294298e-01 1.494970e-02 2.484131e-02 5.452146e-02 2.548120e-05 -1.988827e-05 2.637654e-05 6.428115e-05
11445.598413 8.282202e-01 1.502308e-02 2.503321e-02 5.449095e-02 2.317975e-05 -2.848479e-05 2.487273e-05 6.957547e-05
11450.598413 8.270592e-01 1.506398e-02 2.508806e-02 5.451460e-02 2.906926e-05 -3.585511e-05 2.396860e-05 7.612293e-05
11455.598413 8.265022e-01 1.523735e-02 2.534208e-02 5.584107e-02 3.166917e-05 -3.404222e-05 2.077826e-05 7.166003e-05
11460.598413 8.255112e-01 1.541377e-02 2.562809e-02 6.047077e-02 3.479634e-05 -3.079607e-05 1.747510e-05 7.141955e-05
11465.598413 8.243664e-01 1.558738e-02 2.593974e-02 5.971991e-02 3.198103e-05 -3.260151e-05 2.375117e-05 7.221851e-05
11470.598413 8.235989e-01 1.569430e-02 2.610840e-02 5.599054e-02 3.183317e-05 -3.753486e-05 2.474071e-05 6.789363e-05
11475.598413 8.226342e-01 1.575333e-02 2.625068e-02 5.482186e-02 4.322456e-05 -3.885248e-05 2.437622e-05 6.213874e-05
11480.598413 8.214378e-01 1.577836e-02 2.633918e-02 5.501245e-02 3.304242e-05 -3.831107e-05 2.407580e-05 5.736401e-05
11485.598413 8.204676e-01 1.578959e-02 2.639658e-02 5.531650e-02 2.277542e-05 -3.955856e-05 2.914096e-05 6.778960e-05
11490.598413 8.191714e-01 1.594220e-02 2.668631e-02 5.535347e-02 3.076314e-05 -3.503290e-05 2.408932e-05 7.198121e-05
11495.598413 8.185289e-01 1.616885e-02 2.701510e-02 5.528642e-02 2.522087e-05 -3.427317e-05 3.557536e-05 7.266495e-05
11500.598413 8.182890e-01 1.630716e-02 2.726636e-02 5.545266e-02 2.723065e-05 -2.795437e-05 3.872024e-05 7.745756e-05
11505.598413 8.172821e-01 1.642623e-02 2.742038e-02 5.565222e-02 3.288363e-05 -2.282537e-05 2.980410e-05 8.361478e-05
11510.598413 8.160391e-01 1.661358e-02 2.767017e-02 5.588382e-02 2.205337e-05 -2.562143e-05 2.898783e-05 7.982949e-05
11515.598413 8.150908e-01 1.669235e-02 2.777640e-02 5.622184e-02 1.830965e-05 -2.442007e-05 3.773495e-05 7.688396e-05
11520.598413 8.142031e-01 1.684795e-02 2.799720e-02 5.612501e-02 2.500579e-05 -2.846570e-05 3.548218e-05 7.910317e-05
11525.598413 8.135779e-01 1.695233e-02 2.811043e-02 5.659241e-02 2.615628e-05 -2.371067e-05 2.558876e-05 7.762104e-05
11530.598413 8.120967e-01 1.696670e-02 2.801709e-02 5.804089e-02 3.441601e-05 -2.934304e-05 2.241685e-05 8.164676e-05
11534.000000 8.113039e-01 1.707508e-02 2.813464e-02 5.983124e-02 3.212843e-05 -2.034261e-05 1.580611e-05 8.590244e-05
11535.000000 8.116068e-01 1.715637e-02 2.830459e-02 6.051987e-02 3.148777e-05 -1.524987e-05 2.152955e-05 8.203116e-05
11536.000000 8.122805e-01 1.726855e-02 2.827686e-02 6.186979e-02 3.165549e-05 -1.870412e-05 2.444813e-05 8.429934e-05
11537.000000 8.116486e-01 1.726561e-02 2.820663e-02 6.176596e-02 3.617281e-05 -1.193326e-05 1.921979e-05 7.686425e-05
11538.000000 8.112274e-01 1.726105e-02 2.818525e-02 6.256001e-02 3.806100e-05 -7.896076e-06 2.583206e-05 7.615537e-05
11539.000000 8.110723e-01 1.725616e-02 2.814997e-02 6.273563e-02 4.045496e-05 -7.890724e-06 2.268749e-05 7.234558e-05
11540.000000 8.101401e-01 1.726125e-02 2.792872e-02 6.332182e-02 3.304826e-05 -7.864661e-06 9.756102e-06 7.224817e-05
11541.000000 8.107032e-01 1.731310e-02 2.793759e-02 6.420322e-02 2.753020e-05 -1.227326e-05 8.463933e-06 7.796344e-05
11541.200000 8.153557e-01 1.733325e-02 2.795542e-02 6.590944e-02 3.452464e-05 -9.032306e-06 5.622807e-06 7.967334e-05
11541.400000 8.071901e-01 1.723062e-02 2.783534e-02 6.325202e-02 2.165895e-05 -1.082065e-05 8.325563e-06 6.679889e-05
11541.600000 8.109325e-01 1.724404e-02 2.759689e-02 6.299122e-02 3.721529e-05 -1.105221e-05 2.895139e-05 7.927539e-05
11541.800000 8.122552e-01 1.734776e-02 2.791725e-02 6.503550e-02 3.891932e-05 -4.770297e-06 2.423394e-05 8.871540e-05
11542.000000 8.121358e-01 1.737409e-02 2.784555e-02 6.525863e-02 2.657310e-05 -4.399993e-06 1.778628e-05 8.419327e-05
11542.200000 8.136073e-01 1.726720e-02 2.812446e-02 6.497651e-02 3.881074e-05 -1.462139e-05 2.573901e-05 8.542492e-05
11542.400000 8.064524e-01 1.733926e-02 2.796727e-02 6.414712e-02 2.438411e-05 -1.473392e-05 1.568676e-05 7.678082e-05
11542.600000 8.106921e-01 1.718289e-02 2.789237e-02 6.443990e-02 3.760325e-05 -1.078687e-05 4.492448e-06 6.714733e-05
11542.800000 8.143829e-01 1.740331e-02 2.789212e-02 6.394868e-02 3.440544e-05 -1.614179e-05 6.059783e-06 6.604713e-05
11543.000000 8.095801e-01 1.719892e-02 2.775234e-02 6.633620e-02 3.492356e-05 -1.079528e-05 1.504657e-05 6.642431e-05
11543.200000 8.102088e-01 1.716213e-02 2.752599e-02 6.511607e-02 3.307632e-05 -1.265749e-05 1.438704e-05 7.611164e-05
11543.400000 8.125122e-01 1.736292e-02 2.776383e-02 6.200068e-02 2.778141e-05 -2.075939e-05 2.234241e-05 6.635156e-05
11543.600000 8.128699e-01 1.722901e-02 2.783959e-02 6.457928e-02 3.573305e-05 -1.612401e-05 2.130400e-05 7.032654e-05
