# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271245
# UID: 5a8715dc-45f4-4939-b2b0-126222e3b5da
# Comment: 
# Start time: 10/18/2023  22:25:45
# Stop time: 10/18/2023  22:26:16
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.425245 4.198013e-01 -1.412545e-03 8.736629e-04 2.359245e-02 3.497119e-05 -2.071561e-05 -1.020122e-07 4.172343e-05
11385.425245 8.254341e-01 -2.801823e-03 1.751274e-03 4.663823e-02 6.758368e-05 -2.954977e-05 -1.202203e-06 8.051584e-05
11390.425245 8.311719e-01 -2.836469e-03 1.759337e-03 4.682616e-02 7.540551e-05 -2.488198e-05 5.001566e-06 6.693593e-05
11395.425245 8.388928e-01 -2.841396e-03 1.727529e-03 4.709596e-02 7.884168e-05 -2.609641e-05 1.972531e-06 8.630536e-05
11400.425245 8.371692e-01 -2.836027e-03 1.771399e-03 4.724234e-02 7.200659e-05 -2.706951e-05 1.994330e-05 8.883847e-05
11405.425245 8.351125e-01 -2.837786e-03 1.753787e-03 4.721802e-02 7.321250e-05 -2.386924e-05 1.911012e-05 8.512494e-05
11410.425245 8.322777e-01 -2.839658e-03 1.752106e-03 4.710711e-02 6.952829e-05 -2.576220e-05 1.063785e-05 8.009411e-05
11415.425245 8.240236e-01 -2.837386e-03 1.746931e-03 4.647332e-02 6.242090e-05 -2.677289e-05 8.010904e-06 8.854478e-05
11420.425245 8.238839e-01 -2.828875e-03 1.712241e-03 4.671871e-02 5.079528e-05 -2.951042e-05 9.354866e-06 7.626775e-05
11425.425245 8.313103e-01 -2.807953e-03 1.753476e-03 4.740050e-02 4.704069e-05 -3.280335e-05 7.582791e-06 6.941356e-05
11430.425245 8.327530e-01 -2.811253e-03 1.769887e-03 4.772729e-02 4.830981e-05 -3.342601e-05 1.334726e-06 7.875557e-05
11435.425245 8.306188e-01 -2.814070e-03 1.760414e-03 4.764076e-02 5.742412e-05 -3.856019e-05 -1.427613e-05 8.831269e-05
11440.425245 8.292588e-01 -2.804414e-03 1.708848e-03 4.778773e-02 5.156229e-05 -3.792551e-05 -1.128931e-05 8.166298e-05
11445.425245 8.279802e-01 -2.791792e-03 1.733992e-03 4.787638e-02 5.241270e-05 -2.361932e-05 -8.253260e-06 8.532275e-05
11450.425245 8.269044e-01 -2.799148e-03 1.755226e-03 4.792581e-02 5.912394e-05 -2.743802e-05 7.025095e-06 8.544163e-05
11455.425245 8.262778e-01 -2.806572e-03 1.727858e-03 4.783773e-02 6.452930e-05 -2.610474e-05 1.135235e-05 7.594346e-05
11460.425245 8.253206e-01 -2.817929e-03 1.680985e-03 4.796179e-02 6.870381e-05 -2.353765e-05 8.799322e-06 9.450504e-05
11465.425245 8.240633e-01 -2.821445e-03 1.717594e-03 4.807958e-02 6.473631e-05 -2.923835e-05 1.168139e-05 1.010940e-04
11470.425245 8.233550e-01 -2.826022e-03 1.752401e-03 4.815976e-02 6.239305e-05 -3.101502e-05 4.705292e-06 9.670931e-05
11475.425245 8.223688e-01 -2.807949e-03 1.741017e-03 4.811030e-02 6.393368e-05 -2.255751e-05 7.776775e-06 9.522257e-05
11480.425245 8.211654e-01 -2.815144e-03 1.671377e-03 4.810672e-02 5.472594e-05 -1.945581e-05 1.227199e-05 9.527064e-05
11485.425245 8.202892e-01 -2.801962e-03 1.733201e-03 4.834352e-02 5.184415e-05 -3.105961e-05 5.541279e-06 8.931091e-05
11490.425245 8.194694e-01 -2.810635e-03 1.760157e-03 4.837699e-02 5.304908e-05 -2.727452e-05 4.873801e-06 8.819590e-05
11495.425245 8.187288e-01 -2.801152e-03 1.766427e-03 4.869017e-02 5.552778e-05 -2.662033e-05 1.452452e-05 8.899464e-05
11500.425245 8.179688e-01 -2.820309e-03 1.682362e-03 4.910174e-02 5.757354e-05 -2.496245e-05 1.914900e-05 9.100036e-05
11505.425245 8.166920e-01 -2.822993e-03 1.736565e-03 4.877352e-02 5.650440e-05 -3.399078e-05 9.993619e-06 8.579066e-05
11510.425245 8.159366e-01 -2.810329e-03 1.761361e-03 4.905001e-02 5.081529e-05 -3.825677e-05 1.832481e-05 9.768334e-05
11515.425245 8.149239e-01 -2.816768e-03 1.777246e-03 4.917666e-02 5.474327e-05 -3.659056e-05 1.429078e-05 1.052949e-04
11520.425245 8.139486e-01 -2.824677e-03 1.766180e-03 4.898227e-02 6.356476e-05 -4.006124e-05 9.342805e-06 1.036124e-04
11525.425245 8.130382e-01 -2.823802e-03 1.754504e-03 4.920908e-02 5.576272e-05 -4.484098e-05 8.072476e-06 1.014614e-04
11530.425245 8.123300e-01 -2.812127e-03 1.730023e-03 4.953564e-02 5.479778e-05 -3.150619e-05 5.188549e-06 1.029651e-04
11534.000000 8.121943e-01 -2.820804e-03 1.734876e-03 4.991506e-02 5.682932e-05 -3.387330e-05 -4.060931e-07 1.054156e-04
11535.000000 8.118886e-01 -2.810823e-03 1.716713e-03 5.027665e-02 5.516729e-05 -3.116988e-05 -7.060797e-06 1.006460e-04
11536.000000 8.107016e-01 -2.817805e-03 1.765053e-03 5.000185e-02 4.700293e-05 -2.882674e-05 -6.701362e-06 1.046016e-04
11537.000000 8.124800e-01 -2.826367e-03 1.780534e-03 5.029054e-02 5.409765e-05 -3.537372e-05 -9.898782e-06 1.007311e-04
11538.000000 8.107272e-01 -2.823320e-03 1.740836e-03 5.034297e-02 5.887138e-05 -3.572724e-05 3.362125e-06 9.676763e-05
11539.000000 8.114512e-01 -2.826184e-03 1.739722e-03 5.045355e-02 5.760171e-05 -3.311257e-05 -5.752780e-07 9.627928e-05
