# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271246
# UID: fde24389-a7c7-4a9b-b6aa-251fa78baaa2
# Comment: 
# Start time: 10/18/2023  22:26:20
# Stop time: 10/18/2023  22:26:51
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.208333e-01 -1.419059e-03 8.746612e-04 2.354023e-02 4.441153e-05 -8.603604e-06 2.467517e-06 4.590010e-05
11385.596982 8.272138e-01 -2.805305e-03 1.729919e-03 4.683207e-02 7.497442e-05 -2.039570e-05 3.032691e-06 9.820292e-05
11390.596982 8.336998e-01 -2.837248e-03 1.731616e-03 4.694335e-02 7.158145e-05 -2.631430e-05 4.398393e-06 9.762331e-05
11395.596982 8.409036e-01 -2.836294e-03 1.777831e-03 4.725696e-02 7.368214e-05 -2.432639e-05 9.837656e-06 1.014419e-04
11400.596982 8.392675e-01 -2.845737e-03 1.734978e-03 4.727486e-02 7.882481e-05 -3.228198e-05 1.816651e-05 9.899029e-05
11405.596982 8.375401e-01 -2.855403e-03 1.748893e-03 4.719479e-02 8.179827e-05 -3.339621e-05 1.089148e-05 9.054308e-05
11410.596982 8.342258e-01 -2.853299e-03 1.723027e-03 4.710469e-02 8.254378e-05 -2.649035e-05 6.246800e-06 9.687802e-05
11415.596982 8.261066e-01 -2.843668e-03 1.742800e-03 4.675710e-02 9.002072e-05 -2.441666e-05 5.001470e-06 9.638252e-05
11420.596982 8.262364e-01 -2.825856e-03 1.732385e-03 4.692181e-02 8.833187e-05 -3.599602e-05 8.831494e-07 9.167778e-05
11425.596982 8.336702e-01 -2.822044e-03 1.742056e-03 4.764239e-02 9.826152e-05 -3.436948e-05 -1.015991e-05 9.749610e-05
