# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271247
# UID: d231c333-4504-4f48-aeee-7557f1a5547e
# Comment: 
# Start time: 10/18/2023  22:26:55
# Stop time: 10/18/2023  22:27:26
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.207738e-01 -1.426723e-03 8.770860e-04 2.350735e-02 3.009360e-05 -1.196318e-05 4.202884e-06 4.180097e-05
11385.639917 8.266305e-01 -2.819127e-03 1.753091e-03 4.660992e-02 5.819991e-05 -1.849858e-05 1.134298e-05 7.602280e-05
11390.639917 8.330992e-01 -2.845568e-03 1.729066e-03 4.693175e-02 6.129417e-05 -1.072337e-05 1.416440e-05 7.910905e-05
11395.639917 8.401599e-01 -2.843929e-03 1.742888e-03 4.723101e-02 7.259909e-05 -1.275711e-05 1.664825e-05 8.303486e-05
11400.639917 8.385133e-01 -2.853721e-03 1.748363e-03 4.720426e-02 7.533543e-05 -1.407431e-05 1.097027e-05 8.151495e-05
11405.639917 8.366700e-01 -2.865778e-03 1.744519e-03 4.720878e-02 7.151365e-05 1.990887e-06 1.366250e-05 8.280209e-05
11410.639917 8.337495e-01 -2.871052e-03 1.746674e-03 4.706849e-02 7.175636e-05 4.105695e-06 6.543913e-06 7.654773e-05
11415.639917 8.255035e-01 -2.858088e-03 1.747405e-03 4.658854e-02 7.080517e-05 -3.214338e-06 5.400632e-06 7.464895e-05
11420.639917 8.256831e-01 -2.846468e-03 1.726830e-03 4.683711e-02 6.560976e-05 -4.447991e-06 9.890885e-06 8.169377e-05
11425.639917 8.332195e-01 -2.852593e-03 1.715046e-03 4.722657e-02 7.210005e-05 -4.899981e-06 1.239316e-05 8.654477e-05
11430.639917 8.343592e-01 -2.852472e-03 1.748050e-03 4.758864e-02 8.119285e-05 -4.211702e-06 1.057128e-05 7.593788e-05
11435.639917 8.327776e-01 -2.834270e-03 1.721860e-03 4.804375e-02 8.422440e-05 -1.109665e-05 1.398200e-05 8.305457e-05
11440.639917 8.311186e-01 -2.836203e-03 1.696576e-03 4.792262e-02 8.888947e-05 -7.600702e-06 9.191767e-06 7.708227e-05
11445.639917 8.300410e-01 -2.847658e-03 1.731463e-03 4.791235e-02 8.635981e-05 -9.000465e-06 6.041991e-06 6.999878e-05
11450.639917 8.290744e-01 -2.837745e-03 1.753476e-03 4.798730e-02 8.181243e-05 -8.321438e-06 1.034141e-05 6.684534e-05
11455.639917 8.276650e-01 -2.843914e-03 1.743000e-03 4.800663e-02 7.500327e-05 -2.212493e-05 3.471489e-06 7.288754e-05
11460.639917 8.267400e-01 -2.842035e-03 1.728557e-03 4.814407e-02 6.435825e-05 -2.395998e-05 -5.460190e-06 7.660453e-05
11465.639917 8.260566e-01 -2.832598e-03 1.727269e-03 4.804025e-02 6.510699e-05 -1.745128e-05 -1.380245e-05 7.538194e-05
11470.639917 8.253078e-01 -2.828892e-03 1.730115e-03 4.812952e-02 6.391191e-05 -1.872258e-05 -7.927779e-06 7.775802e-05
11475.639917 8.241148e-01 -2.850118e-03 1.724704e-03 4.843095e-02 5.247124e-05 -1.874163e-05 -1.222962e-05 7.630182e-05
11480.639917 8.229571e-01 -2.859984e-03 1.720797e-03 4.849963e-02 4.521869e-05 -2.307654e-05 -3.550594e-06 6.423862e-05
11485.639917 8.219665e-01 -2.843035e-03 1.749319e-03 4.840201e-02 4.846430e-05 -3.084254e-05 3.936601e-06 6.523076e-05
11490.639917 8.211602e-01 -2.830820e-03 1.765509e-03 4.884822e-02 6.690612e-05 -3.499852e-05 -6.140123e-06 8.199310e-05
11495.639917 8.199508e-01 -2.830140e-03 1.766449e-03 4.900749e-02 6.011574e-05 -4.386342e-05 2.396800e-06 8.377811e-05
11500.639917 8.198897e-01 -2.848855e-03 1.754279e-03 4.869143e-02 5.994076e-05 -4.034051e-05 -4.770019e-07 7.559916e-05
11505.639917 8.187683e-01 -2.844919e-03 1.789606e-03 4.893412e-02 5.059796e-05 -3.873849e-05 4.354110e-06 7.974696e-05
11510.639917 8.176136e-01 -2.834736e-03 1.802394e-03 4.894208e-02 4.274041e-05 -3.727038e-05 4.072068e-06 8.321696e-05
