# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271248
# UID: 48c81825-c7ea-4619-9780-8b67c85d7008
# Comment: 
# Start time: 10/18/2023  22:27:30
# Stop time: 10/18/2023  22:28:01
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.203859e-01 -1.420024e-03 8.630916e-04 2.366433e-02 2.316993e-05 -6.409021e-06 1.841250e-06 4.067295e-05
11385.596982 8.262690e-01 -2.817200e-03 1.707929e-03 4.679115e-02 5.402888e-05 -1.248481e-05 -7.211690e-06 8.187864e-05
11390.596982 8.330477e-01 -2.815462e-03 1.709914e-03 4.688080e-02 6.255048e-05 -1.495531e-05 -5.026354e-07 8.622203e-05
11395.596982 8.403339e-01 -2.824806e-03 1.736810e-03 4.710191e-02 5.768494e-05 -1.891072e-05 -4.198832e-06 8.893585e-05
11400.596982 8.385181e-01 -2.844289e-03 1.735294e-03 4.724046e-02 5.601388e-05 -1.869811e-05 -8.675807e-06 8.349926e-05
11405.596982 8.367479e-01 -2.838048e-03 1.770170e-03 4.733959e-02 5.543340e-05 -1.097658e-05 4.756864e-06 8.005397e-05
11410.596982 8.337280e-01 -2.836473e-03 1.713373e-03 4.706799e-02 5.716017e-05 -9.469495e-06 7.150337e-06 8.070528e-05
11415.596982 8.253698e-01 -2.847806e-03 1.749025e-03 4.653123e-02 6.128201e-05 -4.269723e-06 8.186917e-06 8.466673e-05
11420.596982 8.250746e-01 -2.834898e-03 1.760244e-03 4.684716e-02 5.729655e-05 -8.262028e-06 1.878097e-05 9.068572e-05
11425.596982 8.328294e-01 -2.830102e-03 1.757375e-03 4.758398e-02 5.574317e-05 -2.116613e-05 8.381643e-06 8.856786e-05
11430.596982 8.340210e-01 -2.844771e-03 1.776919e-03 4.786328e-02 6.072507e-05 -1.411813e-05 -1.524471e-05 8.964378e-05
11435.596982 8.321657e-01 -2.852103e-03 1.739189e-03 4.794321e-02 5.170928e-05 -1.304987e-05 -6.264469e-06 9.566705e-05
11440.596982 8.303660e-01 -2.848425e-03 1.704683e-03 4.791236e-02 4.755875e-05 -1.690009e-05 1.982195e-06 7.905651e-05
11445.596982 8.294637e-01 -2.845366e-03 1.764554e-03 4.806818e-02 4.231117e-05 -1.709740e-05 -6.850956e-06 8.818627e-05
11450.596982 8.282665e-01 -2.834939e-03 1.801699e-03 4.795597e-02 3.718516e-05 -1.266457e-05 7.559723e-07 8.931771e-05
11455.596982 8.272157e-01 -2.825724e-03 1.811774e-03 4.785084e-02 4.323799e-05 -1.215461e-05 8.350800e-07 9.074188e-05
11460.596982 8.264269e-01 -2.831657e-03 1.767853e-03 4.791105e-02 4.154546e-05 -1.014518e-05 2.299138e-06 9.169491e-05
11465.596982 8.263262e-01 -2.834223e-03 1.751353e-03 4.826890e-02 5.168796e-05 -1.763771e-05 6.445033e-06 1.049674e-04
11470.596982 8.250811e-01 -2.827636e-03 1.740102e-03 4.828199e-02 6.750558e-05 -5.553896e-06 2.077975e-06 1.062786e-04
11475.596982 8.240554e-01 -2.827656e-03 1.731201e-03 4.810758e-02 6.192873e-05 -7.177815e-06 7.982926e-06 1.028088e-04
11480.596982 8.227849e-01 -2.816938e-03 1.776023e-03 4.829268e-02 4.836816e-05 -6.936004e-06 8.797256e-06 9.435077e-05
11485.596982 8.212104e-01 -2.822412e-03 1.728217e-03 4.838051e-02 5.187612e-05 -1.904577e-05 4.123541e-06 8.243834e-05
11490.596982 8.206889e-01 -2.809427e-03 1.681025e-03 4.850679e-02 4.526973e-05 -3.170529e-05 5.799257e-07 8.391136e-05
11495.596982 8.195594e-01 -2.809129e-03 1.693321e-03 4.896325e-02 3.277453e-05 -2.359801e-05 1.224870e-05 8.775922e-05
11500.596982 8.190666e-01 -2.822441e-03 1.705141e-03 4.918095e-02 3.392759e-05 -1.833358e-05 1.100846e-05 7.292763e-05
11505.596982 8.188617e-01 -2.814953e-03 1.699413e-03 4.913525e-02 3.313643e-05 -2.028049e-05 9.876797e-07 7.960817e-05
11510.596982 8.172219e-01 -2.820716e-03 1.749585e-03 4.901073e-02 3.988273e-05 -2.126714e-05 -4.837517e-06 8.768249e-05
11515.596982 8.165172e-01 -2.815747e-03 1.752335e-03 4.899153e-02 4.490426e-05 -1.993616e-05 -1.224898e-05 9.501936e-05
11520.596982 8.154439e-01 -2.817962e-03 1.765408e-03 4.928823e-02 5.273188e-05 -2.169746e-05 -6.858043e-06 1.000284e-04
11525.596982 8.141025e-01 -2.812481e-03 1.751244e-03 4.939574e-02 5.181776e-05 -1.967436e-05 -6.122166e-07 8.579821e-05
11530.596982 8.140820e-01 -2.817452e-03 1.721473e-03 4.949074e-02 4.761929e-05 -2.553648e-05 6.545725e-06 8.544410e-05
11534.000000 8.126909e-01 -2.844090e-03 1.715042e-03 4.991943e-02 4.854273e-05 -2.151855e-05 8.779680e-06 7.993012e-05
