# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271249
# UID: 0daede62-cccb-44c4-a600-487c98186f49
# Comment: 
# Start time: 10/18/2023  22:28:05
# Stop time: 10/18/2023  22:28:36
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.203995e-01 -1.409906e-03 8.792347e-04 2.365765e-02 2.455729e-05 -5.731377e-06 -1.267729e-06 5.262915e-05
11385.468179 8.262399e-01 -2.816476e-03 1.695835e-03 4.671840e-02 5.705483e-05 5.474077e-06 -2.413826e-06 1.057943e-04
11390.468179 8.320719e-01 -2.842247e-03 1.729636e-03 4.707800e-02 5.787968e-05 7.449732e-06 -1.182979e-05 9.716080e-05
11395.468179 8.402069e-01 -2.835364e-03 1.760236e-03 4.742973e-02 6.135610e-05 -3.618318e-06 1.738105e-06 1.114805e-04
11400.468179 8.384153e-01 -2.820488e-03 1.765749e-03 4.735784e-02 4.942006e-05 -1.117765e-05 1.226499e-05 1.073866e-04
11405.468179 8.363342e-01 -2.817346e-03 1.749963e-03 4.714030e-02 5.800855e-05 -8.809204e-06 1.752829e-05 1.094707e-04
11410.468179 8.335126e-01 -2.810541e-03 1.735499e-03 4.706950e-02 6.142545e-05 -1.271118e-05 1.134569e-05 1.110135e-04
11415.468179 8.252277e-01 -2.819616e-03 1.762611e-03 4.679886e-02 6.051788e-05 -2.533792e-05 2.289227e-05 1.156091e-04
11420.468179 8.249406e-01 -2.818638e-03 1.751040e-03 4.681869e-02 5.810829e-05 -1.355864e-05 1.976812e-05 1.051438e-04
11425.468179 8.328088e-01 -2.829538e-03 1.774966e-03 4.753868e-02 6.168839e-05 -1.007261e-05 7.629918e-06 1.011175e-04
