# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271250
# UID: 48eb2e58-a47d-4434-a0bd-6cb43dc1512f
# Comment: 
# Start time: 10/18/2023  22:28:40
# Stop time: 10/18/2023  22:29:11
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.201830e-01 -1.425299e-03 8.576108e-04 2.363245e-02 3.237638e-05 -1.790718e-06 -1.457480e-06 4.592991e-05
11385.468179 8.257433e-01 -2.823790e-03 1.708125e-03 4.657072e-02 6.013522e-05 -6.685319e-06 -3.710213e-06 9.760079e-05
11390.468179 8.320748e-01 -2.849009e-03 1.745112e-03 4.679952e-02 6.176603e-05 3.438017e-06 4.032699e-06 1.022224e-04
11395.468179 8.395607e-01 -2.864888e-03 1.725200e-03 4.706620e-02 6.706040e-05 3.168595e-07 -1.072657e-05 1.080056e-04
11400.468179 8.375397e-01 -2.858130e-03 1.730031e-03 4.707932e-02 5.575555e-05 -1.271150e-06 -1.328754e-05 1.013267e-04
11405.468179 8.356686e-01 -2.854975e-03 1.757958e-03 4.695444e-02 6.514368e-05 6.779744e-06 -1.208577e-05 1.017568e-04
11410.468179 8.330716e-01 -2.841335e-03 1.711745e-03 4.716591e-02 6.011156e-05 1.151311e-05 8.144192e-07 1.082894e-04
11415.468179 8.249848e-01 -2.837772e-03 1.757692e-03 4.675435e-02 6.052509e-05 7.742959e-06 4.780736e-06 1.080257e-04
11420.468179 8.242997e-01 -2.840157e-03 1.718721e-03 4.705143e-02 5.870790e-05 -2.078996e-06 6.270718e-06 9.969835e-05
11425.468179 8.320935e-01 -2.847851e-03 1.705454e-03 4.751475e-02 6.767450e-05 6.645243e-08 4.733008e-06 1.002342e-04
11430.468179 8.336890e-01 -2.847067e-03 1.720288e-03 4.783958e-02 7.299775e-05 4.610775e-06 -3.883323e-06 1.050626e-04
11435.468179 8.323817e-01 -2.857985e-03 1.750992e-03 4.779015e-02 6.463033e-05 -4.941220e-06 2.734764e-06 1.017574e-04
11440.468179 8.304335e-01 -2.860150e-03 1.760129e-03 4.774253e-02 6.287516e-05 -2.471318e-06 3.931500e-06 1.067307e-04
11445.468179 8.283692e-01 -2.851652e-03 1.749170e-03 4.775086e-02 6.594848e-05 1.674192e-06 -6.845207e-06 1.022736e-04
11450.468179 8.275059e-01 -2.859537e-03 1.765814e-03 4.790183e-02 5.683299e-05 -3.190958e-06 -9.547552e-06 9.724994e-05
11455.468179 8.266010e-01 -2.854416e-03 1.737742e-03 4.801987e-02 6.236244e-05 -2.536659e-06 -6.941383e-06 1.081702e-04
11460.468179 8.256174e-01 -2.845114e-03 1.771191e-03 4.798710e-02 5.689507e-05 2.871332e-06 -1.748098e-05 9.364217e-05
11465.468179 8.253622e-01 -2.840476e-03 1.774069e-03 4.821526e-02 6.268916e-05 7.909199e-06 -1.106804e-05 1.065945e-04
11470.468179 8.245092e-01 -2.850253e-03 1.749338e-03 4.826499e-02 5.204835e-05 7.619037e-06 -1.475790e-05 1.114870e-04
