# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271251
# UID: 8ff1cee3-2ba0-40ea-929f-59a045205e90
# Comment: 
# Start time: 10/18/2023  22:29:15
# Stop time: 10/18/2023  22:29:46
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.427270 4.214383e-01 -1.436469e-03 8.808955e-04 2.368461e-02 2.363325e-05 8.558759e-07 8.442152e-07 4.810061e-05
11385.427270 8.277505e-01 -2.828718e-03 1.756229e-03 4.668453e-02 4.833441e-05 1.525597e-06 6.861095e-06 1.060505e-04
11390.427270 8.334710e-01 -2.871879e-03 1.739351e-03 4.697301e-02 5.679335e-05 8.936603e-06 2.858269e-06 9.562258e-05
11395.427270 8.412393e-01 -2.876275e-03 1.727933e-03 4.733138e-02 5.820859e-05 2.920917e-06 2.026936e-06 8.066863e-05
11400.427270 8.394472e-01 -2.882043e-03 1.744110e-03 4.726644e-02 5.178750e-05 6.506458e-06 5.729857e-06 8.392766e-05
11405.427270 8.372744e-01 -2.878986e-03 1.735601e-03 4.724209e-02 5.412999e-05 8.615005e-06 4.645474e-06 8.735687e-05
11410.427270 8.342177e-01 -2.879689e-03 1.752391e-03 4.698280e-02 6.299175e-05 6.286902e-06 9.928350e-06 8.918603e-05
11415.427270 8.267975e-01 -2.878150e-03 1.732040e-03 4.662018e-02 5.727451e-05 9.159822e-06 9.711076e-06 8.681153e-05
11420.427270 8.264441e-01 -2.873373e-03 1.761228e-03 4.675937e-02 5.911572e-05 1.402984e-05 4.634462e-06 8.019891e-05
11425.427270 8.339780e-01 -2.881729e-03 1.778270e-03 4.755573e-02 6.753380e-05 1.195252e-05 7.793902e-06 7.950953e-05
11430.427270 8.351710e-01 -2.878985e-03 1.715325e-03 4.793920e-02 6.797602e-05 1.549062e-05 5.036804e-07 8.426690e-05
11435.427270 8.336196e-01 -2.870185e-03 1.711560e-03 4.781967e-02 5.368333e-05 4.462257e-06 -6.089900e-06 8.359162e-05
11440.427270 8.323710e-01 -2.872118e-03 1.769820e-03 4.788390e-02 4.969888e-05 8.641749e-07 3.004156e-06 9.184491e-05
11445.427270 8.306140e-01 -2.859072e-03 1.772730e-03 4.788739e-02 5.044917e-05 9.263006e-06 7.578795e-07 8.384745e-05
11450.427270 8.297795e-01 -2.862891e-03 1.767557e-03 4.817798e-02 6.458182e-05 4.569270e-06 -3.015466e-06 8.600977e-05
11455.427270 8.286608e-01 -2.858290e-03 1.755447e-03 4.817751e-02 5.668886e-05 8.641582e-06 3.396266e-06 9.370289e-05
11460.427270 8.280652e-01 -2.850108e-03 1.747034e-03 4.804352e-02 5.929210e-05 1.317699e-05 8.834876e-06 8.353083e-05
11465.427270 8.271746e-01 -2.850438e-03 1.710444e-03 4.828544e-02 5.086327e-05 5.646299e-06 1.837573e-05 7.297554e-05
11470.427270 8.261884e-01 -2.853345e-03 1.748067e-03 4.829232e-02 5.469730e-05 6.178684e-06 1.842217e-05 8.137330e-05
11475.427270 8.254123e-01 -2.843802e-03 1.769922e-03 4.842361e-02 5.304465e-05 9.575396e-06 2.403739e-05 7.758422e-05
11480.427270 8.240277e-01 -2.849707e-03 1.776684e-03 4.838754e-02 5.558233e-05 4.023732e-06 2.191381e-05 9.198719e-05
11485.427270 8.230987e-01 -2.852365e-03 1.776034e-03 4.843680e-02 5.023030e-05 -2.298089e-06 1.772174e-05 1.046072e-04
11490.427270 8.218698e-01 -2.856142e-03 1.796701e-03 4.841673e-02 5.316317e-05 3.523136e-07 1.575126e-05 1.136232e-04
11495.427270 8.212178e-01 -2.854572e-03 1.785200e-03 4.890523e-02 5.118884e-05 -1.450067e-06 1.205847e-05 8.677350e-05
11500.427270 8.205850e-01 -2.857199e-03 1.794573e-03 4.902688e-02 3.864537e-05 -2.217436e-06 -1.479432e-06 8.428364e-05
11505.427270 8.196924e-01 -2.855429e-03 1.739559e-03 4.915386e-02 4.729435e-05 -6.222501e-06 7.478397e-06 9.360986e-05
11510.427270 8.188287e-01 -2.852469e-03 1.753763e-03 4.940008e-02 5.354824e-05 -1.963384e-05 7.387901e-06 1.061158e-04
11515.427270 8.176193e-01 -2.852245e-03 1.742334e-03 4.922849e-02 5.867653e-05 -1.019189e-05 1.769401e-05 1.059427e-04
11520.427270 8.164141e-01 -2.844987e-03 1.762701e-03 4.927501e-02 4.619221e-05 -8.844290e-06 1.579267e-05 1.047116e-04
11525.427270 8.161167e-01 -2.849315e-03 1.771521e-03 4.952594e-02 5.149698e-05 -1.058084e-05 3.954058e-06 1.035905e-04
11530.427270 8.143059e-01 -2.844641e-03 1.811281e-03 4.958224e-02 5.013434e-05 -9.010233e-06 1.629668e-06 9.373042e-05
11534.000000 8.140384e-01 -2.856330e-03 1.830429e-03 5.013508e-02 4.391852e-05 -6.822786e-06 1.035454e-05 1.029625e-04
11535.000000 8.134879e-01 -2.860466e-03 1.806175e-03 4.990446e-02 4.010343e-05 -2.015894e-06 1.445196e-05 1.016376e-04
11536.000000 8.141416e-01 -2.851245e-03 1.795549e-03 5.090956e-02 3.273439e-05 3.067356e-06 1.005722e-05 1.094986e-04
11537.000000 8.141423e-01 -2.843823e-03 1.787500e-03 5.034042e-02 2.934023e-05 -1.550481e-06 1.128938e-05 1.111404e-04
11538.000000 8.148915e-01 -2.827374e-03 1.723110e-03 5.047093e-02 4.220432e-05 -7.576896e-06 1.837427e-05 1.128937e-04
11539.000000 8.149084e-01 -2.823511e-03 1.807575e-03 5.086760e-02 4.232572e-05 -5.929785e-06 9.937860e-06 9.899339e-05
11540.000000 8.138667e-01 -2.842745e-03 1.713413e-03 5.058856e-02 4.211848e-05 -1.119193e-05 1.854945e-05 9.519676e-05
11541.000000 8.127508e-01 -2.850338e-03 1.859647e-03 5.132582e-02 2.766608e-05 -1.384642e-05 2.379286e-05 1.125497e-04
11541.200000 8.136353e-01 -2.894402e-03 1.692344e-03 5.013901e-02 2.704040e-05 -1.546462e-06 3.434404e-05 1.141885e-04
11541.400000 8.144151e-01 -2.825681e-03 1.993521e-03 4.890991e-02 2.095128e-05 6.259015e-07 2.550297e-05 1.040436e-04
