# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271252
# UID: dbf52a69-68ff-4076-8e97-b07f34192c7b
# Comment: 
# Start time: 10/18/2023  22:29:50
# Stop time: 10/18/2023  22:30:21
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.639917 4.209159e-01 -1.449798e-03 8.530020e-04 2.370131e-02 2.525951e-05 3.556782e-06 6.035256e-06 4.728494e-05
11385.639917 8.268072e-01 -2.872068e-03 1.737188e-03 4.672158e-02 4.202009e-05 1.102093e-05 1.245782e-05 1.003882e-04
11390.639917 8.334419e-01 -2.896413e-03 1.765488e-03 4.700613e-02 4.761961e-05 2.494807e-06 1.233115e-05 1.007000e-04
11395.639917 8.410117e-01 -2.891111e-03 1.718093e-03 4.726565e-02 5.170336e-05 4.478984e-06 9.698354e-06 8.577048e-05
11400.639917 8.391658e-01 -2.898815e-03 1.730038e-03 4.736925e-02 5.549239e-05 7.629261e-06 1.050215e-05 8.609988e-05
11405.639917 8.368486e-01 -2.895824e-03 1.748993e-03 4.720351e-02 6.764249e-05 9.535298e-06 1.340981e-05 8.473958e-05
11410.639917 8.339222e-01 -2.898498e-03 1.740143e-03 4.705498e-02 7.262100e-05 9.551768e-06 1.011202e-05 8.548102e-05
11415.639917 8.252779e-01 -2.890273e-03 1.747460e-03 4.659476e-02 6.685427e-05 3.657498e-06 1.162644e-05 8.210221e-05
11420.639917 8.257968e-01 -2.888394e-03 1.795201e-03 4.691781e-02 6.759411e-05 -4.677339e-06 5.007088e-06 7.712493e-05
11425.639917 8.337807e-01 -2.893444e-03 1.761283e-03 4.765909e-02 5.451415e-05 3.060879e-06 7.421031e-06 8.525350e-05
11430.639917 8.344524e-01 -2.892951e-03 1.789561e-03 4.779471e-02 5.633789e-05 1.188953e-05 9.559195e-06 8.807407e-05
11435.639917 8.327138e-01 -2.890617e-03 1.771046e-03 4.786202e-02 6.915528e-05 3.947703e-06 1.004470e-05 1.029431e-04
11440.639917 8.313050e-01 -2.893536e-03 1.769077e-03 4.785308e-02 6.238584e-05 4.580203e-06 -5.533964e-06 1.009609e-04
11445.639917 8.300219e-01 -2.884116e-03 1.770884e-03 4.762611e-02 5.374317e-05 4.990949e-06 -1.023343e-05 1.017721e-04
11450.639917 8.292707e-01 -2.891740e-03 1.745910e-03 4.800199e-02 6.147322e-05 6.948741e-06 -1.609643e-05 1.034760e-04
11455.639917 8.283053e-01 -2.895272e-03 1.727458e-03 4.817429e-02 7.042729e-05 1.277560e-05 -7.042916e-06 9.597861e-05
11460.639917 8.272181e-01 -2.904867e-03 1.743481e-03 4.818176e-02 7.169078e-05 1.154921e-05 -4.822517e-06 8.795820e-05
11465.639917 8.264998e-01 -2.901942e-03 1.755851e-03 4.822588e-02 6.034354e-05 9.907310e-06 -5.465464e-06 9.302642e-05
11470.639917 8.252805e-01 -2.905601e-03 1.730278e-03 4.836464e-02 5.394978e-05 8.903890e-06 4.331008e-07 8.360827e-05
11475.639917 8.241637e-01 -2.902729e-03 1.769798e-03 4.830817e-02 5.203769e-05 6.843892e-06 1.079256e-05 9.212715e-05
11480.639917 8.229761e-01 -2.910332e-03 1.769088e-03 4.832666e-02 6.554974e-05 3.001803e-06 1.248136e-05 8.862762e-05
11485.639917 8.221899e-01 -2.906517e-03 1.796471e-03 4.846576e-02 6.420172e-05 3.677352e-06 1.954725e-05 8.855095e-05
11490.639917 8.211819e-01 -2.897214e-03 1.794883e-03 4.872879e-02 5.502667e-05 4.188624e-06 2.933913e-05 8.648733e-05
11495.639917 8.200999e-01 -2.907642e-03 1.790147e-03 4.870965e-02 5.152515e-05 2.013619e-06 2.972649e-05 9.472076e-05
11500.639917 8.202338e-01 -2.900106e-03 1.788401e-03 4.902724e-02 4.288733e-05 5.845588e-06 1.935584e-05 9.319251e-05
