# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271234
# UID: 4a8d7155-1ef1-46dd-a37e-644f5a12e17a
# Comment: 
# Start time: 10/18/2023  22:19:02
# Stop time: 10/18/2023  22:19:33
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.220168e-01 -1.442819e-03 8.741407e-04 2.457645e-02 1.242577e-05 -1.774507e-05 1.558284e-06 2.965137e-05
11385.468179 8.291707e-01 -2.844434e-03 1.716597e-03 4.856287e-02 3.235029e-05 -3.384013e-05 6.793921e-07 6.310899e-05
11390.468179 8.353342e-01 -2.867440e-03 1.766845e-03 4.911068e-02 3.057384e-05 -3.441841e-05 -9.449341e-06 6.005949e-05
11395.468179 8.425103e-01 -2.863056e-03 1.771099e-03 4.991123e-02 3.656493e-05 -2.818288e-05 5.268041e-06 5.784141e-05
11400.468179 8.408366e-01 -2.862678e-03 1.731578e-03 5.034435e-02 3.257916e-05 -3.601699e-05 1.055141e-05 6.242446e-05
11405.468179 8.390711e-01 -2.856271e-03 1.740198e-03 5.012135e-02 3.133247e-05 -3.912035e-05 2.019929e-06 6.485202e-05
11410.468179 8.361151e-01 -2.861600e-03 1.746172e-03 4.959568e-02 3.664304e-05 -3.679257e-05 -3.295120e-07 5.471943e-05
11415.468179 8.281564e-01 -2.859072e-03 1.742443e-03 4.884037e-02 3.681024e-05 -3.463562e-05 -4.814964e-06 5.452344e-05
11420.468179 8.276538e-01 -2.857371e-03 1.754274e-03 4.897039e-02 3.373416e-05 -3.575242e-05 8.259488e-06 6.045352e-05
11425.468179 8.353203e-01 -2.859060e-03 1.742112e-03 4.975266e-02 1.928052e-05 -3.918519e-05 1.132217e-05 5.540405e-05
11430.468179 8.369165e-01 -2.860881e-03 1.710552e-03 4.988723e-02 2.370255e-05 -3.670975e-05 8.820135e-06 6.398951e-05
11435.468179 8.344625e-01 -2.861345e-03 1.729477e-03 4.991676e-02 1.839406e-05 -2.948455e-05 2.256670e-06 6.000436e-05
11440.468179 8.334573e-01 -2.845941e-03 1.755920e-03 5.000023e-02 2.550337e-05 -2.763372e-05 1.458233e-06 6.583236e-05
11445.468179 8.323654e-01 -2.854736e-03 1.767016e-03 4.981730e-02 3.509819e-05 -2.957183e-05 -1.340894e-05 6.271847e-05
11450.468179 8.312837e-01 -2.847121e-03 1.754220e-03 4.991609e-02 3.068053e-05 -3.207465e-05 -2.203820e-05 5.395571e-05
11455.468179 8.304519e-01 -2.854793e-03 1.738184e-03 5.060795e-02 2.059393e-05 -3.135324e-05 -1.674231e-05 4.847821e-05
11460.468179 8.292633e-01 -2.863274e-03 1.752974e-03 5.059607e-02 3.013888e-05 -2.942794e-05 -2.343965e-06 4.202283e-05
11465.468179 8.283972e-01 -2.870698e-03 1.718771e-03 5.024363e-02 4.212148e-05 -3.725982e-05 -1.261268e-06 5.035584e-05
11470.468179 8.271599e-01 -2.865656e-03 1.721077e-03 5.028649e-02 4.044804e-05 -2.955230e-05 6.045045e-06 6.297722e-05
11475.468179 8.264837e-01 -2.859435e-03 1.728672e-03 5.027530e-02 3.145628e-05 -3.405145e-05 9.609602e-06 5.151307e-05
11480.468179 8.258038e-01 -2.875707e-03 1.742634e-03 5.043861e-02 2.362953e-05 -2.242014e-05 9.202445e-06 4.862582e-05
11485.468179 8.245450e-01 -2.873299e-03 1.766839e-03 5.073748e-02 1.948900e-05 -2.456516e-05 1.314629e-05 4.717722e-05
11490.468179 8.237714e-01 -2.872299e-03 1.788851e-03 5.116545e-02 2.060831e-05 -1.881108e-05 3.363556e-06 5.423382e-05
11495.468179 8.230625e-01 -2.858414e-03 1.819912e-03 5.115723e-02 2.402122e-05 -2.114020e-05 7.174919e-07 5.871361e-05
