# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271236
# UID: 1f7d9f58-d81a-43d6-92cf-187220353d71
# Comment: 
# Start time: 10/18/2023  22:20:12
# Stop time: 10/18/2023  22:20:44
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.211343e-01 -1.430160e-03 8.601757e-04 2.449099e-02 2.124205e-05 -3.005460e-06 8.006694e-06 4.278451e-05
11385.596982 8.274360e-01 -2.838293e-03 1.698281e-03 4.844752e-02 3.938887e-05 -8.869936e-06 1.585537e-05 9.057409e-05
11390.596982 8.342424e-01 -2.859304e-03 1.723235e-03 4.872552e-02 3.712961e-05 -1.139501e-05 1.233709e-05 9.457401e-05
11395.596982 8.414909e-01 -2.851670e-03 1.726947e-03 4.977313e-02 3.831381e-05 -6.825550e-06 1.781000e-05 9.655648e-05
11400.596982 8.394559e-01 -2.853778e-03 1.749184e-03 5.047445e-02 4.983866e-05 -1.201606e-05 1.191812e-05 8.171653e-05
11405.596982 8.375925e-01 -2.863074e-03 1.744464e-03 4.998678e-02 5.237646e-05 -2.336152e-05 1.209723e-05 9.463512e-05
11410.596982 8.348252e-01 -2.867927e-03 1.772666e-03 4.944870e-02 4.064996e-05 -2.272435e-05 7.866634e-06 8.921731e-05
11415.596982 8.268498e-01 -2.867657e-03 1.736034e-03 4.873953e-02 3.836151e-05 -2.281763e-05 1.209852e-05 9.973353e-05
11420.596982 8.271061e-01 -2.868169e-03 1.714672e-03 4.911423e-02 3.904356e-05 -1.717248e-05 6.309094e-06 1.045833e-04
11425.596982 8.342905e-01 -2.855034e-03 1.700087e-03 4.977702e-02 5.037030e-05 -1.603756e-05 1.335605e-05 1.088785e-04
11430.596982 8.351720e-01 -2.854238e-03 1.724142e-03 4.991953e-02 5.450332e-05 -1.863114e-05 1.785678e-05 1.009523e-04
11435.596982 8.332187e-01 -2.855727e-03 1.761605e-03 4.969475e-02 5.219660e-05 -1.673419e-05 1.047164e-05 1.057342e-04
11440.596982 8.319158e-01 -2.869001e-03 1.712272e-03 4.968039e-02 4.915967e-05 -1.302464e-05 3.782753e-06 1.013827e-04
11445.596982 8.312680e-01 -2.866634e-03 1.747298e-03 4.991713e-02 5.264114e-05 -2.456285e-05 -2.955793e-06 9.246992e-05
11450.596982 8.303444e-01 -2.853062e-03 1.752703e-03 4.982192e-02 5.624202e-05 -2.829605e-05 5.166565e-06 6.535693e-05
11455.596982 8.291296e-01 -2.845479e-03 1.737428e-03 5.067915e-02 5.111081e-05 -3.658353e-05 1.605804e-05 7.845451e-05
11460.596982 8.279348e-01 -2.863287e-03 1.736570e-03 5.083526e-02 5.441365e-05 -3.037450e-05 1.698775e-05 7.121644e-05
11465.596982 8.263735e-01 -2.847796e-03 1.756402e-03 5.023048e-02 4.810606e-05 -2.465996e-05 1.992951e-05 7.597553e-05
11470.596982 8.259789e-01 -2.854908e-03 1.748365e-03 4.999402e-02 4.603625e-05 -1.187496e-05 6.799178e-06 8.320501e-05
11475.596982 8.249337e-01 -2.861937e-03 1.761700e-03 5.033873e-02 5.161214e-05 -1.433183e-05 4.583302e-06 7.857156e-05
11480.596982 8.239232e-01 -2.859017e-03 1.774140e-03 5.031856e-02 5.957718e-05 -2.083514e-05 5.474740e-06 7.990787e-05
11485.596982 8.234562e-01 -2.874921e-03 1.760935e-03 5.059468e-02 5.954008e-05 -1.823140e-05 1.498237e-05 9.151438e-05
11490.596982 8.226557e-01 -2.884622e-03 1.773475e-03 5.120421e-02 5.575853e-05 -1.105355e-05 7.868083e-06 8.771135e-05
11495.596982 8.213378e-01 -2.877480e-03 1.765058e-03 5.107220e-02 4.801006e-05 1.884579e-06 -5.811134e-07 8.166486e-05
11500.596982 8.202984e-01 -2.873110e-03 1.760253e-03 5.099956e-02 5.530629e-05 -5.589797e-06 3.511225e-07 8.447805e-05
11505.596982 8.193276e-01 -2.861364e-03 1.783387e-03 5.090153e-02 5.369043e-05 -7.280858e-06 -3.656627e-06 7.686271e-05
11510.596982 8.186446e-01 -2.867880e-03 1.741756e-03 5.105472e-02 5.620701e-05 -8.918801e-06 -9.812762e-06 8.467432e-05
11515.596982 8.178727e-01 -2.861154e-03 1.781164e-03 5.116488e-02 5.501530e-05 -2.371546e-06 -6.713786e-06 8.028136e-05
11520.596982 8.174575e-01 -2.841982e-03 1.789175e-03 5.157882e-02 4.830800e-05 -8.551770e-06 -1.142921e-05 8.733708e-05
11525.596982 8.169413e-01 -2.841554e-03 1.813479e-03 5.185944e-02 4.839036e-05 -1.515889e-05 -7.835844e-06 8.757821e-05
11530.596982 8.155726e-01 -2.862786e-03 1.743880e-03 5.272865e-02 3.695296e-05 -9.394405e-06 -4.179754e-06 8.540531e-05
11534.000000 8.144523e-01 -2.863161e-03 1.778456e-03 5.290973e-02 3.428975e-05 -1.352988e-05 2.144182e-06 8.766128e-05
11535.000000 8.134691e-01 -2.862439e-03 1.784525e-03 5.292709e-02 3.786060e-05 -1.737328e-05 3.235320e-06 8.639071e-05
11536.000000 8.144182e-01 -2.869726e-03 1.722603e-03 5.272609e-02 3.549700e-05 -2.407007e-05 2.083217e-06 9.112167e-05
11537.000000 8.139159e-01 -2.877495e-03 1.700144e-03 5.253090e-02 2.228079e-05 -3.241833e-05 -4.955116e-06 8.880389e-05
11538.000000 8.138902e-01 -2.882239e-03 1.763365e-03 5.324388e-02 1.745443e-05 -3.658349e-05 -1.091542e-05 8.097088e-05
11539.000000 8.126583e-01 -2.879077e-03 1.743686e-03 5.329929e-02 1.461079e-05 -3.879797e-05 -9.331369e-06 7.598186e-05
11540.000000 8.128482e-01 -2.878189e-03 1.696450e-03 5.321818e-02 2.938707e-05 -3.764341e-05 -3.790489e-06 8.696084e-05
11541.000000 8.136536e-01 -2.859505e-03 1.774451e-03 5.258228e-02 2.514283e-05 -3.075399e-05 6.173105e-06 7.458701e-05
11541.200000 8.159014e-01 -2.843845e-03 1.811247e-03 5.287880e-02 1.157588e-05 -3.208202e-05 1.298987e-05 6.556326e-05
11541.400000 8.108879e-01 -2.814445e-03 1.804257e-03 5.258705e-02 1.987186e-05 -3.564536e-05 1.461962e-05 7.535105e-05
11541.600000 8.129106e-01 -3.004539e-03 1.138698e-03 5.504755e-02 3.733608e-05 -2.695245e-05 -5.478390e-06 7.469548e-05
11541.800000 8.160902e-01 -2.760758e-03 2.011241e-03 5.544739e-02 3.023621e-05 -2.721179e-05 8.532644e-06 8.551611e-05
11542.000000 8.185589e-01 -2.948753e-03 1.564566e-03 5.223598e-02 3.391914e-05 -2.409300e-05 1.205802e-05 9.455054e-05
11542.200000 8.082056e-01 -2.809190e-03 1.801258e-03 5.207815e-02 2.415402e-05 -3.844448e-05 -6.511300e-06 8.219866e-05
11542.400000 8.165526e-01 -2.867010e-03 1.869776e-03 5.321417e-02 3.041329e-05 -3.886931e-05 -7.368446e-06 7.890218e-05
11542.600000 8.093556e-01 -2.944013e-03 2.014859e-03 5.177992e-02 3.784042e-05 -3.999473e-05 -1.176560e-05 8.223323e-05
11542.800000 8.161955e-01 -2.827013e-03 1.815132e-03 5.593357e-02 3.544399e-05 -3.944729e-05 -7.564563e-06 7.590722e-05
11543.000000 8.094334e-01 -2.948789e-03 1.769856e-03 5.296110e-02 3.751370e-05 -4.191173e-05 5.185899e-06 6.657413e-05
11543.200000 8.155132e-01 -2.788514e-03 1.793605e-03 5.262327e-02 2.687002e-05 -3.057613e-05 -1.491714e-06 6.602931e-05
11543.400000 8.181910e-01 -2.923902e-03 1.807249e-03 5.454494e-02 4.509336e-05 -2.576545e-05 -8.835573e-06 8.326200e-05
11543.600000 7.903595e-01 -2.813533e-03 1.482726e-03 5.232164e-02 4.022981e-05 -3.204529e-05 -1.468737e-05 7.991963e-05
11543.800000 8.192798e-01 -2.876276e-03 1.963855e-03 5.342267e-02 3.957237e-05 -3.065145e-05 -1.561902e-05 8.128497e-05
11544.000000 8.128385e-01 -2.897354e-03 1.722537e-03 5.472912e-02 4.380842e-05 -3.043447e-05 -1.209212e-05 9.211069e-05
11544.200000 8.156679e-01 -2.790892e-03 1.754614e-03 5.380817e-02 3.362992e-05 -4.592535e-05 -4.450172e-06 9.263652e-05
11544.400000 8.129955e-01 -2.937980e-03 1.681076e-03 5.240306e-02 3.535891e-05 -4.948191e-05 -8.344127e-07 9.002312e-05
11544.600000 8.076973e-01 -2.780363e-03 2.130290e-03 5.479455e-02 2.251625e-05 -4.190739e-05 2.725543e-06 9.912975e-05
11544.800000 8.116484e-01 -2.909477e-03 1.691138e-03 5.482548e-02 4.330916e-05 -4.303744e-05 6.549491e-06 9.448322e-05
11545.000000 8.120968e-01 -2.815113e-03 1.976913e-03 5.348338e-02 3.637362e-05 -4.353977e-05 -5.421109e-07 9.232363e-05
11545.200000 8.168331e-01 -2.862914e-03 1.729322e-03 5.361312e-02 4.001619e-05 -4.158349e-05 4.279711e-06 8.522222e-05
11545.400000 8.124458e-01 -2.928624e-03 1.853068e-03 5.211556e-02 4.045840e-05 -3.149617e-05 -2.838463e-06 9.615508e-05
11545.600000 8.097152e-01 -2.834907e-03 2.102712e-03 5.415534e-02 2.181311e-05 -2.549631e-05 -1.668371e-05 8.362595e-05
11545.800000 8.138252e-01 -2.975400e-03 1.618812e-03 5.356049e-02 3.871169e-05 -3.639331e-05 -9.880369e-06 9.682896e-05
11546.000000 8.106634e-01 -2.780151e-03 1.554037e-03 5.302188e-02 3.757368e-05 -3.386928e-05 -1.800121e-06 9.307994e-05
11546.200000 8.171358e-01 -2.953056e-03 1.561234e-03 5.505450e-02 5.030741e-05 -3.170562e-05 1.147074e-06 8.676199e-05
11546.400000 8.126867e-01 -2.793167e-03 1.925502e-03 5.452219e-02 3.259124e-05 -3.002131e-05 -5.127795e-06 8.034499e-05
11546.600000 8.149974e-01 -2.884782e-03 1.890672e-03 5.464485e-02 3.279754e-05 -3.484381e-05 7.257246e-07 8.131708e-05
11546.800000 8.146127e-01 -2.854332e-03 1.835309e-03 5.469902e-02 2.970011e-05 -3.982574e-05 1.798800e-05 8.448252e-05
11547.000000 8.187480e-01 -2.863223e-03 1.845731e-03 5.517966e-02 2.420864e-05 -3.976263e-05 1.662823e-05 7.037109e-05
11547.200000 7.954259e-01 -2.869823e-03 1.521518e-03 5.406053e-02 3.091785e-05 -3.403560e-05 2.980054e-06 7.551902e-05
