# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271237
# UID: 380e3d4d-ad12-468d-821b-c59a1ec3d49a
# Comment: 
# Start time: 10/18/2023  22:20:47
# Stop time: 10/18/2023  22:21:19
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.207289e-01 -1.424290e-03 8.774016e-04 2.449569e-02 1.564973e-05 -1.774417e-05 -2.833474e-06 4.191122e-05
11385.468179 8.271835e-01 -2.819581e-03 1.763470e-03 4.838461e-02 3.026838e-05 -3.714242e-05 -7.329085e-06 7.229652e-05
11390.468179 8.331091e-01 -2.834332e-03 1.788807e-03 4.895510e-02 2.700356e-05 -3.525932e-05 -6.661297e-06 8.350110e-05
11395.468179 8.406176e-01 -2.830978e-03 1.793008e-03 4.989881e-02 3.625890e-05 -2.873539e-05 -5.374096e-06 9.474693e-05
11400.468179 8.389336e-01 -2.836847e-03 1.775214e-03 5.035878e-02 3.837576e-05 -3.008829e-05 -5.760115e-06 9.064577e-05
11405.468179 8.367885e-01 -2.843696e-03 1.773345e-03 5.002318e-02 2.206170e-05 -3.578831e-05 3.491461e-08 8.595160e-05
11410.468179 8.341481e-01 -2.847400e-03 1.761678e-03 4.930510e-02 2.856269e-05 -4.053602e-05 6.112929e-06 8.428877e-05
11415.468179 8.263897e-01 -2.848746e-03 1.774141e-03 4.885602e-02 4.064046e-05 -3.959304e-05 -1.966902e-06 8.615557e-05
11420.468179 8.261883e-01 -2.840262e-03 1.799209e-03 4.897539e-02 4.448385e-05 -3.052976e-05 -2.988545e-06 8.528827e-05
11425.468179 8.333549e-01 -2.845051e-03 1.780898e-03 4.942757e-02 4.149296e-05 -4.182514e-05 4.385692e-06 8.161858e-05
11430.468179 8.340543e-01 -2.848742e-03 1.755425e-03 4.983826e-02 3.944435e-05 -4.091482e-05 4.381366e-06 7.770616e-05
11435.468179 8.327959e-01 -2.854536e-03 1.756571e-03 4.988553e-02 2.626930e-05 -3.542764e-05 6.830878e-06 9.060786e-05
11440.468179 8.308263e-01 -2.859179e-03 1.782136e-03 4.975575e-02 2.120312e-05 -3.087367e-05 1.120472e-05 9.668678e-05
11445.468179 8.298769e-01 -2.856636e-03 1.737151e-03 4.958055e-02 3.464723e-05 -3.464183e-05 7.191649e-06 9.302062e-05
11450.468179 8.290755e-01 -2.841121e-03 1.760379e-03 4.971374e-02 3.403421e-05 -3.623137e-05 1.604750e-08 9.727131e-05
