# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271239
# UID: 9ca96087-ce91-49aa-a208-b39c4cd2d912
# Comment: 
# Start time: 10/18/2023  22:21:58
# Stop time: 10/18/2023  22:22:29
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.70 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.469082 4.205347e-01 -1.444053e-03 8.710905e-04 2.451688e-02 3.144174e-05 -7.424772e-06 -5.141287e-06 3.915230e-05
11385.469082 8.264242e-01 -2.853814e-03 1.734111e-03 4.834901e-02 5.389395e-05 -2.565252e-05 -8.862632e-06 7.573067e-05
11390.469082 8.325461e-01 -2.882341e-03 1.709153e-03 4.902514e-02 5.017334e-05 -2.451784e-05 -7.875020e-06 7.506512e-05
11395.469082 8.402507e-01 -2.877352e-03 1.743885e-03 4.985594e-02 3.545940e-05 -2.505467e-05 -1.142024e-05 7.729759e-05
11400.469082 8.386395e-01 -2.884299e-03 1.756870e-03 5.034593e-02 3.990201e-05 -2.467503e-05 -7.664243e-06 7.375643e-05
11405.469082 8.365398e-01 -2.880569e-03 1.749304e-03 4.987545e-02 4.210447e-05 -2.298120e-05 -2.948497e-06 7.679340e-05
11410.469082 8.336263e-01 -2.875446e-03 1.774732e-03 4.953357e-02 5.051072e-05 -2.020583e-05 -1.582896e-05 7.297459e-05
11415.469082 8.252659e-01 -2.859871e-03 1.749935e-03 4.893481e-02 5.900071e-05 -1.988392e-05 -1.167479e-05 8.105200e-05
11420.469082 8.248773e-01 -2.875946e-03 1.702039e-03 4.887038e-02 5.629999e-05 -1.720201e-06 -2.077450e-05 7.883627e-05
11425.469082 8.325452e-01 -2.877297e-03 1.714416e-03 4.955132e-02 4.515128e-05 -3.111172e-07 -7.398507e-06 8.213703e-05
11430.469082 8.336441e-01 -2.882934e-03 1.737214e-03 4.971886e-02 4.516658e-05 -6.827434e-06 -5.041171e-06 8.614816e-05
11435.469082 8.322682e-01 -2.869943e-03 1.734831e-03 4.980486e-02 5.127279e-05 -9.979495e-06 -1.089693e-05 8.784387e-05
11440.469082 8.305218e-01 -2.881838e-03 1.701834e-03 4.982638e-02 4.371075e-05 -1.103757e-05 3.054010e-06 8.241506e-05
11445.469082 8.294068e-01 -2.887024e-03 1.729782e-03 4.992426e-02 5.245626e-05 -1.203213e-05 -3.041623e-06 7.386129e-05
11450.469082 8.283403e-01 -2.880439e-03 1.738856e-03 5.014014e-02 5.953081e-05 -1.000862e-05 -8.752221e-06 7.927597e-05
11455.469082 8.271112e-01 -2.886089e-03 1.833925e-03 5.038277e-02 5.480181e-05 -9.902788e-06 -1.106170e-05 8.537939e-05
11460.469082 8.265699e-01 -2.880373e-03 1.718332e-03 5.055960e-02 5.427055e-05 -1.358476e-05 -1.329686e-05 9.067146e-05
11465.469082 8.259297e-01 -2.886837e-03 1.702676e-03 5.030435e-02 5.574651e-05 -1.289080e-05 -1.508400e-05 8.533987e-05
11470.469082 8.249931e-01 -2.891537e-03 1.748481e-03 5.016542e-02 4.058037e-05 -1.752717e-05 -1.777942e-05 8.881446e-05
11475.469082 8.238423e-01 -2.888812e-03 1.737102e-03 5.024008e-02 5.113647e-05 -1.778221e-05 -1.290255e-05 8.983473e-05
11480.469082 8.227436e-01 -2.893807e-03 1.700152e-03 5.033294e-02 5.289856e-05 -8.029545e-06 -1.111208e-05 9.166047e-05
11485.469082 8.217655e-01 -2.887910e-03 1.717034e-03 5.073869e-02 6.000655e-05 -1.104160e-05 -7.400085e-06 9.233055e-05
11490.469082 8.208524e-01 -2.878157e-03 1.735591e-03 5.095226e-02 6.663356e-05 -1.778513e-05 -2.341437e-05 8.209360e-05
11495.469082 8.193522e-01 -2.890278e-03 1.733002e-03 5.097608e-02 7.287583e-05 -1.743069e-05 -2.050562e-05 8.858085e-05
11500.469082 8.186068e-01 -2.882492e-03 1.731884e-03 5.091179e-02 8.254689e-05 -1.874307e-05 -1.720695e-05 8.468907e-05
11505.469082 8.184163e-01 -2.892651e-03 1.731049e-03 5.083129e-02 8.520774e-05 -2.746103e-05 -1.274390e-05 9.074651e-05
11510.469082 8.174073e-01 -2.883341e-03 1.724861e-03 5.099269e-02 7.002605e-05 -1.220454e-05 -9.798187e-06 8.198592e-05
