# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271240
# UID: 7b31eb19-7e18-4a58-abaa-4bb72046c863
# Comment: 
# Start time: 10/18/2023  22:22:33
# Stop time: 10/18/2023  22:23:05
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.597420 4.197500e-01 -1.435624e-03 8.695977e-04 2.445542e-02 2.010197e-05 -8.749216e-06 5.165881e-06 4.700665e-05
11385.597420 8.246158e-01 -2.830460e-03 1.712556e-03 4.841468e-02 4.055281e-05 -2.025957e-05 3.594254e-06 9.639830e-05
11390.597420 8.313391e-01 -2.866558e-03 1.731530e-03 4.900482e-02 4.419970e-05 -2.244087e-05 2.521108e-06 9.366990e-05
11395.597420 8.383949e-01 -2.874475e-03 1.730653e-03 4.967232e-02 4.911408e-05 -2.390170e-05 1.383025e-05 9.026224e-05
11400.597420 8.367420e-01 -2.855018e-03 1.728669e-03 5.023303e-02 4.530680e-05 -2.286578e-05 2.740848e-05 8.919658e-05
11405.597420 8.349081e-01 -2.874691e-03 1.710017e-03 5.014897e-02 4.617473e-05 -2.557761e-05 3.751349e-05 9.316878e-05
11410.597420 8.319223e-01 -2.870903e-03 1.760070e-03 4.945379e-02 3.895752e-05 -3.075297e-05 3.903641e-05 9.415288e-05
11415.597420 8.237829e-01 -2.868863e-03 1.707778e-03 4.890889e-02 2.959890e-05 -4.432996e-05 3.277335e-05 8.729814e-05
11420.597420 8.234467e-01 -2.866428e-03 1.726988e-03 4.869336e-02 2.667973e-05 -4.244050e-05 2.364064e-05 8.726068e-05
11425.597420 8.313053e-01 -2.864756e-03 1.770211e-03 4.939489e-02 3.414653e-05 -3.554905e-05 1.224593e-05 8.733970e-05
