# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271241
# UID: 537c3b5d-233c-43d5-9f7e-b6148b9dcc32
# Comment: 
# Start time: 10/18/2023  22:23:08
# Stop time: 10/18/2023  22:23:40
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.596982 4.190836e-01 -1.426729e-03 8.501710e-04 2.455026e-02 1.332316e-05 -1.624576e-05 -6.493343e-06 3.614004e-05
11385.596982 8.235052e-01 -2.841386e-03 1.725294e-03 4.828287e-02 2.883978e-05 -3.721064e-05 -2.208626e-05 6.428719e-05
11390.596982 8.301931e-01 -2.859064e-03 1.730956e-03 4.888493e-02 2.759246e-05 -4.615782e-05 -2.818735e-05 6.041117e-05
11395.596982 8.372896e-01 -2.852947e-03 1.732091e-03 4.965127e-02 2.361741e-05 -5.157834e-05 -2.374127e-05 4.708003e-05
11400.596982 8.354771e-01 -2.854718e-03 1.722568e-03 5.007357e-02 2.864603e-05 -4.690089e-05 -1.878332e-05 4.603510e-05
11405.596982 8.337115e-01 -2.856180e-03 1.722886e-03 4.974296e-02 2.671473e-05 -4.459103e-05 -2.345284e-05 5.722503e-05
11410.596982 8.312461e-01 -2.836977e-03 1.757467e-03 4.947810e-02 2.557145e-05 -4.522357e-05 -2.407580e-05 5.687703e-05
11415.596982 8.228101e-01 -2.840725e-03 1.737138e-03 4.885210e-02 2.736172e-05 -4.518938e-05 -2.494135e-05 5.128397e-05
11420.596982 8.234759e-01 -2.850534e-03 1.748502e-03 4.886389e-02 2.821910e-05 -3.819728e-05 -2.675989e-05 6.494891e-05
11425.596982 8.299890e-01 -2.841919e-03 1.748262e-03 4.935503e-02 2.957000e-05 -3.623721e-05 -2.220500e-05 5.843234e-05
11430.596982 8.309562e-01 -2.846967e-03 1.736550e-03 4.954077e-02 2.894413e-05 -4.294414e-05 -1.655395e-05 6.181951e-05
11435.596982 8.293945e-01 -2.837445e-03 1.704510e-03 4.944709e-02 3.189763e-05 -4.853322e-05 -6.660114e-06 6.291104e-05
11440.596982 8.283523e-01 -2.842817e-03 1.719808e-03 4.959645e-02 3.387382e-05 -3.725368e-05 -1.073701e-05 7.084926e-05
11445.596982 8.276320e-01 -2.853340e-03 1.712030e-03 4.965543e-02 4.431725e-05 -3.234079e-05 -1.368694e-05 6.326688e-05
11450.596982 8.263520e-01 -2.845937e-03 1.734820e-03 4.990640e-02 4.076367e-05 -3.594144e-05 -2.149744e-05 6.787413e-05
11455.596982 8.247659e-01 -2.837800e-03 1.728540e-03 5.023699e-02 3.195449e-05 -4.491629e-05 -1.999871e-05 6.682830e-05
11460.596982 8.239078e-01 -2.835431e-03 1.743162e-03 5.019371e-02 2.527277e-05 -3.893967e-05 -1.877432e-05 6.686249e-05
11465.596982 8.227591e-01 -2.839064e-03 1.779424e-03 5.000000e-02 2.770689e-05 -4.295977e-05 -2.408753e-05 6.963130e-05
