# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 3
# SAF: 312215
# PI: Reece
# Proposal: 313586
# Scan ID: 271242
# UID: 6c5a189b-d194-4a41-bfb1-9dbf66295009
# Comment: 
# Start time: 10/18/2023  22:23:43
# Stop time: 10/18/2023  22:24:15
# Total time: 00:31
# Trajectory name: Pt-L3-30s-11564.txt
# Element: Platinum ( 78)
# Edge: L3
# E0: 11564
# Reference Foil Element: Pt
# Keithley Gains I0: 1E6 V/A It: 1E6 V/A Iref: 1E7 V/A PIPS: 1E8 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 189.60 sccm N2 + 9.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 39.70 sccm N2 + 60.10 sccm Ar
# Incident Beam Path Vertical: 31.75 mm
# Incident Slits Positions B: TOP: 2.0 mm Bottom: 1.0 mm Inboard: 0.57675 mm Outboard: 1.57675 mm
# Sample Stage Positions: Rotation: 35.0 deg Horizontal: -10.11 mm Vertical: 15.39 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Linkam Oven Temperature : 3.03 C and Ramp Rate: 20.00 C/min.
# Front End Mirror Horizontal Positions: Up: -14.00 mm Down: -14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
11380.468179 4.205030e-01 -1.425312e-03 8.682990e-04 2.459497e-02 1.161893e-05 -1.501571e-05 1.057759e-05 3.000459e-05
11385.468179 8.264851e-01 -2.826869e-03 1.733281e-03 4.834135e-02 1.947117e-05 -3.274595e-05 3.284594e-05 6.336450e-05
11390.468179 8.324309e-01 -2.846342e-03 1.752843e-03 4.894017e-02 2.230518e-05 -3.720993e-05 2.620276e-05 5.998574e-05
11395.468179 8.400381e-01 -2.851735e-03 1.777863e-03 4.988908e-02 2.781118e-05 -3.511608e-05 2.393137e-05 6.529857e-05
11400.468179 8.383019e-01 -2.863256e-03 1.745785e-03 5.016754e-02 2.819291e-05 -3.365435e-05 1.058412e-05 5.888102e-05
11405.468179 8.364959e-01 -2.850805e-03 1.751431e-03 5.002868e-02 2.437030e-05 -4.543684e-05 1.796236e-05 5.366385e-05
11410.468179 8.338527e-01 -2.844540e-03 1.732217e-03 4.954068e-02 2.479128e-05 -4.572237e-05 2.130506e-05 5.629877e-05
11415.468179 8.256304e-01 -2.842660e-03 1.758258e-03 4.890532e-02 2.458533e-05 -4.188007e-05 2.778245e-05 4.935642e-05
11420.468179 8.255771e-01 -2.852437e-03 1.750287e-03 4.887880e-02 1.558428e-05 -3.133397e-05 3.002134e-05 5.213267e-05
11425.468179 8.324120e-01 -2.858863e-03 1.788239e-03 4.959201e-02 8.253826e-06 -3.319795e-05 2.688624e-05 5.058779e-05
11430.468179 8.332774e-01 -2.851384e-03 1.741827e-03 4.984800e-02 1.672984e-05 -3.494143e-05 1.002594e-05 5.701169e-05
11435.468179 8.315282e-01 -2.841539e-03 1.770796e-03 4.978646e-02 1.583985e-05 -3.384461e-05 2.730509e-05 5.921794e-05
11440.468179 8.311136e-01 -2.847800e-03 1.762451e-03 4.994955e-02 2.065096e-05 -2.782372e-05 2.248864e-05 4.832583e-05
11445.468179 8.300837e-01 -2.863196e-03 1.772254e-03 4.970930e-02 2.232857e-05 -2.248493e-05 2.198032e-05 6.441292e-05
11450.468179 8.288310e-01 -2.850429e-03 1.728035e-03 5.005406e-02 3.184369e-05 -3.074483e-05 2.206900e-05 6.491410e-05
11455.468179 8.276716e-01 -2.845247e-03 1.735741e-03 5.057964e-02 3.020046e-05 -2.727432e-05 2.281992e-05 5.837293e-05
11460.468179 8.264240e-01 -2.845932e-03 1.759071e-03 5.065449e-02 2.177995e-05 -1.956568e-05 2.120242e-05 6.491969e-05
11465.468179 8.246842e-01 -2.848014e-03 1.783021e-03 5.017653e-02 2.166449e-05 -2.889290e-05 1.929017e-05 6.330733e-05
11470.468179 8.242602e-01 -2.850491e-03 1.744499e-03 5.007015e-02 3.156216e-05 -3.832243e-05 3.424259e-05 6.257673e-05
11475.468179 8.236344e-01 -2.842587e-03 1.775712e-03 5.025681e-02 3.442522e-05 -3.823177e-05 3.571613e-05 6.877593e-05
11480.468179 8.232729e-01 -2.829542e-03 1.798780e-03 5.029515e-02 3.740180e-05 -3.298979e-05 2.767771e-05 8.156315e-05
11485.468179 8.223308e-01 -2.833111e-03 1.816911e-03 5.059447e-02 2.903428e-05 -2.698744e-05 3.642789e-05 7.640206e-05
11490.468179 8.211252e-01 -2.833197e-03 1.765895e-03 5.113442e-02 3.111424e-05 -2.721811e-05 2.401666e-05 7.490328e-05
11495.468179 8.201007e-01 -2.822267e-03 1.713342e-03 5.111813e-02 3.260232e-05 -3.242414e-05 2.716054e-05 8.301191e-05
11500.468179 8.188458e-01 -2.822462e-03 1.753755e-03 5.069298e-02 2.814492e-05 -2.867572e-05 1.568026e-05 7.151388e-05
11505.468179 8.178305e-01 -2.820479e-03 1.785220e-03 5.086559e-02 3.171334e-05 -2.507899e-05 2.133973e-05 7.515068e-05
11510.468179 8.169426e-01 -2.823079e-03 1.726920e-03 5.087717e-02 3.268757e-05 -2.594505e-05 3.090927e-05 7.561504e-05
11515.468179 8.159901e-01 -2.823427e-03 1.764187e-03 5.098993e-02 2.797139e-05 -2.511992e-05 3.222704e-05 6.061311e-05
11520.468179 8.157557e-01 -2.826467e-03 1.780928e-03 5.139673e-02 2.483702e-05 -2.538396e-05 2.489907e-05 5.721529e-05
11525.468179 8.144563e-01 -2.840550e-03 1.763224e-03 5.166749e-02 2.148828e-05 -2.837025e-05 1.774075e-05 6.762510e-05
11530.468179 8.135716e-01 -2.839174e-03 1.731470e-03 5.248612e-02 2.508060e-05 -2.820600e-05 2.130112e-06 8.326648e-05
11534.000000 8.131790e-01 -2.852766e-03 1.764209e-03 5.290113e-02 3.478955e-05 -3.744633e-05 1.214545e-06 8.383661e-05
11535.000000 8.139221e-01 -2.844234e-03 1.797170e-03 5.255531e-02 3.120080e-05 -3.090476e-05 3.633777e-06 8.099802e-05
11536.000000 8.131005e-01 -2.864146e-03 1.739950e-03 5.273513e-02 3.352979e-05 -4.085628e-05 7.483506e-06 5.196173e-05
11537.000000 8.118957e-01 -2.841439e-03 1.781722e-03 5.310276e-02 1.884208e-05 -4.140811e-05 2.334466e-05 8.642466e-05
11538.000000 8.121026e-01 -2.826098e-03 1.751682e-03 5.254815e-02 2.552764e-05 -4.372252e-05 1.928476e-05 7.757719e-05
11539.000000 8.124707e-01 -2.835004e-03 1.731591e-03 5.290537e-02 2.917582e-05 -5.113455e-05 3.370861e-06 7.652121e-05
11540.000000 8.125156e-01 -2.846725e-03 1.695724e-03 5.305396e-02 2.996110e-05 -4.672349e-05 6.029772e-06 8.356532e-05
11541.000000 8.121121e-01 -2.855555e-03 1.762440e-03 5.370015e-02 1.351772e-05 -4.676675e-05 3.106450e-05 9.373507e-05
11541.200000 8.011810e-01 -2.788391e-03 1.667331e-03 5.082233e-02 5.681174e-06 -4.879499e-05 3.815751e-05 7.930803e-05
11541.400000 8.174921e-01 -2.969079e-03 1.707691e-03 5.366103e-02 1.975824e-05 -5.536491e-05 4.267459e-05 1.003144e-04
11541.600000 8.121806e-01 -2.820518e-03 1.814684e-03 5.443917e-02 8.556751e-06 -4.953427e-05 2.706808e-05 7.687277e-05
11541.800000 8.096498e-01 -2.902282e-03 1.516690e-03 5.255488e-02 2.201041e-05 -5.047002e-05 2.813909e-05 8.107110e-05
11542.000000 8.095460e-01 -2.891052e-03 1.720190e-03 5.171487e-02 2.367532e-05 -5.025008e-05 3.035185e-05 9.281068e-05
11542.200000 8.112269e-01 -2.797808e-03 1.695712e-03 5.462758e-02 2.466353e-05 -4.284487e-05 1.262312e-05 8.606581e-05
11542.400000 8.081013e-01 -2.914829e-03 1.625836e-03 5.470578e-02 3.681596e-05 -4.544046e-05 1.377963e-05 9.118843e-05
11542.600000 8.145198e-01 -2.718881e-03 1.820544e-03 5.314642e-02 3.556395e-05 -4.698217e-05 2.684758e-06 8.544773e-05
11542.800000 8.097993e-01 -2.861620e-03 1.474816e-03 5.344810e-02 3.287863e-05 -4.982661e-05 1.431453e-07 8.616897e-05
11543.000000 8.182164e-01 -2.803676e-03 1.790898e-03 5.237049e-02 1.438000e-05 -5.792151e-05 7.233692e-06 7.568301e-05
11543.200000 7.940813e-01 -2.749153e-03 1.884565e-03 5.343198e-02 2.075706e-05 -4.407393e-05 7.242541e-06 8.130818e-05
11543.400000 8.167718e-01 -2.873262e-03 1.895640e-03 5.284307e-02 1.496500e-05 -4.118578e-05 -1.042196e-05 7.293194e-05
11543.600000 8.122351e-01 -2.810834e-03 1.696148e-03 5.147063e-02 2.036215e-05 -5.182004e-05 -1.147741e-05 2.975845e-05
11543.800000 8.119985e-01 -2.915441e-03 1.811463e-03 5.362271e-02 3.374413e-05 -4.570111e-05 1.652481e-05 3.346388e-05
11544.000000 8.093496e-01 -2.779225e-03 1.643040e-03 5.255489e-02 1.065765e-05 -4.827586e-05 2.528385e-05 5.764194e-05
11544.200000 8.149255e-01 -2.952442e-03 1.769758e-03 5.408012e-02 2.003340e-05 -4.740626e-05 4.944033e-06 8.019719e-05
11544.400000 8.103039e-01 -2.812268e-03 1.783657e-03 5.662780e-02 2.006175e-05 -4.841352e-05 1.137007e-06 8.242668e-05
11544.600000 8.059642e-01 -2.858203e-03 1.667669e-03 5.162888e-02 2.627478e-05 -5.388282e-05 1.055505e-05 9.759775e-05
11544.800000 8.114970e-01 -2.878856e-03 1.687162e-03 5.241304e-02 3.352876e-05 -5.333954e-05 1.234913e-05 7.721913e-05
11545.000000 8.163611e-01 -2.817253e-03 1.652953e-03 5.328458e-02 2.189221e-05 -4.806586e-05 2.188542e-05 9.072529e-05
11545.200000 8.022176e-01 -2.882185e-03 1.784565e-03 5.460824e-02 2.598231e-05 -4.387889e-05 2.041262e-05 1.047884e-04
11545.400000 8.136605e-01 -2.758138e-03 2.028409e-03 5.369648e-02 2.599447e-05 -4.192737e-05 2.598903e-05 9.174403e-05
11545.600000 8.114957e-01 -2.868575e-03 1.666157e-03 5.459397e-02 4.512442e-05 -4.484978e-05 2.272693e-05 8.833809e-05
11545.800000 8.131508e-01 -2.718410e-03 1.755343e-03 5.468722e-02 2.711677e-05 -4.557473e-05 4.772672e-05 1.012939e-04
11546.000000 8.086701e-01 -2.806140e-03 1.674746e-03 5.450687e-02 4.108641e-05 -4.252563e-05 2.558973e-05 1.031294e-04
11546.200000 8.126330e-01 -2.820902e-03 1.759038e-03 5.389049e-02 3.402473e-05 -4.199387e-05 2.468299e-05 9.838595e-05
11546.400000 8.099056e-01 -2.806097e-03 1.651269e-03 5.122597e-02 2.946965e-05 -3.855783e-05 -1.096212e-05 7.775025e-05
11546.600000 8.148617e-01 -2.883370e-03 1.531309e-03 5.404589e-02 2.802975e-05 -4.195464e-05 -1.988302e-06 8.508731e-05
11546.800000 8.131503e-01 -2.806584e-03 1.854895e-03 5.802423e-02 2.332377e-05 -4.954535e-05 8.443196e-06 8.989616e-05
11547.000000 8.017574e-01 -2.913803e-03 1.467873e-03 5.297718e-02 3.457594e-05 -4.273351e-05 1.163689e-05 6.111197e-05
11547.200000 8.141513e-01 -2.793691e-03 1.835328e-03 5.275524e-02 2.913487e-05 -4.351360e-05 2.864934e-05 1.041360e-04
11547.400000 8.091949e-01 -2.908395e-03 1.841331e-03 5.284875e-02 3.563162e-05 -3.898247e-05 1.670349e-05 9.672139e-05
11547.600000 8.113592e-01 -2.828708e-03 1.731284e-03 5.630099e-02 1.603564e-05 -4.188748e-05 -5.809143e-06 7.823606e-05
